rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
unambiguous,linear,,negative,0.68,,,,
technically complicated,linear,,positive,0.39,,,,
conceptually dense <= 0.70 & technically complicated <= 0.70 & common > 0.30 & unambiguous > 0.5 & positive > 0.30,rule,0.31,negative,0.09,0.28,12.12,4.8,1.7
conceptually dense > 0.70 & technically complicated > 0.70 & common > 0.5 & positive > 0.70 & negative <= 0.70,rule,0.09,positive,0.07,0.07,8.94,4.98,1.72
conceptually dense > 0.70 & socially controversial > 0.70 & neutral <= 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.04,negative,0.06,0.05,16.65,11.75,2.62
common > 0.30 & positive <= 0.5 & negative <= 0.89 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.13,positive,0.06,0.1,5.64,3.0,1.16
positive,linear,,negative,0.04,,,,
conceptually dense <= 0.70 & technically complicated <= 0.70 & common > 0.5 & positive <= 0.70 & negative <= 0.70,rule,0.04,negative,0.04,0.13,10.86,4.98,1.67
socially controversial > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.05,negative,0.04,0.05,59.8,58.29,4.22
technically complicated <= 0.70 & neutral > 0.70,rule,0.2,negative,0.04,0.21,5.61,3.68,1.35
socially controversial <= 0.30 & negative <= 0.5 & subject to geographical variability > 0.5 & subject to geographical variability <= 0.70,rule,0.04,negative,0.03,0.05,5.11,2.87,1.09
conceptually dense <= 0.5 & technically complicated <= 0.5 & unambiguous > 0.5 & negative <= 0.5,rule,0.06,negative,0.03,0.15,32.19,21.86,3.19
technically complicated <= 0.70 & socially controversial <= 0.5 & positive > 0.70 & negative <= 0.5 & subject to geographical variability <= 0.89,rule,0.26,negative,0.03,0.21,26.55,15.44,2.82
conceptually dense > 0.70 & technically complicated > 0.5 & neutral > 0.5 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.31,positive,0.03,0.35,82.78,48.91,4.0
conceptually dense > 0.5 & common > 0.5 & unambiguous <= 0.5 & positive > 0.5 & subject to geographical variability > 0.70,rule,0.16,negative,0.03,0.13,17.9,12.52,2.6
conceptually dense > 0.70 & positive <= 0.70 & negative <= 0.89,rule,0.34,positive,0.03,0.28,43.33,38.25,3.74
unambiguous > 0.5 & unambiguous <= 0.70 & neutral > 0.70 & subject to geographical variability <= 0.70 & subject to time variability <= 0.70,rule,0.05,negative,0.03,0.12,7.7,4.44,1.53
technically complicated > 0.30 & technically complicated <= 0.5 & common > 0.30 & positive > 0.70 & subject to geographical variability <= 0.89,rule,0.21,negative,0.03,0.17,112.81,62.05,4.26
socially controversial > 0.5 & socially controversial <= 0.70 & negative > 0.5 & subject to geographical variability > 0.70 & subject to geographical variability <= 0.89,rule,0.13,positive,0.02,0.12,4.48,2.87,1.07
technically complicated > 0.30 & technically complicated <= 0.5 & positive > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.70,rule,0.14,negative,0.02,0.11,41.77,37.28,3.69
common <= 0.70 & socially controversial > 0.30 & positive > 0.70 & positive <= 0.89 & subject to geographical variability > 0.5,rule,0.31,negative,0.02,0.25,12.05,5.82,1.8
