rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
technically complicated,linear,,negative,0.13,,,,
unambiguous <= 0.5 & positive <= 0.5 & negative > 0.70 & subject to geographical variability <= 0.89 & subject to time variability <= 0.89,rule,0.06,positive,0.03,0.06,0.9,0.32,1.03
conceptually dense > 0.5 & technically complicated <= 0.5 & socially controversial <= 0.5 & positive > 0.5,rule,0.09,positive,0.03,0.14,1.3,0.87,1.03
technically complicated <= 0.70 & positive <= 0.89 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.47,positive,0.02,0.39,5.28,3.13,1.16
conceptually dense <= 0.70 & common > 0.30 & common <= 0.89 & positive > 0.5 & negative > 0.30,rule,0.26,negative,0.02,0.21,2.11,0.93,1.02
conceptually dense > 0.70 & technically complicated <= 0.70 & positive > 0.70 & neutral <= 0.70 & interdisciplinary > 0.70,rule,0.14,positive,0.02,0.29,2.17,1.28,1.02
conceptually dense > 0.5 & conceptually dense <= 0.70 & unambiguous > 0.5 & neutral <= 0.70 & subject to time variability <= 0.70,rule,0.08,positive,0.01,0.1,1.12,0.61,1.01
common <= 0.89 & unambiguous <= 0.5 & negative > 0.30 & subject to geographical variability > 0.70 & subject to geographical variability <= 0.89,rule,0.23,positive,0.01,0.19,1.48,0.6,1.01
common > 0.70 & common <= 0.89 & negative > 0.30 & negative <= 0.70 & neutral > 0.5,rule,0.24,negative,0.01,0.22,0.34,0.1,1.01
technically complicated <= 0.70 & common <= 0.89 & socially controversial <= 0.70 & unambiguous > 0.5 & positive <= 0.89,rule,0.42,negative,0.01,0.42,1.93,0.92,1.01
conceptually dense > 0.5 & technically complicated <= 0.5 & negative <= 0.70 & interdisciplinary > 0.70,rule,0.08,positive,0.01,0.06,1.36,0.73,1.01
common <= 0.89 & socially controversial <= 0.70 & positive > 0.5 & positive <= 0.89 & negative > 0.30,rule,0.53,negative,0.01,0.43,1.27,0.45,1.01
technically complicated <= 0.5 & neutral <= 0.70 & subject to geographical variability <= 0.89 & subject to time variability <= 0.70,rule,0.08,positive,0.01,0.06,1.31,0.8,1.01
common > 0.30 & common <= 0.89 & neutral <= 0.70 & subject to geographical variability <= 0.89 & subject to time variability <= 0.89,rule,0.66,positive,0.01,0.57,1.81,0.62,1.01
