rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
conceptually dense > 0.70 & technically complicated > 0.5 & positive <= 0.70 & interdisciplinary > 0.89,rule,0.01,positive,1.93,0.25,1116.2,905.56,19.97
common > 0.5 & common <= 0.70 & positive <= 0.70 & interdisciplinary <= 0.5,rule,0.0,negative,1.77,0.01,4164.4,2341.13,21.49
positive <= 0.70 & neutral <= 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.08,positive,1.58,0.07,2306.45,989.09,17.76
common <= 0.5 & positive > 0.5,rule,0.06,negative,1.17,0.67,2559.79,2319.93,16.79
interdisciplinary <= 0.5,rule,0.03,negative,1.15,0.8,2357.9,2357.9,16.66
technically complicated > 0.70 & positive <= 0.70 & interdisciplinary > 0.89,rule,0.01,positive,0.79,0.01,1067.33,657.33,11.59
common > 0.5 & socially controversial > 0.30 & negative > 0.5 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.35,negative,0.72,0.5,2961.23,973.12,11.82
common > 0.5 & socially controversial <= 0.5 & positive <= 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.01,positive,0.71,0.06,5671.52,2183.16,13.17
socially controversial <= 0.70 & unambiguous > 0.5 & unambiguous <= 0.70 & positive <= 0.5 & interdisciplinary > 0.70,rule,0.03,negative,0.62,0.02,2497.34,1772.43,12.09
unambiguous <= 0.70 & positive > 0.30 & positive <= 0.5 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.03,positive,0.58,0.02,5400.94,2955.94,12.64
conceptually dense <= 0.70 & technically complicated > 0.5 & positive <= 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.02,positive,0.5,0.05,2959.91,1037.18,10.41
technically complicated > 0.30 & common > 0.5 & socially controversial <= 0.89 & unambiguous > 0.5 & interdisciplinary <= 0.70,rule,0.21,positive,0.43,0.54,490.82,308.1,8.2
neutral > 0.70 & neutral <= 0.89 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.09,positive,0.4,0.2,313.72,190.33,7.33
technically complicated > 0.5 & common > 0.5 & positive > 0.70 & positive <= 0.89 & interdisciplinary > 0.70,rule,0.29,positive,0.37,0.24,2384.81,777.57,9.1
common <= 0.5 & positive <= 0.5 & subject to geographical variability <= 0.89,rule,0.01,positive,0.36,0.01,2580.15,1885.65,10.28
common > 0.5 & unambiguous <= 0.70 & positive > 0.30 & negative > 0.5,rule,0.42,positive,0.36,0.63,484.79,300.16,7.73
conceptually dense > 0.70 & common > 0.5 & common <= 0.70 & unambiguous <= 0.70 & neutral <= 0.5,rule,0.07,positive,0.34,0.07,244.35,95.83,6.12
conceptually dense > 0.5 & technically complicated > 0.5 & socially controversial > 0.30 & positive <= 0.70 & interdisciplinary <= 0.70,rule,0.05,positive,0.33,0.06,1834.02,1554.8,9.77
common > 0.5 & unambiguous <= 0.70 & negative > 0.5 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.08,positive,0.33,0.15,1583.81,599.94,8.53
common > 0.70 & positive <= 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.03,positive,0.33,0.06,1878.31,908.8,9.05
technically complicated > 0.5 & interdisciplinary > 0.89 & subject to time variability > 0.5,rule,0.02,positive,0.33,0.59,645.89,577.38,8.44
common > 0.5 & common <= 0.70 & socially controversial > 0.30 & interdisciplinary > 0.5 & subject to time variability > 0.5,rule,0.47,positive,0.31,0.38,3602.46,1974.82,9.96
common > 0.70 & positive <= 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.14,negative,0.31,0.24,1354.06,635.98,8.45
