rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
unambiguous > 0.5 & positive <= 0.70 & interdisciplinary <= 0.5,rule,0.0,negative,0.81,0.02,516.04,417.72,10.95
common > 0.5 & positive <= 0.70 & negative <= 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.16,negative,0.52,0.13,1404.25,1001.1,10.48
positive > 0.70,rule,0.59,positive,0.49,0.81,2814.88,2814.88,11.87
common > 0.5 & positive <= 0.70 & negative > 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.14,negative,0.37,0.11,1372.5,1001.1,9.47
conceptually dense > 0.70 & technically complicated > 0.70 & positive <= 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.08,negative,0.27,0.23,241.61,108.98,5.95
technically complicated > 0.5 & negative > 0.5 & interdisciplinary > 0.89,rule,0.01,positive,0.21,0.28,112.64,81.97,5.32
socially controversial > 0.5 & positive <= 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.07,positive,0.21,0.1,296.92,249.94,6.68
socially controversial <= 0.5 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.02,negative,0.2,0.03,1111.91,982.84,8.26
common <= 0.5 & positive <= 0.5 & interdisciplinary > 0.70,rule,0.01,negative,0.2,0.04,99.38,87.07,5.35
technically complicated > 0.5 & positive <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.01,positive,0.19,0.01,180.4,73.44,5.11
unambiguous > 0.5 & positive > 0.5 & positive <= 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.02,positive,0.19,0.03,812.3,417.72,7.2
common > 0.5 & unambiguous > 0.70 & positive > 0.30 & positive <= 0.70,rule,0.01,negative,0.18,0.01,87.4,56.96,4.77
common > 0.5 & positive > 0.5 & positive <= 0.70,rule,0.23,negative,0.16,0.3,1992.68,1931.78,8.78
interdisciplinary > 0.89,rule,0.02,positive,0.14,0.58,58.43,58.43,4.62
conceptually dense > 0.5 & positive > 0.30 & positive <= 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.07,positive,0.14,0.06,195.77,123.4,5.5
technically complicated > 0.5 & socially controversial > 0.89 & positive <= 0.5,rule,0.01,positive,0.13,0.02,41.33,29.38,3.82
socially controversial > 0.30 & socially controversial <= 0.5 & positive <= 0.70 & subject to geographical variability > 0.5 & interdisciplinary <= 0.70,rule,0.01,positive,0.11,0.03,324.67,252.24,6.14
technically complicated > 0.5 & socially controversial > 0.5 & positive <= 0.70 & negative <= 0.89 & subject to geographical variability > 0.89,rule,0.04,negative,0.09,0.04,109.21,85.56,4.83
conceptually dense <= 0.70 & unambiguous > 0.5 & positive <= 0.70 & negative > 0.5 & neutral > 0.5,rule,0.03,negative,0.09,0.03,19.22,7.05,2.13
conceptually dense > 0.70 & technically complicated > 0.5 & common > 0.89 & positive <= 0.70,rule,0.01,negative,0.09,0.22,2212.41,1900.42,8.23
positive <= 0.70 & neutral <= 0.70 & subject to geographical variability > 0.89 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.04,negative,0.09,0.04,189.2,106.2,5.06
technically complicated <= 0.70 & positive > 0.30 & positive <= 0.70 & subject to geographical variability > 0.89,rule,0.04,negative,0.09,0.03,204.74,182.14,5.68
common > 0.5 & positive > 0.5 & positive <= 0.70 & subject to geographical variability > 0.70 & interdisciplinary > 0.70,rule,0.18,negative,0.09,0.23,1697.47,1249.34,7.77
interdisciplinary <= 0.5,rule,0.03,negative,0.08,0.23,27.8,27.8,3.6
common > 0.70 & socially controversial <= 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.04,negative,0.08,0.11,515.92,279.74,6.07
interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.69,negative,0.08,0.58,206.82,148.39,5.41
positive <= 0.70 & neutral <= 0.70 & subject to geographical variability > 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.07,positive,0.08,0.12,163.73,106.2,5.05
