rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common > 0.5 & interdisciplinary <= 0.5,rule,0.03,negative,0.75,0.21,319.13,318.08,10.09
common > 0.5 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.64,negative,0.67,0.53,684.7,345.22,9.77
positive <= 0.70 & interdisciplinary <= 0.5,rule,0.01,negative,0.62,0.02,741.43,717.86,10.62
positive <= 0.70 & interdisciplinary > 0.89,rule,0.01,positive,0.56,0.01,573.77,565.25,9.86
common <= 0.5 & positive > 0.5,rule,0.06,positive,0.52,0.06,100.34,64.11,6.31
positive <= 0.70 & interdisciplinary > 0.70,rule,0.32,negative,0.43,0.57,1986.44,1587.6,10.53
technically complicated > 0.5 & interdisciplinary > 0.89,rule,0.02,positive,0.41,0.5,331.47,320.1,8.11
interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.02,positive,0.37,0.41,1274.17,684.13,8.93
common > 0.30 & common <= 0.5 & positive <= 0.5 & interdisciplinary > 0.70,rule,0.01,negative,0.35,0.01,49.48,25.98,4.4
unambiguous <= 0.70 & neutral <= 0.70 & interdisciplinary <= 0.5,rule,0.01,negative,0.31,0.01,360.11,338.13,7.6
conceptually dense > 0.70 & common <= 0.5 & positive <= 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.02,negative,0.3,0.04,1998.89,1326.65,9.35
common > 0.5 & positive <= 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.3,negative,0.28,0.24,5543.29,3895.4,10.59
common > 0.5 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.24,positive,0.25,0.21,664.35,345.22,7.33
positive > 0.5 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.23,positive,0.22,0.2,5061.79,4338.18,10.2
interdisciplinary > 0.5 & interdisciplinary <= 0.70 & subject to time variability <= 0.70,rule,0.16,positive,0.22,0.15,2259.95,1081.12,8.49
negative <= 0.89 & interdisciplinary > 0.5 & interdisciplinary <= 0.70 & subject to time variability > 0.70,rule,0.09,positive,0.2,0.08,2454.45,1629.9,8.86
common <= 0.5 & positive <= 0.5 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.0,positive,0.19,0.0,3959.11,3895.4,9.8
positive <= 0.70 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.08,positive,0.15,0.21,2603.22,1974.79,8.74
negative > 0.5 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.37,negative,0.14,0.3,488.82,240.65,6.24
