rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
technically complicated,linear,,positive,0.61,,,,
conceptually dense > 0.89 & socially controversial <= 0.89 & subject to geographical variability <= 0.89,rule,0.02,positive,0.37,0.01,21.49,13.86,3.61
common,linear,,positive,0.26,,,,
conceptually dense > 0.70 & technically complicated <= 0.70 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.28,negative,0.16,0.25,277.55,237.33,6.32
common <= 0.89 & unambiguous > 0.70 & negative > 0.30,rule,0.57,negative,0.11,0.76,52.27,29.32,3.74
common <= 0.89 & socially controversial > 0.30 & positive > 0.30 & subject to geographical variability <= 0.70 & subject to time variability > 0.70,rule,0.03,positive,0.11,0.02,67.19,26.53,3.63
conceptually dense > 0.5 & conceptually dense <= 0.89 & common <= 0.70 & negative <= 0.89 & subject to geographical variability > 0.70,rule,0.17,negative,0.11,0.69,68.81,27.7,3.68
common <= 0.89 & unambiguous > 0.5 & positive > 0.70 & positive <= 0.89 & negative > 0.30,rule,0.64,negative,0.09,0.55,25.83,10.07,2.53
common <= 0.89 & positive <= 0.89 & negative > 0.30 & subject to geographical variability > 0.70 & subject to time variability > 0.5,rule,0.88,negative,0.09,0.74,31.22,12.71,2.76
technically complicated > 0.70 & unambiguous > 0.5 & subject to geographical variability <= 0.70,rule,0.03,positive,0.09,0.03,11.73,8.36,2.31
technically complicated > 0.70 & common > 0.70 & positive <= 0.70 & neutral > 0.5 & interdisciplinary > 0.89,rule,0.12,positive,0.08,0.1,36.94,24.17,3.44
common <= 0.89 & socially controversial > 0.89 & negative > 0.70,rule,0.07,negative,0.08,0.06,11.14,8.55,2.32
technically complicated > 0.70 & unambiguous <= 0.70 & positive > 0.30 & subject to geographical variability <= 0.89 & subject to time variability > 0.5,rule,0.23,positive,0.07,0.21,38.86,26.45,3.52
conceptually dense <= 0.89 & common <= 0.89 & socially controversial > 0.70 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.44,negative,0.06,0.36,65.77,22.26,3.29
technically complicated > 0.70 & positive > 0.30 & positive <= 0.70 & negative > 0.30 & neutral > 0.5,rule,0.16,positive,0.06,0.14,174.05,132.19,5.19
socially controversial > 0.5 & positive <= 0.70 & subject to geographical variability > 0.70 & subject to geographical variability <= 0.89 & subject to time variability <= 0.89,rule,0.17,negative,0.06,0.14,14.52,5.56,1.82
