rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
technically complicated <= 0.70 & socially controversial <= 0.5 & positive <= 0.5 & negative > 0.70,rule,0.0,negative,0.16,0.02,3.14,1.88,1.16
conceptually dense <= 0.70 & socially controversial > 0.30 & positive <= 0.5 & negative > 0.5 & neutral > 0.70,rule,0.0,negative,0.06,0.08,0.75,0.64,1.06
common <= 0.70 & socially controversial > 0.89 & unambiguous > 0.70 & interdisciplinary > 0.89,rule,0.0,negative,0.05,0.01,0.57,0.45,1.05
technically complicated > 0.5 & socially controversial <= 0.30 & positive > 0.5 & negative <= 0.30 & subject to geographical variability > 0.5,rule,0.0,positive,0.05,0.0,2.3,1.03,1.05
common > 0.70 & negative <= 0.30 & neutral > 0.70 & subject to geographical variability > 0.5 & subject to geographical variability <= 0.70,rule,0.0,positive,0.05,0.03,0.96,0.85,1.05
socially controversial > 0.30 & positive > 0.89 & subject to geographical variability > 0.70 & interdisciplinary <= 0.89 & subject to time variability > 0.5,rule,0.0,positive,0.04,0.01,0.42,0.26,1.04
common <= 0.70 & unambiguous > 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.0,positive,0.04,0.04,0.25,0.14,1.04
technically complicated <= 0.70 & positive > 0.30 & positive <= 0.5 & negative > 0.89,rule,0.0,negative,0.04,0.0,1.65,1.15,1.04
technically complicated <= 0.5 & socially controversial > 0.89 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89 & subject to time variability > 0.70,rule,0.0,negative,0.03,0.01,0.74,0.28,1.03
conceptually dense <= 0.70 & unambiguous > 0.5 & positive <= 0.5 & subject to geographical variability > 0.70 & interdisciplinary <= 0.89,rule,0.0,negative,0.03,0.0,2.29,1.45,1.03
technically complicated > 0.5 & technically complicated <= 0.70 & negative <= 0.30 & neutral > 0.5 & subject to geographical variability > 0.5,rule,0.0,positive,0.03,0.2,0.41,0.38,1.03
