rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
neutral,linear,,negative,0.84,,,,
common > 0.89,rule,0.04,positive,0.62,0.8,238.13,238.13,8.84
common > 0.89 & negative > 0.70 & subject to geographical variability > 0.70,rule,0.01,positive,0.18,0.02,207.18,171.93,6.08
socially controversial > 0.70 & unambiguous > 0.5 & positive <= 0.5 & subject to geographical variability > 0.89,rule,0.03,positive,0.13,0.03,37.4,28.64,3.8
conceptually dense <= 0.89 & positive <= 0.5 & negative > 0.70 & negative <= 0.89,rule,0.19,positive,0.13,0.16,174.95,123.74,5.45
conceptually dense <= 0.89 & technically complicated > 0.70 & positive <= 0.5 & negative > 0.70 & interdisciplinary > 0.89,rule,0.11,positive,0.12,0.15,20.06,8.55,2.4
conceptually dense <= 0.89 & common > 0.89 & unambiguous > 0.5,rule,0.03,positive,0.11,0.03,35.43,33.29,3.89
technically complicated > 0.5 & unambiguous > 0.70 & positive > 0.5 & positive <= 0.89 & subject to geographical variability <= 0.5,rule,0.01,negative,0.1,0.02,81.0,41.85,4.11
unambiguous > 0.70 & negative > 0.30 & negative <= 0.70 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.41,negative,0.1,0.35,186.47,132.4,5.38
common <= 0.89 & neutral > 0.5 & neutral <= 0.70 & subject to geographical variability > 0.5 & subject to time variability <= 0.89,rule,0.16,negative,0.1,0.72,78.82,48.63,4.25
common <= 0.89 & neutral > 0.5 & interdisciplinary > 0.89,rule,0.59,negative,0.1,0.49,26.63,13.44,2.86
common <= 0.89 & unambiguous > 0.70 & positive > 0.5 & negative > 0.30 & interdisciplinary <= 0.89,rule,0.2,negative,0.09,0.36,91.22,53.67,4.36
common > 0.89 & negative > 0.70,rule,0.01,positive,0.07,0.03,100.0,86.3,4.79
technically complicated > 0.70 & positive <= 0.5 & neutral <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.04,positive,0.07,0.05,55.86,36.39,3.84
socially controversial > 0.70 & socially controversial <= 0.89 & unambiguous > 0.70 & positive <= 0.5 & negative > 0.70,rule,0.06,positive,0.07,0.07,15.93,5.02,1.73
conceptually dense <= 0.89 & common <= 0.89 & socially controversial > 0.30 & socially controversial <= 0.70 & subject to geographical variability <= 0.89,rule,0.45,positive,0.07,0.39,34.53,26.38,3.49
technically complicated <= 0.89 & common <= 0.89 & negative <= 0.5 & subject to geographical variability <= 0.70 & interdisciplinary > 0.89,rule,0.01,negative,0.06,0.01,106.5,89.12,4.76
technically complicated > 0.70 & positive <= 0.89 & neutral > 0.70 & subject to geographical variability > 0.70 & interdisciplinary <= 0.89,rule,0.09,negative,0.06,0.09,44.85,36.39,3.79
conceptually dense <= 0.89 & socially controversial <= 0.89 & unambiguous > 0.5 & positive <= 0.5 & subject to geographical variability <= 0.89,rule,0.13,positive,0.06,0.1,33.57,28.64,3.55
conceptually dense <= 0.89 & positive > 0.30 & positive <= 0.5 & neutral > 0.70 & subject to geographical variability <= 0.89,rule,0.08,negative,0.06,0.12,25.27,14.13,2.8
socially controversial > 0.70 & negative > 0.70,rule,0.28,positive,0.05,0.28,11.58,9.12,2.32
