rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
positive,linear,,positive,0.11,,,,
subject to time variability,linear,,negative,0.11,,,,
technically complicated <= 0.89 & socially controversial <= 0.5 & positive <= 0.5,rule,0.03,negative,0.07,0.03,3.31,2.67,1.07
technically complicated <= 0.89 & common <= 0.89 & unambiguous > 0.70 & positive <= 0.5,rule,0.12,negative,0.06,0.1,31.4,30.9,3.65
conceptually dense <= 0.89 & technically complicated <= 0.89 & common <= 0.89 & positive <= 0.5 & subject to geographical variability <= 0.89,rule,0.17,negative,0.05,0.16,19.58,18.24,3.05
common > 0.70 & common <= 0.89 & negative <= 0.30,rule,0.02,positive,0.04,0.32,0.54,0.35,1.04
common > 0.70 & socially controversial <= 0.89 & unambiguous > 0.5 & positive <= 0.30 & negative > 0.70,rule,0.01,negative,0.03,0.02,5.89,3.62,1.32
positive > 0.89 & subject to geographical variability <= 0.70,rule,0.01,positive,0.03,0.06,1.95,1.64,1.03
common > 0.5 & socially controversial > 0.70 & negative > 0.89,rule,0.01,negative,0.03,0.22,11.58,9.63,2.34
unambiguous > 0.70 & negative > 0.70 & neutral > 0.70 & subject to geographical variability <= 0.89,rule,0.1,negative,0.03,0.09,4.18,3.08,1.15
common <= 0.89 & socially controversial <= 0.5 & positive > 0.89,rule,0.02,positive,0.03,0.3,0.33,0.22,1.03
socially controversial > 0.70 & unambiguous > 0.70 & positive <= 0.5 & interdisciplinary > 0.89 & subject to time variability <= 0.89,rule,0.06,negative,0.03,0.07,5.68,2.8,1.06
technically complicated > 0.5 & positive <= 0.5 & negative <= 0.89 & neutral > 0.70 & subject to time variability > 0.70,rule,0.1,positive,0.02,0.08,9.27,7.16,2.01
technically complicated > 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & positive <= 0.5,rule,0.08,negative,0.02,0.19,12.91,7.22,2.03
common > 0.70 & unambiguous > 0.70 & positive <= 0.30,rule,0.02,negative,0.02,0.02,3.76,2.98,1.12
technically complicated <= 0.70 & common > 0.70 & socially controversial <= 0.70 & negative <= 0.70 & subject to geographical variability <= 0.89,rule,0.19,positive,0.02,0.16,4.53,2.72,1.02
technically complicated <= 0.89 & common > 0.5 & unambiguous > 0.5 & negative > 0.70 & interdisciplinary > 0.89,rule,0.22,negative,0.02,0.44,6.52,5.18,1.68
positive <= 0.5 & subject to time variability <= 0.89,rule,0.22,negative,0.02,0.18,6.61,6.21,1.86
unambiguous <= 0.5 & positive > 0.30,rule,0.07,positive,0.02,0.07,1.21,0.94,1.02
technically complicated <= 0.70 & negative <= 0.70 & subject to geographical variability <= 0.89,rule,0.27,positive,0.02,0.29,8.35,7.46,2.05
technically complicated > 0.5 & common > 0.70 & common <= 0.89 & neutral <= 0.70,rule,0.14,negative,0.02,0.11,4.09,2.68,1.02
technically complicated <= 0.70 & positive > 0.70 & negative <= 0.5 & interdisciplinary <= 0.89,rule,0.18,positive,0.02,0.17,8.79,6.82,1.96
technically complicated > 0.70 & positive <= 0.70 & negative <= 0.89 & neutral <= 0.70 & subject to time variability <= 0.89,rule,0.06,negative,0.02,0.06,5.27,2.26,1.02
technically complicated > 0.5 & common > 0.70 & neutral <= 0.70 & interdisciplinary > 0.89 & subject to time variability <= 0.89,rule,0.11,negative,0.02,0.11,0.92,0.34,1.02
unambiguous > 0.5 & positive > 0.89 & subject to geographical variability <= 0.70,rule,0.01,positive,0.02,0.05,2.5,1.77,1.02
positive <= 0.5 & negative <= 0.89 & subject to geographical variability > 0.5 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.12,positive,0.02,0.1,2.52,1.84,1.02
conceptually dense > 0.5 & socially controversial <= 0.5 & positive > 0.5 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.18,positive,0.01,0.14,2.58,2.01,1.01
conceptually dense <= 0.89 & common <= 0.70 & socially controversial > 0.70 & unambiguous > 0.70 & negative <= 0.89,rule,0.03,negative,0.01,0.16,2.17,0.67,1.01
socially controversial <= 0.5 & positive > 0.5 & negative <= 0.5 & neutral > 0.70 & subject to geographical variability > 0.5,rule,0.34,positive,0.01,0.27,1.86,1.31,1.01
common > 0.5 & common <= 0.89 & positive > 0.70 & negative > 0.5,rule,0.2,negative,0.01,0.32,1.41,1.12,1.01
common > 0.70 & positive <= 0.30 & negative > 0.5,rule,0.03,negative,0.01,0.03,2.09,1.12,1.01
common > 0.5 & unambiguous > 0.5 & unambiguous <= 0.70 & positive > 0.30 & subject to time variability > 0.70,rule,0.29,negative,0.01,0.28,0.76,0.25,1.01
conceptually dense <= 0.70 & positive <= 0.89 & negative > 0.30 & negative <= 0.5 & neutral > 0.70,rule,0.07,negative,0.01,0.4,1.76,0.89,1.01
technically complicated <= 0.5 & neutral > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.06,negative,0.01,0.56,1.91,0.93,1.01
positive > 0.30 & negative > 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.1,positive,0.01,0.19,0.82,0.44,1.01
common > 0.5 & common <= 0.89 & unambiguous > 0.5 & negative > 0.70 & interdisciplinary > 0.89,rule,0.21,negative,0.01,0.22,2.11,1.46,1.01
conceptually dense <= 0.89 & common > 0.70 & socially controversial > 0.70 & unambiguous > 0.70 & negative <= 0.89,rule,0.17,positive,0.01,0.16,2.17,0.67,1.01
unambiguous > 0.5 & positive > 0.70 & negative > 0.30 & interdisciplinary <= 0.89,rule,0.27,negative,0.01,0.53,1.14,0.72,1.01
technically complicated <= 0.70 & common > 0.70 & unambiguous > 0.5 & positive > 0.5 & positive <= 0.89,rule,0.26,negative,0.01,0.45,11.37,9.84,2.3
unambiguous > 0.5 & positive <= 0.70 & negative <= 0.89 & subject to geographical variability > 0.89 & subject to time variability <= 0.89,rule,0.03,negative,0.01,0.03,0.85,0.33,1.01
conceptually dense > 0.70 & unambiguous > 0.70 & negative > 0.70 & subject to geographical variability <= 0.89,rule,0.14,negative,0.01,0.11,3.6,2.33,1.01
common <= 0.70 & unambiguous <= 0.5 & positive > 0.30 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.02,positive,0.01,0.05,1.8,0.77,1.01
conceptually dense > 0.5 & technically complicated <= 0.70 & unambiguous > 0.5 & negative > 0.70 & interdisciplinary > 0.89,rule,0.06,negative,0.01,0.11,1.94,1.5,1.01
conceptually dense > 0.5 & technically complicated <= 0.70 & unambiguous > 0.70 & negative > 0.30 & interdisciplinary <= 0.89,rule,0.15,negative,0.01,0.13,0.98,0.67,1.01
common > 0.70 & positive > 0.70 & positive <= 0.89 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.31,positive,0.01,0.25,2.73,2.4,1.01
conceptually dense > 0.70 & conceptually dense <= 0.89 & socially controversial <= 0.70 & negative <= 0.5 & subject to time variability > 0.5,rule,0.33,positive,0.01,0.27,2.79,2.39,1.01
unambiguous > 0.5 & positive > 0.30 & positive <= 0.70 & negative > 0.70 & interdisciplinary > 0.89,rule,0.14,negative,0.01,0.12,3.88,2.67,1.01
