rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
interdisciplinary,linear,,positive,10.67,,,,
common <= 0.5 & positive > 0.5,rule,0.03,negative,6.97,0.03,18930.48,16193.14,77.21
interdisciplinary <= 0.89,rule,0.37,negative,4.16,0.8,21130.47,21130.47,51.43
positive <= 0.70 & interdisciplinary <= 0.89,rule,0.07,negative,2.71,0.3,270422.11,265293.66,46.32
conceptually dense,linear,,positive,1.98,,,,
common <= 0.5 & positive > 0.5 & neutral > 0.5,rule,0.03,negative,1.65,0.03,2985.92,1509.68,19.4
negative > 0.30 & interdisciplinary > 0.89,rule,0.63,positive,1.35,0.79,66116.36,65717.87,26.05
common > 0.5 & positive > 0.70 & neutral > 0.5 & interdisciplinary > 0.89,rule,0.41,positive,0.77,0.34,32656.39,26589.69,18.03
common > 0.70 & socially controversial <= 0.89 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.05,negative,0.69,0.05,18147.58,16035.51,16.32
common > 0.5 & interdisciplinary > 0.89,rule,0.6,positive,0.68,0.51,111163.45,102595.96,19.38
common > 0.5 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.6,positive,0.65,0.49,30117.82,28486.44,16.92
technically complicated > 0.70 & common > 0.5 & unambiguous > 0.5 & interdisciplinary > 0.89 & subject to time variability <= 0.89,rule,0.42,positive,0.63,0.36,131035.71,120970.32,19.08
technically complicated <= 0.70 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.04,negative,0.61,0.2,43929.07,31486.79,16.71
conceptually dense > 0.70 & technically complicated > 0.5 & positive > 0.70 & interdisciplinary > 0.89,rule,0.41,positive,0.57,0.35,177660.24,142332.88,18.65
positive,linear,,positive,0.57,,,,
common > 0.70 & socially controversial > 0.5 & positive > 0.70 & interdisciplinary > 0.89,rule,0.19,positive,0.5,0.2,49950.84,34067.65,15.62
technically complicated > 0.5 & common <= 0.5 & positive <= 0.5 & subject to time variability > 0.70,rule,0.01,positive,0.47,0.02,18441.63,8884.8,13.35
common > 0.70 & negative <= 0.70 & interdisciplinary <= 0.89,rule,0.26,negative,0.46,0.26,111062.73,109568.01,16.92
