rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
interdisciplinary > 0.89,rule,0.63,positive,1.17,0.8,17003.93,17003.93,21.13
conceptually dense <= 0.89 & interdisciplinary <= 0.89,rule,0.37,negative,0.8,0.3,8745.16,8735.18,16.36
common > 0.5 & interdisciplinary <= 0.89,rule,0.36,negative,0.35,0.3,10742.39,10729.0,12.55
positive <= 0.70 & interdisciplinary <= 0.89,rule,0.07,negative,0.29,0.29,12454.92,12362.79,12.17
common > 0.5 & interdisciplinary > 0.89,rule,0.6,positive,0.2,0.51,10739.86,10729.0,11.17
conceptually dense,linear,,positive,0.19,,,,
conceptually dense <= 0.89 & common > 0.5 & neutral > 0.70 & neutral <= 0.89 & interdisciplinary <= 0.89,rule,0.31,negative,0.15,0.25,7064.24,6956.73,10.16
neutral <= 0.70 & interdisciplinary <= 0.89,rule,0.05,negative,0.15,0.3,13946.43,13921.46,10.96
common > 0.5 & common <= 0.89 & neutral <= 0.89 & subject to geographical variability > 0.5 & interdisciplinary <= 0.89,rule,0.32,negative,0.12,0.27,295.84,266.72,6.24
positive <= 0.70 & negative > 0.5 & interdisciplinary > 0.89,rule,0.19,positive,0.12,0.21,4123.99,3500.69,9.13
interdisciplinary <= 0.89,rule,0.37,negative,0.11,0.8,14926.69,14926.69,10.66
positive > 0.60 & negative > 0.30 & negative <= 0.5 & subject to geographical variability <= 0.5,rule,0.02,positive,0.09,0.02,89.8,74.68,4.69
socially controversial <= 0.5 & unambiguous > 0.70 & positive <= 0.89 & negative > 0.30 & interdisciplinary <= 0.89,rule,0.17,positive,0.09,0.25,1042.51,859.89,7.36
technically complicated > 0.70 & common > 0.5 & unambiguous > 0.5 & positive > 0.70 & subject to time variability > 0.70,rule,0.36,positive,0.08,0.3,69.4,57.28,4.39
socially controversial <= 0.70 & neutral <= 0.89 & interdisciplinary <= 0.89,rule,0.27,negative,0.08,0.22,6460.09,6431.96,9.48
socially controversial <= 0.89 & interdisciplinary <= 0.89,rule,0.36,negative,0.08,0.3,11510.11,11502.0,10.11
technically complicated > 0.5 & interdisciplinary > 0.89,rule,0.6,positive,0.08,0.51,1841.35,1840.51,8.1
socially controversial <= 0.89 & positive <= 0.70 & neutral > 0.5 & interdisciplinary > 0.89,rule,0.14,positive,0.07,0.15,1364.21,1359.92,7.73
common <= 0.89 & socially controversial > 0.30 & unambiguous > 0.70 & negative <= 0.70 & interdisciplinary <= 0.89,rule,0.18,negative,0.07,0.16,1096.61,988.74,7.35
interdisciplinary,linear,,positive,0.07,,,,
common <= 0.70 & positive <= 0.5 & interdisciplinary <= 0.89,rule,0.01,negative,0.07,0.03,310.99,263.31,5.95
socially controversial > 0.5 & neutral <= 0.70 & interdisciplinary <= 0.89,rule,0.05,negative,0.07,0.11,3107.91,2608.78,8.39
conceptually dense > 0.5 & common > 0.89 & neutral > 0.70 & neutral <= 0.89,rule,0.02,positive,0.06,0.02,8.0,4.13,1.5
conceptually dense > 0.70 & positive > 0.70 & interdisciplinary <= 0.89,rule,0.2,positive,0.06,0.22,376.84,314.48,6.11
common <= 0.89 & socially controversial > 0.30 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89 & subject to time variability <= 0.70,rule,0.05,negative,0.06,0.07,2276.85,2180.11,8.16
neutral <= 0.89 & subject to geographical variability <= 0.70 & interdisciplinary <= 0.89,rule,0.05,negative,0.06,0.04,64.88,46.84,4.08
technically complicated > 0.5 & unambiguous <= 0.70 & negative <= 0.70 & interdisciplinary <= 0.89 & subject to time variability > 0.5,rule,0.05,negative,0.06,0.06,816.45,800.16,7.06
socially controversial > 0.30 & positive > 0.70 & neutral > 0.70 & interdisciplinary <= 0.89,rule,0.24,positive,0.06,0.22,1440.52,1359.92,7.67
conceptually dense > 0.70 & technically complicated <= 0.70 & socially controversial > 0.5 & positive > 0.70 & neutral > 0.5,rule,0.13,positive,0.06,0.15,894.34,457.5,6.49
socially controversial > 0.70 & unambiguous <= 0.70 & neutral > 0.70 & subject to geographical variability > 0.70,rule,0.13,positive,0.06,0.22,215.84,149.77,5.33
common > 0.70 & unambiguous > 0.70 & positive > 0.70 & positive <= 0.89 & neutral > 0.70,rule,0.36,positive,0.06,0.3,936.21,421.97,6.42
conceptually dense > 0.70 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.07,negative,0.05,0.22,4724.06,3855.75,8.67
common > 0.5 & common <= 0.89 & socially controversial > 0.30 & subject to time variability <= 0.70,rule,0.06,negative,0.05,0.07,86.57,80.39,4.61
common > 0.70 & socially controversial > 0.70 & negative <= 0.89 & neutral <= 0.70 & interdisciplinary > 0.89,rule,0.12,positive,0.05,0.11,2816.71,2459.92,8.18
conceptually dense > 0.70 & technically complicated > 0.70 & common > 0.5 & common <= 0.89 & socially controversial <= 0.70,rule,0.29,positive,0.05,0.24,116.8,57.47,4.26
conceptually dense > 0.5 & technically complicated > 0.5 & common > 0.89 & socially controversial <= 0.89,rule,0.02,positive,0.05,0.02,10.42,5.76,1.83
technically complicated <= 0.5 & socially controversial <= 0.5 & positive > 0.70 & subject to geographical variability > 0.70,rule,0.06,negative,0.05,0.05,527.82,286.85,5.92
technically complicated <= 0.70 & socially controversial > 0.5 & positive <= 0.89 & negative <= 0.5 & subject to geographical variability <= 0.89,rule,0.06,positive,0.04,0.11,940.57,381.85,6.17
positive <= 0.70 & subject to geographical variability > 0.70 & interdisciplinary <= 0.89 & subject to time variability > 0.70,rule,0.06,negative,0.04,0.21,3178.34,2728.51,8.19
common > 0.5 & socially controversial > 0.5 & negative <= 0.70 & neutral > 0.70 & interdisciplinary <= 0.89,rule,0.06,positive,0.04,0.05,3772.42,2352.21,8.07
conceptually dense > 0.70 & common > 0.5 & positive > 0.70 & neutral <= 0.70 & interdisciplinary <= 0.89,rule,0.01,negative,0.04,0.05,479.27,324.84,6.01
conceptually dense > 0.89 & common <= 0.70 & subject to geographical variability <= 0.89,rule,0.01,positive,0.04,0.15,14.24,8.8,2.26
conceptually dense > 0.70 & unambiguous <= 0.70 & neutral <= 0.70 & subject to geographical variability > 0.5 & interdisciplinary <= 0.89,rule,0.03,negative,0.04,0.03,420.21,399.78,6.22
technically complicated <= 0.70 & common > 0.70 & unambiguous <= 0.5 & interdisciplinary <= 0.89,rule,0.01,negative,0.04,0.03,85.81,70.27,4.41
technically complicated > 0.70 & common <= 0.70 & socially controversial > 0.70 & unambiguous <= 0.70 & positive <= 0.70,rule,0.02,positive,0.04,0.05,10.2,4.05,1.45
