rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
socially controversial > 0.89 & positive > 0.70 & subject to geographical variability > 0.5 & interdisciplinary > 0.89,rule,0.02,positive,0.39,0.02,34.71,18.77,4.09
subject to time variability,linear,,negative,0.35,,,,
conceptually dense <= 0.89 & common <= 0.5 & positive > 0.5,rule,0.02,negative,0.3,0.02,33.85,12.84,3.31
common <= 0.5 & positive > 0.5 & subject to geographical variability <= 0.89,rule,0.03,negative,0.27,0.02,49.24,34.41,4.51
conceptually dense <= 0.89 & positive <= 0.70 & negative > 0.70 & subject to geographical variability > 0.70 & interdisciplinary > 0.89,rule,0.18,positive,0.23,0.15,418.44,336.76,7.14
positive <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.07,negative,0.23,0.18,567.17,422.8,7.44
socially controversial > 0.70 & negative <= 0.89 & subject to geographical variability > 0.70 & interdisciplinary > 0.89,rule,0.36,positive,0.2,0.3,144.93,138.16,5.92
common <= 0.89 & unambiguous > 0.70 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.04,negative,0.17,0.11,426.55,289.65,6.65
conceptually dense > 0.5 & common <= 0.89 & unambiguous <= 0.5 & positive > 0.70,rule,0.04,positive,0.17,0.03,31.27,14.38,3.11
conceptually dense > 0.70 & common > 0.5 & positive > 0.70 & subject to geographical variability > 0.5 & subject to time variability <= 0.70,rule,0.03,positive,0.17,0.03,39.7,15.82,3.22
socially controversial > 0.30 & socially controversial <= 0.70 & negative <= 0.70 & subject to geographical variability <= 0.89 & subject to time variability > 0.70,rule,0.37,negative,0.14,0.29,64.96,35.43,4.06
common,linear,,positive,0.14,,,,
conceptually dense > 0.5 & unambiguous <= 0.70 & positive > 0.70 & neutral > 0.70 & subject to geographical variability > 0.5,rule,0.2,positive,0.14,0.21,35.74,14.13,3.03
technically complicated > 0.5 & common > 0.5 & common <= 0.89 & socially controversial > 0.89 & neutral > 0.5,rule,0.06,negative,0.14,0.05,60.34,51.86,4.49
conceptually dense <= 0.89 & technically complicated <= 0.5 & common > 0.5 & negative <= 0.70,rule,0.11,positive,0.13,0.23,96.06,72.23,4.85
common > 0.5 & unambiguous > 0.5 & positive <= 0.70 & neutral > 0.5 & interdisciplinary <= 0.89,rule,0.05,negative,0.13,0.05,224.48,107.15,5.29
technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.5 & positive > 0.70 & negative > 0.30,rule,0.19,positive,0.12,0.16,37.23,20.38,3.38
