rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
conceptually dense > 0.70 & positive <= 0.70 & subject to geographical variability > 0.89,rule,0.05,positive,0.08,0.21,25.47,23.27,3.41
technically complicated > 0.70 & unambiguous > 0.70 & positive > 0.5 & positive <= 0.70,rule,0.01,positive,0.08,0.07,13.51,5.07,1.76
common > 0.5 & positive > 0.5 & positive <= 0.70 & negative <= 0.89 & subject to geographical variability <= 0.89,rule,0.04,positive,0.08,0.16,18.38,10.29,2.53
common > 0.5 & socially controversial > 0.70 & positive > 0.70 & interdisciplinary <= 0.89 & subject to time variability <= 0.89,rule,0.05,negative,0.07,0.07,30.21,14.65,2.88
common <= 0.70 & socially controversial <= 0.70 & positive <= 0.70 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.01,positive,0.07,0.05,11.49,3.94,1.46
common > 0.70 & socially controversial > 0.5 & positive <= 0.70 & negative > 0.70 & negative <= 0.89,rule,0.17,positive,0.06,0.14,12.44,9.35,2.36
positive > 0.70 & negative > 0.70 & interdisciplinary > 0.89 & subject to time variability <= 0.89,rule,0.07,negative,0.06,0.06,23.27,13.56,2.75
common > 0.70 & common <= 0.89 & socially controversial > 0.70 & positive > 0.70 & interdisciplinary > 0.89,rule,0.14,positive,0.06,0.14,62.35,25.81,3.45
interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.62,positive,0.05,0.5,22.28,21.75,3.24
common > 0.5 & positive > 0.70 & neutral <= 0.89 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.61,negative,0.05,0.56,14.88,10.94,2.5
positive <= 0.70 & negative > 0.5 & neutral > 0.70,rule,0.12,positive,0.05,0.21,23.14,20.88,3.19
technically complicated > 0.70 & common <= 0.89 & positive <= 0.70 & subject to geographical variability > 0.89,rule,0.04,positive,0.05,0.04,9.91,8.36,2.23
conceptually dense > 0.5 & negative <= 0.70 & subject to geographical variability > 0.5 & interdisciplinary <= 0.89 & subject to time variability > 0.70,rule,0.19,negative,0.05,0.16,17.74,14.74,2.82
technically complicated > 0.70 & positive <= 0.70 & interdisciplinary > 0.89,rule,0.15,positive,0.05,0.15,23.03,17.81,3.01
common > 0.5 & negative > 0.70 & neutral > 0.5 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.29,negative,0.05,0.24,23.4,13.51,2.75
technically complicated > 0.70 & positive > 0.5 & positive <= 0.70,rule,0.03,positive,0.05,0.14,77.89,44.4,3.99
conceptually dense > 0.5 & technically complicated <= 0.89 & unambiguous > 0.5 & negative > 0.5 & interdisciplinary > 0.89,rule,0.31,negative,0.05,0.25,6.14,2.87,1.11
conceptually dense <= 0.89 & socially controversial <= 0.89 & unambiguous > 0.70 & positive > 0.70 & positive <= 0.89,rule,0.44,negative,0.04,0.37,47.1,25.78,3.38
technically complicated > 0.70 & common > 0.70 & neutral <= 0.70 & subject to time variability <= 0.89,rule,0.08,negative,0.04,0.07,17.99,14.69,2.79
conceptually dense > 0.70 & positive <= 0.70 & negative <= 0.70 & neutral > 0.70 & subject to time variability > 0.70,rule,0.02,positive,0.04,0.02,55.96,53.11,4.14
socially controversial > 0.89 & unambiguous <= 0.70 & negative <= 0.89 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.02,positive,0.04,0.19,12.17,6.56,1.96
technically complicated > 0.70 & technically complicated <= 0.89 & positive > 0.70 & neutral > 0.5 & interdisciplinary > 0.89,rule,0.32,negative,0.04,0.37,45.93,29.0,3.51
common <= 0.89 & socially controversial > 0.5 & unambiguous <= 0.70 & negative <= 0.89 & subject to geographical variability <= 0.89,rule,0.23,positive,0.04,0.2,8.48,5.93,1.86
unambiguous > 0.70 & positive <= 0.70 & negative > 0.70 & neutral > 0.70 & subject to geographical variability <= 0.89,rule,0.06,negative,0.04,0.06,7.09,2.6,1.04
unambiguous <= 0.70 & positive <= 0.70 & negative > 0.70 & negative <= 0.89 & interdisciplinary > 0.89,rule,0.1,positive,0.03,0.08,10.79,7.34,2.05
common > 0.70 & socially controversial <= 0.70 & positive > 0.5 & positive <= 0.70,rule,0.01,positive,0.03,0.03,13.03,6.33,1.9
unambiguous > 0.70 & negative > 0.5 & neutral > 0.5 & interdisciplinary > 0.89,rule,0.16,negative,0.03,0.27,24.79,17.54,2.94
technically complicated <= 0.70 & positive > 0.70 & positive <= 0.89 & negative > 0.5 & subject to time variability <= 0.89,rule,0.07,negative,0.03,0.23,24.41,16.27,2.89
conceptually dense > 0.70 & technically complicated <= 0.70 & socially controversial <= 0.5 & negative <= 0.5 & subject to time variability > 0.70,rule,0.06,positive,0.03,0.1,2.88,0.92,1.03
technically complicated <= 0.70 & common > 0.5 & socially controversial > 0.5 & unambiguous > 0.70 & positive > 0.70,rule,0.08,negative,0.03,0.18,13.79,4.79,1.62
conceptually dense > 0.70 & technically complicated <= 0.70 & socially controversial > 0.5 & negative <= 0.5 & subject to time variability > 0.70,rule,0.07,negative,0.03,0.1,2.88,0.92,1.03
common > 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & unambiguous > 0.70 & subject to geographical variability <= 0.89,rule,0.13,positive,0.03,0.12,10.53,6.19,1.87
common <= 0.70 & unambiguous <= 0.70 & negative > 0.5 & negative <= 0.89 & subject to geographical variability <= 0.89,rule,0.05,positive,0.03,0.06,7.7,3.39,1.25
conceptually dense > 0.5 & technically complicated <= 0.5 & positive > 0.70 & negative <= 0.70,rule,0.08,positive,0.03,0.09,43.22,32.57,3.59
technically complicated > 0.70 & socially controversial > 0.70 & unambiguous > 0.70 & neutral > 0.70 & subject to geographical variability > 0.89,rule,0.02,positive,0.03,0.02,16.97,9.45,2.32
common > 0.5 & subject to geographical variability > 0.5 & interdisciplinary <= 0.89 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.26,negative,0.03,0.21,64.86,54.56,4.14
positive > 0.70 & negative > 0.5 & neutral > 0.70,rule,0.15,negative,0.03,0.17,22.13,20.88,3.12
conceptually dense > 0.5 & socially controversial <= 0.5 & unambiguous > 0.70 & positive <= 0.89 & negative <= 0.5,rule,0.25,positive,0.03,0.22,7.03,3.54,1.3
common <= 0.5 & socially controversial <= 0.89 & positive > 0.5 & interdisciplinary > 0.89,rule,0.02,negative,0.03,0.02,2.4,1.22,1.03
technically complicated > 0.70 & common > 0.70 & unambiguous > 0.5 & unambiguous <= 0.70 & subject to geographical variability > 0.70,rule,0.15,negative,0.03,0.15,3.74,2.35,1.03
common <= 0.70 & socially controversial <= 0.89 & positive <= 0.70 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.03,positive,0.03,0.03,10.22,7.84,2.13
unambiguous <= 0.70 & positive <= 0.70 & negative <= 0.89 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.07,positive,0.03,0.19,12.43,4.75,1.61
technically complicated > 0.70 & socially controversial <= 0.89 & interdisciplinary > 0.89,rule,0.43,positive,0.03,0.38,4.88,3.95,1.42
common > 0.5 & unambiguous > 0.70 & neutral <= 0.89,rule,0.59,negative,0.03,0.48,18.77,16.82,2.91
conceptually dense <= 0.89 & common > 0.5 & unambiguous > 0.70 & neutral > 0.5 & neutral <= 0.89,rule,0.58,negative,0.02,0.47,7.11,6.56,1.92
common <= 0.89 & socially controversial > 0.5 & positive > 0.70 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.25,positive,0.02,0.26,20.98,10.4,2.38
unambiguous > 0.5 & positive <= 0.70 & negative <= 0.89 & neutral <= 0.70 & interdisciplinary > 0.89,rule,0.07,negative,0.02,0.07,16.31,13.08,2.63
technically complicated <= 0.89 & common > 0.70 & socially controversial <= 0.89 & neutral <= 0.89 & subject to geographical variability <= 0.89,rule,0.67,negative,0.02,0.53,3.3,1.14,1.02
conceptually dense > 0.5 & common <= 0.89 & socially controversial <= 0.89 & positive > 0.70 & negative <= 0.5,rule,0.46,positive,0.02,0.38,21.12,10.15,2.37
technically complicated <= 0.70 & common > 0.5 & socially controversial <= 0.89 & unambiguous <= 0.70 & positive > 0.70,rule,0.08,negative,0.02,0.07,10.58,4.79,1.6
conceptually dense <= 0.89 & common > 0.70 & socially controversial <= 0.89 & positive > 0.70 & negative > 0.5,rule,0.14,negative,0.02,0.15,21.94,10.15,2.36
conceptually dense > 0.5 & common > 0.5 & socially controversial > 0.30 & neutral <= 0.89 & interdisciplinary <= 0.89,rule,0.3,negative,0.02,0.72,18.04,15.25,2.78
common > 0.70 & unambiguous > 0.5 & negative > 0.70 & negative <= 0.89 & subject to geographical variability > 0.89,rule,0.05,negative,0.02,0.04,3.1,1.26,1.02
common <= 0.70 & socially controversial > 0.5 & unambiguous > 0.5 & negative > 0.5 & interdisciplinary > 0.89,rule,0.05,negative,0.02,0.04,16.81,8.68,2.2
conceptually dense <= 0.89 & socially controversial <= 0.70 & negative > 0.30 & negative <= 0.5 & subject to geographical variability <= 0.89,rule,0.41,negative,0.02,0.33,5.3,2.48,1.02
common > 0.5 & negative > 0.30 & negative <= 0.5 & subject to geographical variability > 0.70 & interdisciplinary > 0.89,rule,0.25,positive,0.02,0.21,9.2,8.29,2.16
conceptually dense > 0.5 & common > 0.70 & positive <= 0.70 & subject to time variability > 0.70,rule,0.22,positive,0.02,0.18,19.33,18.98,2.99
conceptually dense > 0.70 & technically complicated > 0.70 & common <= 0.70 & socially controversial <= 0.70 & subject to time variability <= 0.89,rule,0.08,positive,0.02,0.25,21.9,6.47,1.9
technically complicated <= 0.70 & common > 0.5 & unambiguous > 0.70 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.24,negative,0.02,0.42,21.11,9.57,2.3
technically complicated > 0.70 & technically complicated <= 0.89 & positive <= 0.70 & neutral > 0.5 & interdisciplinary > 0.89,rule,0.14,positive,0.02,0.37,45.93,29.0,3.45
conceptually dense > 0.5 & technically complicated <= 0.70 & common > 0.70 & negative <= 0.70 & neutral <= 0.89,rule,0.23,positive,0.02,0.2,5.22,2.43,1.02
conceptually dense <= 0.89 & negative <= 0.89 & subject to geographical variability > 0.5 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.51,positive,0.02,0.42,75.67,66.86,4.29
conceptually dense <= 0.89 & positive <= 0.70 & negative <= 0.89 & subject to geographical variability <= 0.89 & subject to time variability > 0.70,rule,0.2,positive,0.02,0.16,41.41,33.18,3.58
common > 0.70 & socially controversial > 0.89 & negative > 0.5 & negative <= 0.70,rule,0.01,positive,0.02,0.08,7.1,2.9,1.09
technically complicated <= 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.05,positive,0.02,0.09,14.78,6.65,1.93
common <= 0.70 & socially controversial <= 0.70 & subject to geographical variability > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.05,positive,0.02,0.18,40.07,34.57,3.62
positive > 0.70 & subject to geographical variability > 0.70 & interdisciplinary <= 0.89,rule,0.25,negative,0.02,0.24,90.09,50.17,4.0
technically complicated > 0.70 & common <= 0.70 & neutral > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.1,positive,0.02,0.1,34.43,10.35,2.38
common <= 0.89 & socially controversial > 0.89 & unambiguous > 0.70 & subject to geographical variability <= 0.89,rule,0.02,negative,0.01,0.04,9.61,5.02,1.63
technically complicated <= 0.70 & common > 0.5 & common <= 0.70 & positive > 0.70 & subject to time variability > 0.70,rule,0.03,negative,0.01,0.1,5.81,2.83,1.05
common > 0.70 & socially controversial <= 0.5 & unambiguous > 0.5 & negative > 0.5,rule,0.05,negative,0.01,0.06,3.63,1.64,1.01
conceptually dense <= 0.89 & negative > 0.5 & subject to geographical variability > 0.70 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.34,positive,0.01,0.28,18.38,14.74,2.73
conceptually dense <= 0.89 & common > 0.70 & socially controversial <= 0.89 & unambiguous > 0.5,rule,0.68,negative,0.01,0.66,3.48,2.17,1.01
conceptually dense <= 0.89 & positive > 0.70 & positive <= 0.89 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.27,negative,0.01,0.52,76.1,38.91,3.68
common > 0.70 & socially controversial > 0.89 & interdisciplinary > 0.89,rule,0.07,positive,0.01,0.06,26.63,25.18,3.25
technically complicated <= 0.70 & common > 0.5 & neutral > 0.70 & subject to time variability > 0.70,rule,0.21,negative,0.01,0.24,24.19,14.69,2.71
conceptually dense > 0.70 & unambiguous <= 0.70 & positive <= 0.70 & negative > 0.70 & neutral > 0.5,rule,0.1,positive,0.01,0.08,43.04,24.45,3.23
conceptually dense > 0.70 & socially controversial <= 0.70 & unambiguous > 0.70 & positive > 0.70 & negative > 0.5,rule,0.03,negative,0.01,0.03,18.65,11.91,2.51
technically complicated > 0.70 & common > 0.5 & negative <= 0.5 & subject to geographical variability > 0.70 & interdisciplinary <= 0.89,rule,0.06,negative,0.01,0.05,7.14,6.0,1.81
common > 0.5 & common <= 0.89 & unambiguous > 0.70 & positive > 0.70 & interdisciplinary <= 0.89,rule,0.21,negative,0.01,0.21,8.07,3.85,1.36
common > 0.70 & socially controversial > 0.89 & subject to geographical variability > 0.89,rule,0.04,positive,0.01,0.07,1.23,0.82,1.01
