rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
positive <= 0.70 & interdisciplinary <= 0.89,rule,0.07,negative,0.71,0.22,315.22,212.33,9.16
positive > 0.70,rule,0.73,positive,0.07,0.8,108.21,108.21,5.02
positive <= 0.70 & neutral > 0.70,rule,0.14,negative,0.05,0.21,112.11,104.37,4.87
socially controversial <= 0.70 & positive <= 0.70,rule,0.06,negative,0.04,0.41,64.14,63.43,4.33
positive > 0.30 & positive <= 0.70 & negative > 0.5 & subject to geographical variability > 0.70 & interdisciplinary > 0.89,rule,0.16,positive,0.04,0.15,207.08,150.64,5.21
conceptually dense <= 0.89 & common <= 0.89 & socially controversial <= 0.5 & positive <= 0.70,rule,0.04,negative,0.03,0.03,8.42,7.76,2.1
unambiguous > 0.70 & positive <= 0.70 & negative <= 0.70 & neutral > 0.5,rule,0.02,negative,0.02,0.35,18.87,15.18,2.76
technically complicated <= 0.5 & positive <= 0.70 & subject to geographical variability > 0.5 & subject to geographical variability <= 0.89,rule,0.02,positive,0.01,0.06,12.11,11.51,2.47
positive <= 0.70 & negative <= 0.89 & interdisciplinary <= 0.89 & subject to time variability > 0.70,rule,0.06,negative,0.01,0.05,36.47,26.51,3.31
technically complicated <= 0.70 & positive <= 0.5 & subject to geographical variability > 0.70 & subject to geographical variability <= 0.89,rule,0.06,positive,0.01,0.06,12.32,5.69,1.76
conceptually dense <= 0.89 & technically complicated > 0.70 & unambiguous > 0.70 & positive <= 0.70 & negative <= 0.89,rule,0.08,negative,0.01,0.25,1.48,1.04,1.01
interdisciplinary > 0.89 & subject to time variability <= 0.89,rule,0.62,positive,0.01,0.5,24.9,24.89,3.24
positive <= 0.70 & negative <= 0.70 & neutral > 0.5 & subject to geographical variability > 0.5,rule,0.02,negative,0.01,0.19,3.28,1.74,1.01
common > 0.5 & socially controversial <= 0.89 & positive > 0.70 & subject to geographical variability > 0.5,rule,0.66,positive,0.01,0.55,25.46,25.43,3.26
technically complicated <= 0.5 & unambiguous > 0.5 & subject to geographical variability > 0.70 & interdisciplinary <= 0.89 & subject to time variability > 0.70,rule,0.06,positive,0.01,0.05,27.95,24.46,3.24
subject to geographical variability > 0.89 & interdisciplinary <= 0.89 & subject to time variability > 0.70,rule,0.01,negative,0.01,0.08,4.71,4.52,1.52
common > 0.70 & common <= 0.89 & positive <= 0.70 & neutral > 0.5 & subject to time variability > 0.70,rule,0.19,negative,0.0,0.18,52.9,47.76,3.88
socially controversial <= 0.70 & positive > 0.70 & negative <= 0.5 & subject to geographical variability > 0.5 & interdisciplinary <= 0.89,rule,0.21,positive,0.0,0.18,4.56,4.06,1.4
conceptually dense > 0.5 & common <= 0.89 & socially controversial > 0.5 & unambiguous > 0.5 & negative > 0.70,rule,0.24,positive,0.0,0.38,0.48,0.14,1.0
technically complicated <= 0.70 & positive <= 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.02,positive,0.0,0.04,9.77,9.12,2.21
conceptually dense <= 0.89 & common <= 0.89 & positive <= 0.5 & neutral > 0.5,rule,0.18,negative,0.0,0.18,0.46,0.21,1.0
conceptually dense > 0.5 & positive <= 0.5 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.09,positive,0.0,0.07,2.01,1.52,1.0
common > 0.5 & positive > 0.70 & positive <= 0.89 & neutral > 0.5 & subject to geographical variability <= 0.89,rule,0.63,positive,0.0,0.55,0.82,0.79,1.0
technically complicated <= 0.70 & common > 0.70 & positive > 0.30 & positive <= 0.5,rule,0.05,positive,0.0,0.05,0.85,0.48,1.0
subject to geographical variability > 0.89 & interdisciplinary <= 0.89,rule,0.01,negative,0.0,0.29,12.15,10.76,2.38
technically complicated > 0.70 & common <= 0.89 & positive <= 0.70 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.17,negative,0.0,0.2,9.94,7.16,1.98
positive > 0.70 & subject to geographical variability > 0.5,rule,0.71,positive,0.0,0.58,89.8,89.79,4.51
technically complicated > 0.70 & interdisciplinary <= 0.89,rule,0.12,negative,0.0,0.47,11.68,11.64,2.46
positive > 0.70 & subject to geographical variability <= 0.89,rule,0.68,positive,0.0,0.59,6.88,6.87,1.93
conceptually dense > 0.5 & positive > 0.70,rule,0.69,positive,0.0,0.77,51.69,51.34,3.94
technically complicated > 0.70 & positive <= 0.5,rule,0.15,negative,0.0,0.14,0.19,0.17,1.0
conceptually dense <= 0.89 & positive <= 0.70 & negative > 0.5 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.14,positive,0.0,0.12,36.79,32.52,3.49
common <= 0.89 & interdisciplinary <= 0.89,rule,0.35,negative,0.0,0.29,19.38,18.59,2.93
technically complicated > 0.5 & unambiguous > 0.70 & neutral > 0.70 & subject to geographical variability > 0.70,rule,0.41,negative,0.0,0.39,1.23,0.69,1.0
interdisciplinary <= 0.89 & subject to time variability > 0.70,rule,0.28,negative,0.0,0.3,32.02,24.89,3.23
socially controversial > 0.5 & positive <= 0.70 & negative > 0.70 & negative <= 0.89 & subject to geographical variability <= 0.89,rule,0.16,positive,0.0,0.16,29.77,13.54,2.61
socially controversial <= 0.70 & positive > 0.70 & negative <= 0.5 & subject to geographical variability > 0.5,rule,0.4,positive,0.0,0.34,21.57,18.23,2.91
positive <= 0.70 & negative > 0.5 & subject to geographical variability > 0.70 & subject to geographical variability <= 0.89 & subject to time variability <= 0.89,rule,0.2,positive,0.0,0.16,0.58,0.37,1.0
