rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
conceptually dense > 0.70 & common <= 0.5 & negative > 0.89 & neutral <= 0.70,rule,0.02,positive,0.09,0.02,3.3,0.98,1.09
common > 0.70 & socially controversial <= 0.5 & unambiguous <= 0.70 & negative <= 0.5 & interdisciplinary > 0.70,rule,0.06,negative,0.08,0.08,11.2,2.87,1.14
conceptually dense > 0.70 & socially controversial > 0.70 & positive <= 0.5 & negative > 0.70 & subject to geographical variability <= 0.89,rule,0.15,positive,0.07,0.12,12.31,4.75,1.67
conceptually dense <= 0.70 & common > 0.70 & unambiguous > 0.5 & positive > 0.5 & negative > 0.5,rule,0.11,negative,0.06,0.13,5.17,2.89,1.12
conceptually dense <= 0.70 & common > 0.5 & common <= 0.70 & neutral > 0.70,rule,0.04,negative,0.05,0.06,6.4,2.9,1.11
conceptually dense <= 0.70 & technically complicated <= 0.70 & socially controversial <= 0.5 & unambiguous <= 0.70 & neutral > 0.30,rule,0.06,positive,0.04,0.13,35.44,26.6,3.41
technically complicated <= 0.5 & positive > 0.5 & positive <= 0.89 & negative <= 0.5,rule,0.05,positive,0.04,0.11,6.92,5.07,1.68
conceptually dense <= 0.70 & socially controversial > 0.70 & positive > 0.5 & negative <= 0.89 & neutral <= 0.70,rule,0.04,negative,0.04,0.04,9.1,3.52,1.31
technically complicated <= 0.70 & positive > 0.5 & neutral > 0.30 & subject to time variability <= 0.89,rule,0.29,positive,0.04,0.31,28.17,21.41,3.19
unambiguous > 0.5 & positive <= 0.70 & neutral > 0.30 & neutral <= 0.70 & subject to time variability <= 0.89,rule,0.12,positive,0.04,0.15,3.18,1.79,1.04
conceptually dense > 0.70 & common > 0.5 & unambiguous <= 0.70 & neutral > 0.30 & neutral <= 0.70,rule,0.14,negative,0.04,0.27,9.99,4.55,1.58
socially controversial <= 0.70 & neutral > 0.30 & neutral <= 0.70,rule,0.01,positive,0.04,0.25,6.45,2.2,1.04
conceptually dense > 0.5 & unambiguous <= 0.70 & neutral > 0.30 & neutral <= 0.5,rule,0.01,positive,0.04,0.15,2.3,0.92,1.04
conceptually dense > 0.70 & conceptually dense <= 0.89 & technically complicated > 0.70 & negative > 0.70 & subject to geographical variability <= 0.89,rule,0.19,positive,0.04,0.36,11.52,8.16,2.18
technically complicated > 0.70 & unambiguous > 0.5 & unambiguous <= 0.70 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.51,negative,0.04,0.41,11.95,10.7,2.46
technically complicated > 0.70 & common > 0.5 & neutral <= 0.30 & interdisciplinary > 0.70,rule,0.13,negative,0.03,0.19,15.64,7.37,2.06
conceptually dense > 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & positive > 0.70,rule,0.25,positive,0.03,0.27,5.14,2.73,1.03
technically complicated <= 0.70 & negative > 0.89 & neutral <= 0.70 & subject to time variability <= 0.89,rule,0.06,negative,0.03,0.19,5.71,2.6,1.03
technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.5 & common <= 0.70 & neutral > 0.30,rule,0.05,negative,0.03,0.07,15.64,11.79,2.55
conceptually dense > 0.5 & common <= 0.5 & socially controversial > 0.5 & positive > 0.5 & neutral <= 0.30,rule,0.02,negative,0.03,0.01,5.45,2.91,1.1
socially controversial > 0.30 & socially controversial <= 0.70 & unambiguous > 0.5 & unambiguous <= 0.70 & subject to geographical variability <= 0.89,rule,0.39,negative,0.03,0.32,10.1,5.53,1.77
technically complicated <= 0.70 & positive > 0.5 & negative > 0.89 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.04,negative,0.03,0.29,22.42,17.29,2.93
technically complicated > 0.5 & negative <= 0.89 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.42,negative,0.03,0.35,12.17,10.87,2.45
technically complicated > 0.5 & common > 0.5 & neutral <= 0.30 & subject to time variability <= 0.89,rule,0.21,negative,0.03,0.29,16.59,12.88,2.62
common > 0.70 & negative <= 0.89 & subject to time variability <= 0.89,rule,0.59,positive,0.03,0.52,7.59,4.67,1.59
technically complicated <= 0.5 & common > 0.70 & common <= 0.89 & positive <= 0.70 & subject to geographical variability <= 0.89,rule,0.02,positive,0.03,0.1,30.18,24.03,3.28
conceptually dense > 0.5 & technically complicated > 0.5 & socially controversial <= 0.70 & unambiguous > 0.5 & negative > 0.5,rule,0.23,negative,0.03,0.26,41.6,24.65,3.31
technically complicated > 0.70 & unambiguous <= 0.70 & positive <= 0.70 & neutral <= 0.30 & subject to geographical variability <= 0.89,rule,0.07,negative,0.03,0.12,4.94,3.1,1.16
conceptually dense > 0.5 & common > 0.70 & socially controversial <= 0.70 & neutral > 0.30,rule,0.2,positive,0.02,0.23,25.07,12.45,2.57
common <= 0.89 & socially controversial <= 0.5 & negative <= 0.5,rule,0.09,negative,0.02,0.12,4.4,2.58,1.02
technically complicated <= 0.70 & socially controversial > 0.89 & unambiguous > 0.5 & negative > 0.5,rule,0.01,negative,0.02,0.01,6.07,3.32,1.23
conceptually dense <= 0.5 & common > 0.5 & socially controversial > 0.5 & unambiguous > 0.5 & positive > 0.5,rule,0.01,negative,0.02,0.01,3.02,1.27,1.02
technically complicated > 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & unambiguous <= 0.70 & negative > 0.5,rule,0.28,negative,0.02,0.23,9.0,3.32,1.22
conceptually dense > 0.70 & socially controversial > 0.30 & positive > 0.70 & negative > 0.5 & neutral > 0.70,rule,0.22,positive,0.02,0.22,6.08,3.86,1.37
technically complicated > 0.70 & socially controversial <= 0.70 & positive > 0.5 & negative > 0.5 & subject to time variability <= 0.89,rule,0.15,negative,0.02,0.19,9.03,3.33,1.22
conceptually dense > 0.70 & technically complicated > 0.70 & negative > 0.5 & negative <= 0.70 & neutral > 0.70,rule,0.16,negative,0.02,0.16,44.37,31.38,3.51
technically complicated <= 0.70 & common > 0.70 & socially controversial <= 0.70 & unambiguous <= 0.70 & neutral > 0.30,rule,0.11,positive,0.02,0.16,14.77,8.3,2.17
socially controversial > 0.70 & unambiguous > 0.5 & negative > 0.70 & negative <= 0.89 & subject to time variability <= 0.89,rule,0.23,positive,0.02,0.18,4.48,2.27,1.02
negative <= 0.89 & neutral > 0.30 & neutral <= 0.70 & interdisciplinary > 0.5 & subject to time variability <= 0.89,rule,0.16,positive,0.02,0.13,2.07,1.24,1.02
technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.5 & socially controversial > 0.30 & neutral > 0.30,rule,0.2,negative,0.02,0.17,16.03,11.35,2.47
common > 0.70 & unambiguous > 0.5 & unambiguous <= 0.70 & negative > 0.89 & subject to geographical variability <= 0.89,rule,0.06,negative,0.02,0.51,4.89,2.22,1.02
technically complicated > 0.5 & unambiguous <= 0.70 & subject to geographical variability <= 0.89,rule,0.83,negative,0.02,0.66,23.23,20.13,3.05
conceptually dense > 0.70 & technically complicated > 0.70 & socially controversial > 0.70 & unambiguous <= 0.70 & neutral > 0.70,rule,0.11,negative,0.02,0.2,40.37,26.6,3.34
conceptually dense <= 0.70 & common <= 0.70 & negative <= 0.89 & neutral <= 0.70 & interdisciplinary > 0.70,rule,0.03,positive,0.02,0.03,8.01,3.2,1.18
technically complicated <= 0.5 & common > 0.70 & neutral > 0.30,rule,0.11,positive,0.02,0.1,4.85,2.56,1.02
conceptually dense > 0.70 & common > 0.5 & unambiguous <= 0.70 & positive <= 0.5,rule,0.15,negative,0.02,0.13,9.3,4.31,1.5
technically complicated > 0.70 & common > 0.5 & common <= 0.89,rule,0.48,negative,0.02,0.39,12.84,11.79,2.53
conceptually dense <= 0.70 & socially controversial > 0.70 & positive > 0.5 & negative > 0.5 & subject to geographical variability <= 0.89,rule,0.08,negative,0.02,0.07,10.56,4.75,1.58
technically complicated <= 0.5,rule,0.16,positive,0.02,0.8,23.62,23.62,3.24
technically complicated > 0.5 & socially controversial <= 0.5 & positive <= 0.89 & negative <= 0.5 & subject to time variability <= 0.89,rule,0.06,negative,0.01,0.07,7.39,3.9,1.37
conceptually dense > 0.70 & positive <= 0.70 & negative > 0.70 & neutral > 0.70,rule,0.03,negative,0.01,0.05,2.52,1.55,1.01
unambiguous <= 0.70 & negative > 0.5 & neutral > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70,rule,0.39,negative,0.01,0.64,5.05,2.38,1.01
conceptually dense > 0.70 & positive > 0.30 & negative > 0.70 & neutral <= 0.30,rule,0.12,positive,0.01,0.18,2.25,1.55,1.01
socially controversial <= 0.70 & neutral > 0.30,rule,0.31,positive,0.01,0.57,1.24,0.63,1.01
socially controversial > 0.5 & unambiguous <= 0.70 & negative <= 0.5 & neutral > 0.40 & interdisciplinary > 0.70,rule,0.05,positive,0.01,0.05,5.31,2.22,1.01
conceptually dense > 0.5 & common > 0.70 & socially controversial > 0.70 & unambiguous <= 0.70 & neutral > 0.30,rule,0.29,negative,0.01,0.39,2.98,1.37,1.01
common > 0.70 & socially controversial > 0.70 & negative > 0.5 & negative <= 0.89,rule,0.33,positive,0.01,0.36,6.47,3.11,1.14
