rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
conceptually dense > 0.70 & common <= 0.89 & interdisciplinary > 0.70,rule,0.7,positive,0.77,0.56,659.33,521.42,11.05
technically complicated > 0.70 & common <= 0.70 & socially controversial > 0.5 & neutral <= 0.70,rule,0.08,positive,0.5,0.12,327.42,215.78,8.09
technically complicated > 0.30 & common <= 0.89 & interdisciplinary > 0.70,rule,0.96,positive,0.5,0.77,255.19,186.86,7.84
common > 0.89,rule,0.01,negative,0.39,0.8,818.17,818.17,9.35
conceptually dense <= 0.70 & socially controversial <= 0.5 & neutral > 0.30 & interdisciplinary > 0.5,rule,0.07,negative,0.37,0.09,1239.6,652.93,8.86
technically complicated > 0.5 & common <= 0.70 & negative > 0.5 & neutral > 0.30 & subject to time variability <= 0.89,rule,0.16,positive,0.37,0.22,365.17,200.11,7.26
conceptually dense > 0.70 & technically complicated <= 0.70 & common <= 0.89 & socially controversial > 0.70 & socially controversial <= 0.89,rule,0.21,positive,0.36,0.17,432.76,212.91,7.3
socially controversial <= 0.70 & unambiguous > 0.5 & positive > 0.30 & positive <= 0.5 & interdisciplinary > 0.70,rule,0.02,negative,0.36,0.11,302.68,219.81,7.31
conceptually dense > 0.70 & technically complicated > 0.70 & socially controversial > 0.30 & positive > 0.70,rule,0.28,positive,0.34,0.36,1075.82,736.33,8.85
technically complicated > 0.5 & positive <= 0.5 & negative > 0.70 & negative <= 0.89 & interdisciplinary > 0.70,rule,0.11,negative,0.34,0.1,325.42,144.91,6.65
technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.70 & socially controversial <= 0.70 & negative <= 0.89,rule,0.07,negative,0.31,0.1,497.3,238.85,7.18
conceptually dense > 0.5 & conceptually dense <= 0.70 & unambiguous <= 0.70 & negative <= 0.70 & interdisciplinary > 0.70,rule,0.18,positive,0.28,0.15,711.87,486.04,7.91
technically complicated > 0.5 & socially controversial > 0.5 & positive > 0.5 & neutral > 0.5 & interdisciplinary > 0.5,rule,0.41,positive,0.23,0.39,329.85,154.61,6.2
technically complicated > 0.5 & socially controversial > 0.5 & socially controversial <= 0.70 & negative <= 0.70,rule,0.19,positive,0.23,0.32,525.05,211.86,6.61
conceptually dense > 0.70 & socially controversial > 0.70 & unambiguous > 0.5 & neutral <= 0.70,rule,0.3,positive,0.23,0.29,246.55,206.46,6.54
conceptually dense > 0.70 & technically complicated > 0.70 & socially controversial > 0.5 & neutral > 0.70 & interdisciplinary > 0.70,rule,0.2,negative,0.22,0.19,963.61,820.06,8.15
common <= 0.89 & positive > 0.5 & interdisciplinary > 0.70,rule,0.77,positive,0.2,0.77,297.1,184.54,6.24
technically complicated <= 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & positive > 0.5 & neutral > 0.70,rule,0.1,positive,0.19,0.18,661.12,393.4,7.11
technically complicated <= 0.70 & common > 0.70 & positive > 0.70 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.24,negative,0.18,0.26,786.87,258.61,6.55
conceptually dense <= 0.70 & socially controversial <= 0.5 & positive > 0.30,rule,0.09,negative,0.18,0.12,730.69,400.61,7.07
conceptually dense > 0.70 & conceptually dense <= 0.89 & technically complicated <= 0.70 & socially controversial > 0.70 & neutral > 0.5,rule,0.13,positive,0.17,0.25,4339.7,3770.74,9.61
conceptually dense <= 0.70 & technically complicated > 0.5 & socially controversial > 0.5 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.08,positive,0.16,0.12,2256.08,1800.59,8.68
common <= 0.89 & socially controversial > 0.70 & unambiguous <= 0.70 & positive <= 0.5,rule,0.17,positive,0.15,0.14,345.76,191.14,6.02
conceptually dense > 0.70 & common > 0.5 & common <= 0.89 & negative > 0.89 & interdisciplinary > 0.70,rule,0.1,positive,0.15,0.09,1061.27,685.99,7.52
conceptually dense > 0.70 & conceptually dense <= 0.89 & socially controversial > 0.70 & unambiguous > 0.5,rule,0.48,positive,0.15,0.39,248.36,197.64,6.07
conceptually dense > 0.70 & technically complicated > 0.5 & common <= 0.5 & socially controversial > 0.5,rule,0.03,positive,0.15,0.03,310.2,180.68,5.98
common,linear,,negative,0.15,,,,
conceptually dense > 0.70 & technically complicated <= 0.89 & unambiguous > 0.5 & interdisciplinary > 0.70,rule,0.69,positive,0.14,0.56,4137.68,3864.47,9.39
positive > 0.30 & negative > 0.70 & neutral <= 0.5 & interdisciplinary > 0.70,rule,0.14,positive,0.13,0.2,132.92,55.55,4.56
technically complicated > 0.30 & technically complicated <= 0.70 & common <= 0.89 & socially controversial > 0.70 & positive <= 0.70,rule,0.12,positive,0.13,0.24,255.37,85.67,5.02
technically complicated > 0.5 & technically complicated <= 0.70 & common <= 0.70 & socially controversial > 0.5 & positive > 0.5,rule,0.07,positive,0.13,0.08,855.53,301.7,6.45
positive > 0.30 & negative <= 0.89 & neutral > 0.5 & interdisciplinary > 0.70,rule,0.64,negative,0.12,0.53,203.37,107.82,5.25
conceptually dense <= 0.70 & technically complicated > 0.5 & socially controversial > 0.5 & neutral > 0.70 & interdisciplinary > 0.70,rule,0.08,positive,0.11,0.11,1345.68,658.61,7.22
conceptually dense <= 0.5 & technically complicated <= 0.89 & negative <= 0.70,rule,0.03,negative,0.11,0.03,107.62,73.92,4.78
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.70 & positive <= 0.5,rule,0.15,positive,0.07,0.12,960.49,366.68,6.32
socially controversial > 0.5 & unambiguous > 0.5 & neutral > 0.70 & interdisciplinary > 0.70,rule,0.4,positive,0.07,0.33,421.46,333.68,6.22
technically complicated > 0.5 & positive > 0.30 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.24,negative,0.07,0.23,245.49,144.04,5.31
technically complicated > 0.5 & common <= 0.5 & positive > 0.30,rule,0.05,positive,0.07,0.05,133.28,65.24,4.46
