rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common > 0.89 & interdisciplinary > 0.5,rule,0.01,positive,0.74,0.8,101.4,93.82,7.9
conceptually dense,linear,,positive,0.44,,,,
common > 0.89 & interdisciplinary > 0.70,rule,0.0,positive,0.3,0.0,99.95,99.64,5.99
socially controversial,linear,,positive,0.29,,,,
conceptually dense > 0.70 & socially controversial > 0.70 & unambiguous > 0.5 & negative > 0.70 & subject to time variability <= 0.89,rule,0.28,positive,0.19,0.23,36.62,14.92,3.21
common > 0.70 & common <= 0.89 & interdisciplinary > 0.5,rule,0.65,negative,0.16,0.52,51.1,26.41,3.81
technically complicated <= 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & positive <= 0.70,rule,0.12,positive,0.14,0.24,52.42,44.93,4.34
conceptually dense > 0.70 & technically complicated > 0.70 & common <= 0.89 & negative > 0.70 & negative <= 0.89,rule,0.12,negative,0.14,0.11,154.63,116.07,5.4
conceptually dense > 0.70 & technically complicated <= 0.70 & common <= 0.89 & positive <= 0.30,rule,0.02,negative,0.12,0.02,183.24,146.49,5.59
socially controversial > 0.70 & socially controversial <= 0.89 & negative > 0.70 & neutral > 0.30 & neutral <= 0.5,rule,0.01,positive,0.12,0.01,72.51,48.56,4.36
technically complicated <= 0.5 & common <= 0.89 & positive <= 0.5 & negative <= 0.89,rule,0.02,positive,0.11,0.02,134.66,114.05,5.23
conceptually dense > 0.70 & unambiguous > 0.70,rule,0.01,positive,0.1,0.56,274.98,229.77,5.98
socially controversial > 0.70 & positive <= 0.70 & subject to time variability <= 0.89,rule,0.27,positive,0.1,0.22,72.19,39.39,4.02
common <= 0.70 & socially controversial > 0.70 & positive <= 0.70 & negative > 0.70 & subject to geographical variability <= 0.89,rule,0.08,positive,0.1,0.08,69.28,29.14,3.7
common <= 0.89 & positive > 0.70,rule,0.67,negative,0.09,0.8,36.52,26.99,3.6
technically complicated <= 0.70 & common <= 0.89 & socially controversial <= 0.5 & subject to time variability <= 0.89,rule,0.07,negative,0.09,0.12,105.12,35.08,3.89
technically complicated <= 0.70 & socially controversial <= 0.89 & positive > 0.30 & positive <= 0.70 & neutral <= 0.30,rule,0.04,positive,0.08,0.08,64.37,28.62,3.64
conceptually dense > 0.70 & technically complicated <= 0.89 & socially controversial > 0.70 & neutral <= 0.70 & interdisciplinary > 0.5,rule,0.31,positive,0.08,0.3,437.96,233.53,5.91
socially controversial <= 0.70 & unambiguous <= 0.70 & positive <= 0.5,rule,0.02,negative,0.08,0.32,266.82,259.7,5.98
technically complicated <= 0.89 & socially controversial > 0.70 & positive <= 0.70 & negative > 0.70 & neutral <= 0.70,rule,0.22,positive,0.08,0.23,310.65,192.45,5.7
unambiguous > 0.30 & unambiguous <= 0.70 & positive <= 0.70 & neutral <= 0.70 & interdisciplinary > 0.5,rule,0.25,negative,0.07,0.37,58.6,22.02,3.32
socially controversial > 0.70 & negative > 0.5,rule,0.59,positive,0.07,0.67,20.45,12.93,2.73
technically complicated > 0.5 & positive <= 0.70 & neutral > 0.5 & neutral <= 0.70,rule,0.1,negative,0.07,0.09,52.72,31.79,3.7
technically complicated <= 0.5 & unambiguous <= 0.70 & negative > 0.70 & negative <= 0.89 & neutral <= 0.70,rule,0.03,positive,0.07,0.02,91.38,33.68,3.76
unambiguous > 0.70 & negative > 0.70 & interdisciplinary > 0.5,rule,0.01,positive,0.07,0.31,223.83,202.75,5.7
technically complicated > 0.70 & common <= 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & neutral <= 0.70,rule,0.06,positive,0.06,0.11,141.27,55.47,4.24
conceptually dense > 0.70 & socially controversial > 0.5 & negative <= 0.70,rule,0.33,positive,0.06,0.37,132.57,80.68,4.64
conceptually dense > 0.70 & technically complicated > 0.70 & positive <= 0.30,rule,0.02,positive,0.06,0.37,214.19,146.49,5.28
conceptually dense > 0.70 & technically complicated <= 0.70 & common > 0.70 & positive > 0.30 & positive <= 0.70,rule,0.05,positive,0.06,0.06,352.94,168.12,5.42
conceptually dense <= 0.70 & negative > 0.70 & neutral > 0.30 & neutral <= 0.70 & interdisciplinary > 0.5,rule,0.03,positive,0.06,0.05,368.84,229.93,5.76
socially controversial <= 0.70 & positive > 0.5 & negative > 0.5 & interdisciplinary > 0.5 & subject to time variability <= 0.89,rule,0.24,positive,0.06,0.3,445.68,395.99,6.33
technically complicated <= 0.70 & socially controversial > 0.70 & unambiguous > 0.30 & negative > 0.89,rule,0.07,negative,0.05,0.05,25.78,14.58,2.81
technically complicated > 0.5 & unambiguous <= 0.70 & negative > 0.89 & neutral <= 0.70,rule,0.11,positive,0.05,0.09,93.3,74.9,4.52
technically complicated > 0.5 & technically complicated <= 0.89 & common <= 0.89 & socially controversial <= 0.70 & unambiguous <= 0.70,rule,0.33,negative,0.05,0.27,180.7,129.19,5.11
conceptually dense > 0.70 & conceptually dense <= 0.89 & technically complicated <= 0.5 & socially controversial > 0.70 & positive > 0.70,rule,0.03,negative,0.05,0.2,494.4,186.42,5.48
technically complicated > 0.5 & technically complicated <= 0.70 & positive > 0.5 & positive <= 0.70,rule,0.04,negative,0.05,0.08,57.59,29.44,3.56
conceptually dense <= 0.70 & common <= 0.89 & positive > 0.70 & negative <= 0.5,rule,0.08,negative,0.05,0.12,51.06,30.99,3.61
common <= 0.89 & socially controversial <= 0.5 & negative <= 0.5 & neutral > 0.70,rule,0.08,negative,0.05,0.11,297.77,143.48,5.21
common > 0.70 & socially controversial > 0.5 & negative > 0.89,rule,0.06,negative,0.04,0.45,39.09,30.22,3.56
technically complicated > 0.5 & common <= 0.5 & socially controversial > 0.70 & negative > 0.70,rule,0.02,positive,0.04,0.03,32.03,15.68,2.86
conceptually dense > 0.70 & technically complicated <= 0.70 & socially controversial > 0.70 & positive <= 0.5 & neutral <= 0.70,rule,0.06,positive,0.04,0.11,63.66,20.76,3.17
conceptually dense > 0.70 & technically complicated > 0.70 & negative > 0.89 & subject to time variability <= 0.89,rule,0.07,positive,0.04,0.36,25.96,12.51,2.63
technically complicated > 0.70 & positive <= 0.70 & negative <= 0.89 & interdisciplinary > 0.5,rule,0.15,negative,0.04,0.15,234.13,164.76,5.3
common > 0.5 & common <= 0.70 & unambiguous <= 0.70,rule,0.28,negative,0.04,0.27,81.32,72.58,4.47
conceptually dense > 0.70 & technically complicated <= 0.89 & common <= 0.70 & socially controversial > 0.70 & subject to geographical variability <= 0.89,rule,0.15,positive,0.04,0.19,179.46,79.33,4.56
conceptually dense > 0.70 & technically complicated <= 0.70 & common > 0.70 & negative > 0.89,rule,0.03,negative,0.03,0.03,41.96,17.2,2.94
conceptually dense <= 0.70 & common <= 0.89 & socially controversial <= 0.5 & unambiguous > 0.30 & positive > 0.5,rule,0.08,negative,0.03,0.2,52.79,34.02,3.63
conceptually dense > 0.5 & technically complicated > 0.5 & socially controversial <= 0.70 & unambiguous <= 0.70 & negative <= 0.5,rule,0.09,negative,0.03,0.1,56.33,47.96,3.98
conceptually dense <= 0.70 & technically complicated > 0.5 & socially controversial > 0.70 & subject to time variability <= 0.89,rule,0.07,negative,0.03,0.09,16.39,11.25,2.49
neutral > 0.30 & neutral <= 0.70,rule,0.19,positive,0.03,0.38,74.73,67.55,4.34
conceptually dense > 0.70 & technically complicated <= 0.70 & common > 0.70 & common <= 0.89 & positive > 0.70,rule,0.12,negative,0.03,0.14,47.46,24.94,3.32
conceptually dense <= 0.70 & common <= 0.89 & socially controversial <= 0.70 & positive > 0.30 & neutral > 0.5,rule,0.15,negative,0.03,0.25,203.5,153.81,5.17
common > 0.89,rule,0.01,positive,0.03,0.79,114.05,114.05,4.9
unambiguous > 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.01,positive,0.03,0.01,82.75,70.69,4.39
socially controversial > 0.70 & negative > 0.70 & negative <= 0.89,rule,0.23,positive,0.02,0.2,400.49,352.69,5.99
technically complicated <= 0.89 & common <= 0.5 & socially controversial > 0.70 & socially controversial <= 0.89,rule,0.04,positive,0.02,0.16,222.5,208.79,5.47
socially controversial > 0.70 & positive <= 0.70 & negative > 0.70 & neutral <= 0.70 & subject to time variability <= 0.89,rule,0.21,positive,0.02,0.18,484.91,331.98,5.91
common > 0.70 & positive <= 0.5 & neutral > 0.30 & neutral <= 0.70 & subject to time variability <= 0.89,rule,0.07,positive,0.02,0.05,19.07,7.51,2.05
technically complicated > 0.5 & common > 0.70 & common <= 0.89 & unambiguous <= 0.70 & negative > 0.70,rule,0.2,negative,0.02,0.27,371.99,200.19,5.43
technically complicated > 0.5 & technically complicated <= 0.70 & neutral <= 0.5 & interdisciplinary > 0.70,rule,0.1,positive,0.02,0.13,1.64,0.93,1.02
conceptually dense > 0.5 & conceptually dense <= 0.70 & technically complicated > 0.30 & technically complicated <= 0.70 & neutral <= 0.70,rule,0.07,positive,0.02,0.07,185.18,153.92,5.16
conceptually dense <= 0.70 & technically complicated > 0.70 & common <= 0.89 & unambiguous > 0.5 & interdisciplinary > 0.5,rule,0.07,negative,0.02,0.23,210.38,116.45,4.83
common <= 0.89 & unambiguous <= 0.70 & neutral <= 0.30 & subject to geographical variability <= 0.89,rule,0.28,negative,0.02,0.37,30.12,27.41,3.37
technically complicated > 0.70 & common > 0.70 & common <= 0.89 & socially controversial <= 0.89 & negative > 0.5,rule,0.28,negative,0.02,0.22,69.77,37.86,3.72
technically complicated <= 0.70 & common <= 0.89 & socially controversial <= 0.70 & positive > 0.5 & neutral > 0.40,rule,0.14,negative,0.02,0.24,63.64,39.23,3.74
technically complicated <= 0.70 & common > 0.5 & common <= 0.89 & socially controversial > 0.70 & neutral <= 0.70,rule,0.19,negative,0.02,0.16,119.58,85.88,4.53
conceptually dense > 0.70 & technically complicated > 0.70 & socially controversial > 0.70 & interdisciplinary > 0.70,rule,0.27,positive,0.02,0.21,49.54,26.93,3.35
conceptually dense > 0.5 & conceptually dense <= 0.70 & technically complicated <= 0.70 & unambiguous > 0.5 & unambiguous <= 0.70,rule,0.18,positive,0.02,0.15,42.43,37.89,3.72
conceptually dense > 0.70 & technically complicated > 0.5 & socially controversial <= 0.70 & unambiguous > 0.5 & unambiguous <= 0.70,rule,0.21,negative,0.02,0.17,42.95,36.68,3.69
technically complicated > 0.70 & common > 0.70 & unambiguous > 0.30 & unambiguous <= 0.70 & neutral > 0.5,rule,0.24,negative,0.01,0.29,23.49,12.01,2.52
conceptually dense > 0.70 & common <= 0.70 & socially controversial > 0.70 & positive <= 0.70 & neutral <= 0.70,rule,0.06,positive,0.01,0.07,259.5,153.81,5.11
technically complicated > 0.5 & common <= 0.70 & socially controversial > 0.70 & neutral <= 0.70 & interdisciplinary > 0.70,rule,0.12,positive,0.01,0.14,103.69,49.0,3.94
conceptually dense <= 0.70 & socially controversial > 0.70 & positive > 0.5 & neutral <= 0.70 & interdisciplinary > 0.5,rule,0.05,negative,0.01,0.06,56.5,34.8,3.59
common > 0.70 & negative > 0.70 & neutral > 0.30 & neutral <= 0.70 & subject to time variability <= 0.89,rule,0.11,positive,0.01,0.12,133.38,102.83,4.68
technically complicated <= 0.70 & socially controversial > 0.70 & unambiguous <= 0.70 & negative > 0.70 & negative <= 0.89,rule,0.1,positive,0.01,0.08,60.13,24.15,3.21
conceptually dense > 0.70 & technically complicated > 0.70 & socially controversial > 0.70 & positive > 0.5 & neutral <= 0.70,rule,0.08,positive,0.01,0.14,52.65,20.76,3.07
conceptually dense > 0.70 & technically complicated > 0.70 & neutral <= 0.5,rule,0.13,positive,0.01,0.17,18.04,11.63,2.49
