rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
positive <= 0.70 & interdisciplinary > 0.70,rule,0.31,negative,1.01,0.26,6357.87,5999.51,17.5
common <= 0.5 & socially controversial > 0.70 & positive > 0.5 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.0,positive,0.45,0.08,298.37,229.11,7.9
interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.03,positive,0.45,0.03,37.06,31.05,4.99
socially controversial <= 0.70 & positive <= 0.70 & interdisciplinary <= 0.5,rule,0.0,negative,0.37,0.0,21.0,10.35,3.19
technically complicated <= 0.70 & positive <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.5,rule,0.0,negative,0.33,0.01,251.54,236.95,7.25
positive > 0.70,rule,0.67,positive,0.31,0.79,5877.96,5877.96,11.37
common <= 0.5 & socially controversial <= 0.5 & positive <= 0.70,rule,0.0,negative,0.25,0.01,112.14,72.51,5.34
unambiguous > 0.30 & unambiguous <= 0.70 & positive <= 0.70 & negative > 0.89,rule,0.07,negative,0.24,0.12,52.17,50.13,4.85
unambiguous <= 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.3,negative,0.22,0.25,3318.16,3063.61,9.78
conceptually dense > 0.70 & conceptually dense <= 0.89 & technically complicated <= 0.5 & negative > 0.89 & neutral <= 0.70,rule,0.01,negative,0.2,0.01,44.08,28.69,4.04
technically complicated > 0.70 & common > 0.70 & positive <= 0.70,rule,0.12,negative,0.19,0.26,649.06,608.79,7.63
common > 0.5 & common <= 0.70 & positive > 0.70,rule,0.19,positive,0.18,0.23,78.73,65.82,4.94
technically complicated <= 0.5 & socially controversial <= 0.89 & positive <= 0.30 & neutral <= 0.5 & interdisciplinary > 0.5,rule,0.0,positive,0.18,0.01,20.86,8.63,2.55
common <= 0.5 & socially controversial > 0.5 & socially controversial <= 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.0,positive,0.18,0.0,452.18,361.16,6.96
common > 0.5 & socially controversial <= 0.70 & unambiguous > 0.5 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.04,negative,0.17,0.04,2926.98,2135.43,8.99
technically complicated <= 0.5 & positive <= 0.70 & neutral > 0.30 & neutral <= 0.70,rule,0.02,positive,0.17,0.1,453.23,404.14,7.04
positive <= 0.30 & negative > 0.70 & neutral > 0.30 & interdisciplinary <= 0.70,rule,0.0,positive,0.16,0.0,118.15,62.12,4.78
common > 0.5 & positive <= 0.70 & neutral > 0.70 & interdisciplinary > 0.70,rule,0.06,negative,0.16,0.05,654.61,534.18,7.28
common <= 0.5 & positive > 0.5 & positive <= 0.70,rule,0.01,positive,0.15,0.1,4042.58,3936.28,9.54
unambiguous > 0.30 & unambiguous <= 0.5 & positive <= 0.70 & neutral <= 0.70 & interdisciplinary > 0.70,rule,0.01,negative,0.15,0.01,38.77,20.32,3.46
conceptually dense > 0.70 & technically complicated <= 0.5 & socially controversial > 0.70 & negative > 0.70 & negative <= 0.89,rule,0.02,positive,0.14,0.02,57.79,29.96,3.87
common > 0.70 & socially controversial > 0.70 & positive <= 0.70 & negative > 0.70 & interdisciplinary > 0.70,rule,0.16,negative,0.14,0.13,2698.15,1303.92,8.21
conceptually dense > 0.70 & technically complicated <= 0.70 & unambiguous > 0.5 & positive > 0.70 & neutral > 0.70,rule,0.09,negative,0.14,0.07,1156.04,1115.79,7.99
conceptually dense > 0.5 & technically complicated <= 0.70 & positive <= 0.70 & negative > 0.70 & neutral > 0.70,rule,0.01,negative,0.13,0.01,1769.95,1499.66,8.28
socially controversial <= 0.70 & positive <= 0.5 & negative > 0.89,rule,0.01,negative,0.13,0.01,92.71,70.31,4.82
technically complicated <= 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & positive > 0.30 & positive <= 0.70,rule,0.09,positive,0.12,0.09,655.02,532.72,7.01
socially controversial > 0.70 & positive <= 0.5 & negative > 0.89,rule,0.06,positive,0.12,0.05,92.96,70.31,4.75
socially controversial <= 0.70 & positive <= 0.70,rule,0.05,negative,0.12,0.32,1055.77,941.33,7.68
positive <= 0.5 & subject to geographical variability <= 0.89,rule,0.2,negative,0.12,0.25,13.1,10.93,2.67
conceptually dense > 0.70 & socially controversial <= 0.70 & positive <= 0.70 & neutral <= 0.70,rule,0.02,negative,0.12,0.17,1346.86,1211.16,7.95
common > 0.5 & unambiguous <= 0.5 & negative > 0.89 & interdisciplinary > 0.70,rule,0.0,negative,0.12,0.0,183.84,140.18,5.51
conceptually dense > 0.5 & socially controversial <= 0.89 & neutral > 0.5 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.17,negative,0.12,0.35,73.69,43.67,4.21
technically complicated <= 0.5 & unambiguous <= 0.70 & positive <= 0.30 & interdisciplinary > 0.70,rule,0.01,negative,0.11,0.01,81.39,51.03,4.35
common <= 0.5 & socially controversial <= 0.70 & positive > 0.5 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.0,positive,0.11,0.02,288.22,229.11,6.03
conceptually dense <= 0.5 & negative > 0.5 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.01,positive,0.11,0.02,24.96,12.81,2.83
common <= 0.5 & positive > 0.70,rule,0.04,negative,0.11,0.05,6.98,4.1,1.57
common > 0.5 & socially controversial > 0.70 & positive > 0.5 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.09,negative,0.11,0.08,298.37,229.11,6.01
technically complicated > 0.70 & socially controversial > 0.89 & negative > 0.89 & subject to time variability <= 0.89,rule,0.0,positive,0.1,0.0,22.39,18.59,3.22
conceptually dense > 0.5 & common <= 0.5 & positive <= 0.70 & neutral > 0.30 & interdisciplinary > 0.70,rule,0.01,positive,0.1,0.02,270.48,244.49,6.04
technically complicated > 0.5 & socially controversial > 0.70 & positive <= 0.70 & negative > 0.89,rule,0.06,positive,0.1,0.18,148.89,110.61,5.18
