rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
positive > 0.5 & positive <= 0.70,rule,0.12,positive,0.1,0.26,68.7,57.55,4.46
interdisciplinary,linear,,negative,0.08,,,,
common > 0.5 & positive > 0.70 & interdisciplinary > 0.70,rule,0.62,negative,0.06,0.52,44.11,37.85,3.87
technically complicated > 0.30 & common > 0.5 & unambiguous > 0.5 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70,rule,0.9,negative,0.05,0.72,4.26,2.37,1.05
positive > 0.70 & negative > 0.5 & subject to time variability <= 0.89,rule,0.52,negative,0.04,0.42,18.01,16.68,2.92
common > 0.5 & socially controversial > 0.5 & unambiguous <= 0.70 & positive <= 0.70 & subject to geographical variability <= 0.89,rule,0.28,positive,0.04,0.22,45.29,41.21,3.86
conceptually dense > 0.70 & socially controversial <= 0.70 & positive > 0.70,rule,0.19,positive,0.03,0.35,32.93,27.6,3.42
technically complicated > 0.30 & common > 0.5 & socially controversial > 0.30 & negative <= 0.89 & interdisciplinary > 0.70,rule,0.79,negative,0.02,0.64,1.91,0.77,1.02
common > 0.5 & socially controversial <= 0.89 & unambiguous <= 0.70 & positive <= 0.70 & subject to geographical variability <= 0.89,rule,0.28,positive,0.02,0.23,16.91,15.27,2.79
technically complicated > 0.5 & negative > 0.70 & negative <= 0.89 & subject to time variability <= 0.89,rule,0.21,negative,0.02,0.2,1.96,1.25,1.02
socially controversial > 0.70 & positive > 0.70 & neutral <= 0.30,rule,0.09,negative,0.02,0.12,24.43,22.64,3.17
technically complicated > 0.5 & negative > 0.70 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.33,negative,0.02,0.28,4.15,2.25,1.02
common > 0.5 & common <= 0.70 & socially controversial > 0.70 & positive > 0.70,rule,0.09,negative,0.02,0.13,30.05,23.17,3.2
technically complicated > 0.5 & common > 0.5 & common <= 0.89 & negative > 0.5 & subject to time variability <= 0.89,rule,0.68,negative,0.01,0.62,1.14,0.66,1.01
conceptually dense <= 0.70 & positive <= 0.70 & negative > 0.70 & subject to geographical variability <= 0.89,rule,0.05,positive,0.01,0.05,9.07,8.66,2.18
socially controversial > 0.30 & unambiguous <= 0.70 & positive > 0.70,rule,0.67,negative,0.01,0.79,15.28,15.08,2.75
socially controversial > 0.30 & socially controversial <= 0.70 & unambiguous > 0.5 & negative > 0.5 & negative <= 0.89,rule,0.22,negative,0.01,0.18,2.22,0.94,1.01
technically complicated > 0.30 & common > 0.70 & negative > 0.5 & neutral > 0.70,rule,0.27,negative,0.01,0.29,1.94,1.32,1.01
conceptually dense > 0.5 & common > 0.70 & socially controversial <= 0.70 & negative > 0.5,rule,0.15,negative,0.01,0.2,2.64,1.05,1.01
common > 0.5 & socially controversial > 0.5 & negative > 0.5 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70,rule,0.73,negative,0.01,0.64,4.24,2.92,1.08
unambiguous > 0.5 & negative > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70,rule,0.37,negative,0.01,0.65,3.56,2.19,1.01
conceptually dense > 0.5 & socially controversial > 0.70 & positive > 0.70 & subject to geographical variability <= 0.89,rule,0.32,negative,0.01,0.26,27.78,25.07,3.27
common > 0.5 & socially controversial > 0.30 & negative > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70,rule,0.35,negative,0.01,0.28,22.29,8.77,2.2
socially controversial > 0.70 & positive > 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70,rule,0.14,negative,0.0,0.26,25.35,16.0,2.78
common > 0.5 & negative > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70,rule,0.35,negative,0.0,0.62,3.03,1.92,1.0
common > 0.70 & socially controversial > 0.70 & neutral > 0.30 & subject to time variability <= 0.89,rule,0.29,positive,0.0,0.32,0.35,0.2,1.0
technically complicated <= 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & unambiguous <= 0.70,rule,0.29,positive,0.0,0.24,0.83,0.4,1.0
technically complicated > 0.5 & common > 0.5 & socially controversial > 0.70 & positive > 0.70,rule,0.25,negative,0.0,0.34,21.0,17.13,2.85
technically complicated > 0.5 & common > 0.5 & positive > 0.70 & neutral > 0.70,rule,0.35,negative,0.0,0.35,11.82,9.65,2.27
common <= 0.70 & socially controversial > 0.30 & socially controversial <= 0.89 & positive <= 0.70 & subject to time variability <= 0.89,rule,0.11,positive,0.0,0.09,28.62,27.04,3.31
positive > 0.5 & positive <= 0.70 & negative > 0.5 & subject to time variability <= 0.89,rule,0.12,positive,0.0,0.25,27.41,16.68,2.82
technically complicated > 0.5 & common > 0.5 & subject to geographical variability <= 0.89,rule,0.78,negative,0.0,0.74,8.13,5.79,1.76
common > 0.5 & socially controversial <= 0.70 & unambiguous > 0.5 & neutral > 0.40 & subject to time variability <= 0.89,rule,0.3,negative,0.0,0.3,0.82,0.22,1.0
common > 0.5 & socially controversial > 0.70 & socially controversial <= 0.89 & neutral > 0.5,rule,0.37,positive,0.0,0.31,0.11,0.06,1.0
