rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common <= 0.5 & positive > 0.5 & positive <= 0.70,rule,0.01,positive,0.74,0.02,111.02,54.33,6.95
positive > 0.70,rule,0.67,positive,0.6,0.8,837.29,837.29,10.8
common > 0.5 & positive <= 0.70,rule,0.3,negative,0.45,0.26,2278.91,2225.54,11.18
socially controversial <= 0.70 & unambiguous <= 0.70 & positive <= 0.70,rule,0.05,negative,0.28,0.25,367.72,269.35,7.18
technically complicated <= 0.70 & positive > 0.30 & positive <= 0.5 & neutral <= 0.70,rule,0.05,positive,0.19,0.07,48.83,21.45,3.66
socially controversial <= 0.70 & positive <= 0.5,rule,0.02,negative,0.18,0.04,86.09,70.33,5.03
positive > 0.70 & positive <= 0.89,rule,0.67,positive,0.17,0.54,1674.81,1674.7,8.71
socially controversial <= 0.70 & positive <= 0.5 & neutral <= 0.70,rule,0.01,negative,0.14,0.02,67.06,33.4,4.01
conceptually dense > 0.5 & technically complicated > 0.30 & technically complicated <= 0.5 & negative <= 0.89 & subject to time variability <= 0.89,rule,0.12,positive,0.13,0.11,20.94,7.75,2.32
technically complicated > 0.70 & negative > 0.89 & neutral > 0.30 & neutral <= 0.70,rule,0.01,positive,0.12,0.02,161.49,113.34,5.28
positive > 0.70 & negative > 0.89 & neutral > 0.70,rule,0.02,positive,0.11,0.03,48.69,47.04,4.27
technically complicated > 0.70 & unambiguous <= 0.70 & positive <= 0.70 & negative <= 0.89 & interdisciplinary > 0.70,rule,0.15,negative,0.11,0.12,524.23,475.97,6.87
common <= 0.5 & unambiguous <= 0.70 & positive <= 0.5,rule,0.02,negative,0.1,0.06,26.52,24.6,3.53
common > 0.5 & common <= 0.70 & socially controversial <= 0.89 & negative > 0.89 & interdisciplinary > 0.70,rule,0.05,positive,0.1,0.22,11.75,3.85,1.49
conceptually dense > 0.70 & socially controversial > 0.70 & positive <= 0.70 & negative > 0.70 & subject to time variability <= 0.89,rule,0.2,positive,0.1,0.17,381.89,305.91,6.28
common <= 0.89 & positive > 0.70,rule,0.67,positive,0.09,0.79,3628.85,3603.26,8.9
technically complicated <= 0.5 & socially controversial > 0.70 & socially controversial <= 0.89 & positive <= 0.70,rule,0.03,positive,0.09,0.09,740.63,700.42,7.13
technically complicated > 0.5 & positive > 0.70,rule,0.55,positive,0.08,0.67,254.29,249.33,5.98
conceptually dense > 0.70 & conceptually dense <= 0.89 & socially controversial > 0.70 & positive <= 0.70 & neutral <= 0.70,rule,0.19,positive,0.08,0.19,964.28,852.48,7.28
socially controversial > 0.30 & socially controversial <= 0.5 & positive > 0.70 & negative > 0.5,rule,0.04,positive,0.08,0.1,2861.79,2851.42,8.62
