rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
interdisciplinary,linear,,negative,43.34,,,,
common > 0.5 & common <= 0.89 & interdisciplinary <= 0.70,rule,0.06,positive,2.66,0.05,10262.6,9903.76,33.67
positive,linear,,positive,1.57,,,,
technically complicated <= 0.70 & unambiguous <= 0.70 & positive <= 0.70,rule,0.04,negative,0.72,0.07,152.61,65.1,7.16
interdisciplinary <= 0.70 & subject to time variability <= 0.70,rule,0.01,positive,0.68,0.05,15769.76,15621.28,16.27
conceptually dense > 0.70 & positive > 0.70 & negative > 0.5,rule,0.14,positive,0.59,0.29,747.08,635.0,10.28
conceptually dense > 0.70 & socially controversial > 0.30 & positive > 0.70 & interdisciplinary > 0.70,rule,0.65,positive,0.57,0.72,8325.42,6784.44,13.82
technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.5 & common <= 0.70 & positive > 0.70,rule,0.09,positive,0.56,0.07,1564.66,706.43,10.24
common > 0.5 & negative <= 0.70 & neutral <= 0.89 & interdisciplinary <= 0.70,rule,0.06,positive,0.54,0.05,1889.99,1496.48,11.23
technically complicated <= 0.70 & common > 0.70 & socially controversial <= 0.5 & negative > 0.30 & subject to time variability > 0.70,rule,0.16,negative,0.54,0.14,314.57,133.46,7.55
technically complicated <= 0.5 & interdisciplinary <= 0.70,rule,0.04,positive,0.53,0.08,18045.95,14146.29,14.61
technically complicated > 0.70 & positive > 0.30 & positive <= 0.70 & subject to time variability > 0.89,rule,0.01,negative,0.47,0.01,670.77,561.5,9.32
technically complicated <= 0.5 & socially controversial <= 0.5 & interdisciplinary > 0.70,rule,0.05,negative,0.43,0.05,2136.1,1873.85,10.75
common > 0.5 & common <= 0.70 & positive > 0.70 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.2,positive,0.41,0.17,3919.52,1650.39,10.44
technically complicated > 0.70 & common > 0.5 & negative > 0.30 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.46,positive,0.4,0.76,346.3,177.87,7.25
technically complicated <= 0.70 & unambiguous > 0.70 & positive > 0.70 & negative <= 0.70 & interdisciplinary > 0.70,rule,0.32,negative,0.39,0.45,3582.37,2446.52,10.84
unambiguous <= 0.70 & positive > 0.5 & positive <= 0.70 & neutral > 0.70 & subject to time variability > 0.70,rule,0.05,negative,0.38,0.06,1095.6,587.83,8.82
technically complicated > 0.70 & socially controversial > 0.70 & unambiguous > 0.70 & negative > 0.30 & subject to time variability > 0.70,rule,0.19,negative,0.31,0.26,2321.31,1253.52,9.34
