rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
interdisciplinary,linear,,positive,1.56,,,,
conceptually dense,linear,,negative,0.6,,,,
common > 0.5 & socially controversial <= 0.70 & positive > 0.70 & negative <= 0.5 & interdisciplinary > 0.70,rule,0.4,positive,0.44,0.43,223.83,110.15,6.78
conceptually dense > 0.70 & common > 0.70 & positive <= 0.70 & subject to geographical variability > 0.70,rule,0.18,negative,0.27,0.2,57.0,48.96,4.95
common <= 0.70 & unambiguous > 0.70 & positive > 0.5 & negative > 0.5 & subject to geographical variability > 0.70,rule,0.04,negative,0.13,0.08,49.87,22.87,3.55
conceptually dense > 0.70 & unambiguous > 0.70 & positive > 0.70 & negative <= 0.5 & subject to time variability <= 0.89,rule,0.46,positive,0.13,0.39,294.13,201.5,5.99
common > 0.70 & common <= 0.89 & positive > 0.70 & subject to geographical variability > 0.70,rule,0.5,positive,0.12,0.4,128.73,84.76,4.99
conceptually dense > 0.70 & unambiguous > 0.70 & positive > 0.70 & negative > 0.5 & subject to time variability <= 0.89,rule,0.09,negative,0.11,0.16,209.15,201.5,5.89
technically complicated > 0.70 & positive > 0.5 & positive <= 0.70 & subject to geographical variability > 0.70,rule,0.11,negative,0.11,0.13,412.04,410.02,6.66
technically complicated <= 0.70 & socially controversial <= 0.70 & subject to time variability > 0.70,rule,0.3,positive,0.11,0.38,12.66,11.64,2.72
technically complicated > 0.70 & positive > 0.70 & negative <= 0.5 & subject to geographical variability > 0.70,rule,0.24,positive,0.11,0.46,124.32,72.62,4.76
socially controversial > 0.5 & socially controversial <= 0.70 & subject to geographical variability > 0.70 & interdisciplinary > 0.70,rule,0.23,negative,0.1,0.34,50.17,35.24,3.91
technically complicated > 0.5 & common <= 0.70 & positive > 0.70 & interdisciplinary > 0.70,rule,0.2,negative,0.1,0.22,9.95,3.97,1.52
conceptually dense > 0.70 & positive <= 0.70 & subject to geographical variability > 0.70,rule,0.26,negative,0.09,0.74,66.63,62.71,4.5
common <= 0.70 & socially controversial > 0.70 & negative > 0.5 & neutral <= 0.70 & subject to geographical variability > 0.70,rule,0.04,negative,0.09,0.03,31.86,20.96,3.32
common <= 0.70 & socially controversial > 0.70 & positive > 0.5 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.16,negative,0.08,0.22,31.07,17.86,3.12
common <= 0.70 & positive > 0.70 & negative > 0.5 & subject to geographical variability > 0.70 & interdisciplinary > 0.70,rule,0.05,negative,0.08,0.04,126.94,71.77,4.62
technically complicated > 0.70 & unambiguous <= 0.70 & positive > 0.70 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.07,positive,0.08,0.24,214.35,204.76,5.75
common > 0.70 & common <= 0.89 & socially controversial <= 0.70 & subject to geographical variability > 0.70 & interdisciplinary > 0.70,rule,0.32,negative,0.08,0.51,83.27,55.03,4.31
technically complicated > 0.5 & common > 0.5 & negative <= 0.5 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.52,positive,0.08,0.48,107.15,91.85,4.9
common > 0.70 & socially controversial > 0.70 & negative <= 0.70 & neutral <= 0.70 & subject to geographical variability > 0.70,rule,0.09,positive,0.07,0.07,28.73,20.96,3.25
common > 0.5 & unambiguous <= 0.70 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.22,positive,0.06,0.18,16.61,9.61,2.4
common > 0.70 & unambiguous > 0.70 & positive > 0.70 & negative <= 0.70 & subject to geographical variability > 0.70,rule,0.46,positive,0.06,0.37,49.23,38.46,3.86
technically complicated <= 0.70 & unambiguous <= 0.70 & neutral <= 0.70 & subject to geographical variability > 0.70,rule,0.03,negative,0.06,0.07,49.4,43.62,3.99
technically complicated <= 0.5 & positive > 0.70 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.07,positive,0.06,0.06,8.98,4.4,1.57
conceptually dense > 0.70 & common > 0.5 & common <= 0.70 & socially controversial <= 0.70 & subject to time variability > 0.70,rule,0.1,positive,0.05,0.21,92.21,60.5,4.33
common <= 0.70 & positive <= 0.70 & negative > 0.5 & subject to geographical variability > 0.70 & interdisciplinary > 0.70,rule,0.07,positive,0.05,0.06,128.3,71.77,4.48
conceptually dense > 0.70 & subject to geographical variability > 0.70,rule,0.92,negative,0.05,0.78,6.16,4.83,1.65
technically complicated > 0.70 & common > 0.5 & positive > 0.70 & subject to geographical variability > 0.70 & interdisciplinary > 0.70,rule,0.31,positive,0.04,0.53,51.86,31.56,3.58
conceptually dense <= 0.70 & common > 0.70 & negative > 0.30 & negative <= 0.5 & subject to geographical variability > 0.70,rule,0.04,positive,0.04,0.03,32.5,16.11,2.9
conceptually dense <= 0.70 & socially controversial <= 0.30 & positive > 0.70 & negative > 0.30 & subject to geographical variability > 0.70,rule,0.01,positive,0.04,0.04,38.97,31.01,3.56
common > 0.70 & common <= 0.89 & socially controversial > 0.70 & subject to geographical variability > 0.70 & interdisciplinary > 0.70,rule,0.32,positive,0.04,0.51,83.27,55.03,4.16
