rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
socially controversial <= 0.30 & positive > 0.5 & subject to time variability <= 0.89,rule,0.02,negative,1.09,0.2,153.14,99.68,9.61
technically complicated > 0.5 & common <= 0.89 & positive > 0.5 & subject to geographical variability > 0.70,rule,0.8,positive,0.62,0.65,462.31,227.13,8.81
subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.97,positive,0.57,0.77,161.68,85.25,6.98
positive > 0.70 & negative > 0.5 & neutral > 0.70 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.09,positive,0.48,0.17,448.48,238.15,8.08
socially controversial > 0.5 & subject to time variability > 0.70,rule,0.75,positive,0.45,0.79,628.17,579.27,9.24
common > 0.70 & socially controversial <= 0.5 & unambiguous > 0.70 & positive > 0.70 & subject to geographical variability > 0.70,rule,0.19,negative,0.43,0.17,1585.57,1128.49,10.07
technically complicated > 0.5 & subject to geographical variability > 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.84,positive,0.42,0.7,174.86,109.78,6.67
socially controversial <= 0.5 & unambiguous > 0.70 & positive > 0.70 & negative <= 0.5 & subject to time variability > 0.70,rule,0.22,negative,0.34,0.39,2434.13,1265.71,9.6
technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.29,negative,0.33,0.23,193.62,134.79,6.53
common <= 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.28,positive,0.3,0.24,1168.75,571.63,8.25
technically complicated <= 0.70 & positive <= 0.70 & negative > 0.5 & subject to time variability <= 0.89,rule,0.08,negative,0.28,0.07,762.46,289.18,7.25
conceptually dense > 0.70 & subject to geographical variability > 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.9,positive,0.26,0.72,325.55,173.97,6.48
conceptually dense > 0.70 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.91,positive,0.23,0.73,188.82,117.26,5.85
negative > 0.5 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.36,positive,0.22,0.29,453.35,316.42,7.01
technically complicated > 0.5 & technically complicated <= 0.70 & unambiguous > 0.70 & neutral > 0.70 & subject to time variability > 0.70,rule,0.27,negative,0.19,0.25,896.03,362.04,7.02
conceptually dense > 0.70 & positive > 0.5 & subject to geographical variability > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.81,positive,0.18,0.66,248.34,115.59,5.58
positive > 0.70 & negative <= 0.5 & neutral > 0.70 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.54,negative,0.15,0.48,308.17,128.18,5.57
technically complicated > 0.70 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.48,positive,0.15,0.76,131.8,94.73,5.25
positive > 0.70 & negative > 0.5 & interdisciplinary > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.13,positive,0.13,0.11,243.49,142.19,5.59
conceptually dense > 0.70 & technically complicated > 0.5 & unambiguous <= 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.22,positive,0.12,0.68,83.09,53.23,4.47
positive > 0.70 & negative <= 0.5 & neutral > 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.51,negative,0.12,0.44,2057.59,883.97,7.58
positive > 0.5 & subject to geographical variability > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.86,positive,0.11,0.7,104.26,77.25,4.82
socially controversial <= 0.5 & positive > 0.70 & subject to time variability > 0.70,rule,0.23,negative,0.08,0.19,603.76,488.41,6.68
socially controversial > 0.5 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.73,positive,0.06,0.59,2284.07,1867.06,7.95
technically complicated <= 0.70 & common > 0.70 & negative > 0.30 & negative <= 0.5 & subject to time variability > 0.70,rule,0.26,negative,0.05,0.23,1054.66,569.66,6.65
positive > 0.70 & negative <= 0.5 & interdisciplinary > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.53,negative,0.05,0.43,162.6,95.64,4.81
technically complicated > 0.70 & positive > 0.5 & neutral > 0.70 & neutral <= 0.89 & subject to time variability > 0.70,rule,0.36,positive,0.04,0.33,269.27,197.94,5.51
socially controversial > 0.30 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.95,positive,0.04,0.77,158.45,132.12,5.06
unambiguous <= 0.70 & positive > 0.70 & subject to time variability <= 0.89,rule,0.12,positive,0.03,0.11,106.68,65.7,4.33
technically complicated <= 0.70 & positive > 0.5 & negative > 0.30 & negative <= 0.5 & subject to time variability <= 0.89,rule,0.35,negative,0.03,0.29,662.49,308.82,5.91
conceptually dense > 0.70 & unambiguous > 0.70 & neutral > 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.56,negative,0.03,0.47,1445.62,494.43,6.4
unambiguous <= 0.70 & neutral > 0.70 & subject to geographical variability > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.16,positive,0.01,0.61,303.81,167.48,5.16
technically complicated <= 0.70 & common > 0.70 & neutral > 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.26,negative,0.01,0.4,1550.93,712.78,6.65
