rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common <= 0.5 & positive > 0.5,rule,0.01,positive,1464.74,0.73,37356954.12,36899880.0,25538.65
technically complicated > 0.70 & common <= 0.5 & positive > 0.5 & positive <= 0.70,rule,0.0,positive,116.89,0.08,2795972.08,2632984.0,1742.86
technically complicated <= 0.70 & common <= 0.5 & socially controversial <= 0.70,rule,0.0,positive,91.24,0.26,4458432.2,4408068.5,1411.21
common <= 0.5 & negative <= 0.70 & interdisciplinary > 0.70,rule,0.01,positive,87.75,0.69,33455043.65,33115612.0,1536.83
technically complicated > 0.70 & common <= 0.5 & socially controversial <= 0.70,rule,0.0,negative,81.27,0.14,19076154.72,18626846.0,1377.14
common <= 0.5 & socially controversial > 0.5,rule,0.01,positive,78.99,0.6,9099660.47,9082122.0,1281.65
technically complicated > 0.70 & common <= 0.5 & socially controversial > 0.70,rule,0.0,positive,40.76,0.24,12140927.72,11691619.0,679.68
conceptually dense > 0.70 & common <= 0.5 & positive > 0.5 & positive <= 0.70,rule,0.0,positive,31.66,0.13,4842415.19,4568416.0,500.77
socially controversial > 0.30 & positive <= 0.70,rule,0.26,negative,30.29,0.78,118216.49,112763.27,364.02
conceptually dense > 0.70 & technically complicated > 0.70 & common <= 0.5 & socially controversial > 0.70 & negative <= 0.70,rule,0.0,positive,19.91,0.21,3202805.17,3145853.75,312.88
technically complicated > 0.5 & technically complicated <= 0.70 & common <= 0.70 & interdisciplinary <= 0.70,rule,0.01,negative,15.53,0.02,69663.98,37146.7,173.98
common,linear,,negative,10.14,,,,
technically complicated > 0.5 & common > 0.5 & common <= 0.70 & socially controversial > 0.30,rule,0.27,positive,9.98,0.72,2981906.36,2956350.25,163.55
common > 0.5 & socially controversial <= 0.70 & positive <= 0.70,rule,0.02,negative,7.65,0.4,20554373.16,20374420.0,145.54
conceptually dense > 0.70 & common > 0.5 & positive > 0.70 & subject to time variability <= 0.89,rule,0.66,positive,5.02,0.58,2016331.66,1860671.38,86.96
