rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
socially controversial > 0.30 & subject to geographical variability > 0.70,rule,0.97,negative,4.63,0.78,6350.85,6302.65,49.24
conceptually dense > 0.70 & positive > 0.5 & positive <= 0.89 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.82,negative,4.01,0.67,11586.45,3779.2,41.27
technically complicated > 0.5 & common <= 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.27,negative,3.4,0.21,33075.3,22815.38,44.19
socially controversial > 0.5 & positive > 0.70,rule,0.49,negative,3.11,0.59,70807.66,59562.05,45.19
negative > 0.5 & subject to geographical variability > 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.34,negative,2.89,0.29,19750.01,7102.87,34.52
technically complicated <= 0.70 & unambiguous > 0.70 & negative <= 0.5 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.3,positive,2.26,0.42,22918.99,12050.88,30.63
common > 0.70 & socially controversial <= 0.5 & positive > 0.70 & positive <= 0.89 & subject to time variability > 0.70,rule,0.19,positive,2.22,0.15,14379.68,8062.75,28.99
socially controversial > 0.5 & positive <= 0.70 & interdisciplinary <= 0.70 & subject to time variability <= 0.89,rule,0.01,positive,2.08,0.19,36519.71,19966.08,30.52
unambiguous <= 0.70 & positive > 0.70 & neutral > 0.70 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.1,negative,2.03,0.1,26041.2,11156.45,28.22
positive > 0.70 & negative > 0.5 & negative <= 0.70 & subject to time variability <= 0.89,rule,0.14,negative,1.87,0.11,37670.54,22025.02,28.74
technically complicated <= 0.70 & positive <= 0.70 & subject to geographical variability > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.09,positive,1.55,0.38,8130.35,3316.65,20.67
technically complicated <= 0.70 & socially controversial <= 0.30 & neutral <= 0.89,rule,0.02,positive,1.38,0.16,10711.11,5401.54,20.42
technically complicated > 0.5 & common <= 0.70 & unambiguous > 0.70 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.14,negative,1.33,0.22,82620.01,33914.86,24.3
neutral <= 0.70 & subject to geographical variability > 0.70 & interdisciplinary > 0.70,rule,0.18,negative,1.26,0.74,9990.43,6539.81,19.81
technically complicated > 0.5 & technically complicated <= 0.70 & common <= 0.70 & negative <= 0.5 & subject to time variability > 0.70,rule,0.06,negative,1.01,0.06,9690.57,3570.96,16.43
common > 0.70 & socially controversial > 0.5 & positive > 0.5 & neutral > 0.70 & subject to time variability <= 0.89,rule,0.33,negative,0.97,0.28,38925.82,30581.91,20.35
technically complicated > 0.70 & common > 0.70 & socially controversial <= 0.70 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.12,negative,0.84,0.25,19214.53,8145.74,16.56
technically complicated <= 0.70 & socially controversial <= 0.5 & unambiguous > 0.70,rule,0.2,positive,0.82,0.2,35250.7,29302.76,18.76
technically complicated > 0.5 & subject to geographical variability > 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.86,negative,0.81,0.7,43036.85,21807.27,18.1
conceptually dense > 0.70 & positive > 0.70 & negative > 0.5 & neutral > 0.70 & subject to geographical variability > 0.70,rule,0.09,negative,0.79,0.07,55232.89,21598.47,17.85
technically complicated > 0.5 & unambiguous <= 0.70 & negative <= 0.70 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.21,negative,0.74,0.17,3772.39,2142.93,13.31
socially controversial > 0.5 & subject to geographical variability > 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.73,negative,0.68,0.59,6783.68,6185.95,14.69
socially controversial > 0.30 & positive > 0.70 & neutral <= 0.89 & subject to geographical variability > 0.70 & interdisciplinary <= 0.70,rule,0.04,negative,0.67,0.04,9164.76,5113.19,14.29
technically complicated <= 0.70 & common > 0.70 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.36,positive,0.63,0.3,12670.36,9749.67,14.99
technically complicated <= 0.70 & common > 0.70 & socially controversial <= 0.70 & positive <= 0.89 & interdisciplinary > 0.70,rule,0.21,positive,0.63,0.17,10206.25,4501.61,13.72
technically complicated <= 0.5 & socially controversial <= 0.5,rule,0.08,positive,0.59,0.08,42562.33,34163.17,16.61
common <= 0.70 & negative > 0.5 & neutral > 0.5 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.12,negative,0.41,0.23,18743.79,13509.08,13.37
socially controversial <= 0.89 & unambiguous > 0.70 & negative > 0.5 & negative <= 0.70 & subject to geographical variability > 0.70,rule,0.17,positive,0.31,0.18,58351.43,24452.63,13.27
technically complicated <= 0.70 & socially controversial > 0.70 & neutral > 0.70,rule,0.11,negative,0.3,0.17,3529.36,2494.0,10.2
unambiguous <= 0.70 & positive > 0.70 & subject to geographical variability > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.12,negative,0.28,0.57,13344.63,8455.9,11.62
technically complicated > 0.5 & common <= 0.70 & socially controversial > 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.17,negative,0.24,0.22,13454.78,8145.74,11.21
conceptually dense > 0.70 & technically complicated > 0.70 & common <= 0.70 & negative > 0.5 & subject to geographical variability > 0.70,rule,0.07,negative,0.23,0.1,4635.51,2231.67,9.5
socially controversial <= 0.5 & unambiguous > 0.70 & positive > 0.70 & positive <= 0.89 & subject to time variability > 0.70,rule,0.22,positive,0.19,0.18,31478.38,25174.2,12.05
socially controversial > 0.5 & unambiguous > 0.70 & positive <= 0.89 & negative > 0.70 & subject to time variability > 0.70,rule,0.05,negative,0.19,0.41,66124.14,41476.39,12.7
technically complicated > 0.5 & common > 0.70 & unambiguous > 0.70 & negative > 0.5 & subject to time variability > 0.70,rule,0.17,positive,0.15,0.19,9512.2,3658.82,9.47
common <= 0.70 & positive > 0.70 & subject to geographical variability > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.21,negative,0.13,0.17,11655.53,6362.3,9.93
conceptually dense > 0.70 & technically complicated > 0.5 & subject to geographical variability > 0.70 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.84,negative,0.12,0.68,9650.42,5058.32,9.54
conceptually dense > 0.70 & technically complicated > 0.70 & common > 0.70 & negative <= 0.5 & subject to geographical variability > 0.70,rule,0.18,negative,0.11,0.32,8609.7,3545.49,9.04
technically complicated <= 0.70 & common > 0.70 & socially controversial <= 0.5 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.14,positive,0.1,0.27,31938.47,13224.12,10.43
technically complicated > 0.5 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.87,negative,0.06,0.77,8176.38,6304.15,9.31
unambiguous <= 0.70 & negative > 0.5 & neutral > 0.70 & subject to geographical variability > 0.70 & subject to time variability <= 0.89,rule,0.08,negative,0.0,0.16,20622.28,10667.45,9.32
