rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
technically complicated > 0.70 & unambiguous <= 0.70 & positive > 0.70 & neutral <= 0.70 & subject to time variability <= 0.89,rule,0.01,positive,0.35,0.02,15.32,7.35,2.69
socially controversial <= 0.70 & unambiguous > 0.70 & positive > 0.70 & negative <= 0.5 & subject to time variability <= 0.89,rule,0.41,positive,0.33,0.34,116.14,57.93,5.41
technically complicated > 0.5 & common <= 0.5 & socially controversial <= 0.70,rule,0.01,negative,0.28,0.32,164.89,127.96,6.19
technically complicated > 0.5 & positive > 0.70 & negative > 0.5 & subject to time variability <= 0.89,rule,0.13,negative,0.25,0.22,14.89,14.27,3.33
conceptually dense,linear,,negative,0.23,,,,
technically complicated > 0.5 & common > 0.70 & positive > 0.70 & negative <= 0.70 & subject to time variability <= 0.89,rule,0.44,positive,0.21,0.35,37.18,27.55,4.01
common > 0.70 & positive <= 0.70,rule,0.18,negative,0.18,0.56,438.48,405.71,7.12
common <= 0.70 & socially controversial > 0.70 & positive > 0.70 & neutral <= 0.70,rule,0.02,negative,0.17,0.02,125.89,93.22,5.33
common <= 0.70 & unambiguous > 0.70 & positive > 0.70 & negative > 0.5,rule,0.02,negative,0.14,0.11,142.27,81.69,5.02
positive > 0.70 & negative <= 0.5 & subject to geographical variability > 0.70 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.53,positive,0.14,0.43,36.35,18.77,3.33
technically complicated > 0.70 & positive > 0.5 & positive <= 0.70 & subject to geographical variability > 0.70,rule,0.11,negative,0.13,0.13,108.05,99.95,5.21
conceptually dense > 0.70 & common > 0.5 & common <= 0.70 & socially controversial <= 0.70 & positive > 0.70,rule,0.1,positive,0.13,0.09,76.68,50.81,4.43
positive <= 0.70 & interdisciplinary > 0.70,rule,0.25,negative,0.11,0.75,353.58,348.2,6.49
conceptually dense > 0.70 & common > 0.5 & negative <= 0.5 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.54,positive,0.11,0.44,38.42,25.44,3.58
conceptually dense > 0.70 & socially controversial <= 0.70 & unambiguous > 0.70 & neutral <= 0.89 & subject to geographical variability > 0.70,rule,0.36,negative,0.1,0.3,11.88,10.24,2.57
technically complicated <= 0.70 & common <= 0.70 & socially controversial <= 0.70 & negative <= 0.5 & interdisciplinary > 0.70,rule,0.04,positive,0.1,0.2,27.82,19.72,3.29
