rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
technically complicated > 0.70 & common > 0.70 & unambiguous > 0.5 & positive > 0.30,rule,0.45,positive,176.03,0.4,74783982.0,57710528.0,3163.71
conceptually dense > 0.70 & socially controversial <= 0.89 & positive > 0.5 & interdisciplinary > 0.70,rule,0.72,positive,103.24,0.63,13415912.81,6793626.0,1639.91
conceptually dense > 0.70 & common > 0.5 & common <= 0.89 & socially controversial > 0.70 & positive > 0.5,rule,0.63,positive,71.2,0.54,28472976.0,8482017.0,1151.85
technically complicated > 0.70 & common > 0.5,rule,0.5,positive,64.19,0.79,52545435.0,47135760.0,1151.9
common,linear,,positive,57.13,,,,
common <= 0.89 & unambiguous > 0.5 & unambiguous <= 0.70 & positive > 0.5 & positive <= 0.70,rule,0.18,positive,46.87,0.17,14134384.25,7072706.0,755.01
conceptually dense > 0.70 & socially controversial <= 0.89 & neutral > 0.5 & subject to geographical variability > 0.89 & interdisciplinary <= 0.89,rule,0.08,positive,43.82,0.56,15006302.12,7876627.0,711.74
technically complicated > 0.5 & technically complicated <= 0.70 & positive > 0.5 & neutral <= 0.70 & interdisciplinary <= 0.89,rule,0.28,positive,36.23,0.34,53725590.5,37368368.0,649.23
common > 0.70 & socially controversial <= 0.70,rule,0.2,positive,34.8,0.73,15914846.5,8837239.0,572.64
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.70 & positive > 0.5 & neutral <= 0.70,rule,0.49,positive,23.02,0.41,9777734.12,4284408.0,366.85
socially controversial > 0.70 & unambiguous > 0.5 & positive > 0.5 & positive <= 0.70,rule,0.22,positive,21.64,0.17,36376099.0,18615394.0,378.9
common <= 0.89 & subject to geographical variability > 0.89,rule,0.15,positive,19.46,0.13,9022792.75,5705319.0,318.35
conceptually dense > 0.70 & unambiguous > 0.5 & positive > 0.5 & positive <= 0.70 & neutral <= 0.70,rule,0.2,positive,18.0,0.16,18386693.0,10422918.0,307.02
common <= 0.70 & positive > 0.70,rule,0.06,negative,17.47,0.07,8022183.5,6177128.0,288.81
common > 0.5 & positive <= 0.70 & subject to geographical variability > 0.89,rule,0.09,positive,13.9,0.26,6680061.5,2807983.5,221.22
socially controversial > 0.70 & interdisciplinary <= 0.89 & subject to time variability <= 0.89,rule,0.66,negative,9.52,0.6,9893420.62,7752279.5,166.96
technically complicated <= 0.70 & negative > 0.5 & neutral > 0.5 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.36,negative,8.6,0.29,33548906.5,28315708.0,164.75
common > 0.70 & positive > 0.5 & neutral > 0.5 & interdisciplinary <= 0.89,rule,0.74,positive,7.8,0.66,3145790.94,2389474.0,129.17
common > 0.70 & socially controversial <= 0.70 & positive > 0.70 & interdisciplinary <= 0.89,rule,0.18,positive,7.05,0.15,4244520.95,2567628.0,118.77
common > 0.5 & unambiguous <= 0.70 & positive > 0.70 & negative > 0.5,rule,0.39,negative,5.29,0.43,24941099.64,10690302.0,101.81
technically complicated <= 0.70 & unambiguous <= 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89 & subject to time variability <= 0.89,rule,0.27,negative,4.67,0.22,28635333.34,24992542.0,96.53
technically complicated > 0.70 & common <= 0.89 & socially controversial > 0.70 & positive > 0.5 & negative <= 0.89,rule,0.37,positive,4.36,0.33,42821660.62,23168506.0,90.84
common > 0.5 & positive > 0.5 & positive <= 0.70,rule,0.23,positive,4.14,0.73,10472884.5,3905373.25,78.08
common > 0.5 & socially controversial > 0.70 & socially controversial <= 0.89 & unambiguous <= 0.70 & interdisciplinary <= 0.89,rule,0.47,positive,1.65,0.41,39282055.75,20756514.0,44.64
technically complicated <= 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & unambiguous > 0.70 & interdisciplinary <= 0.89,rule,0.09,negative,1.65,0.07,27220572.0,14621099.0,43.78
