rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
socially controversial,linear,,negative,5.86,,,,
common > 0.70 & interdisciplinary <= 0.70,rule,0.01,positive,5.13,0.01,6932.15,6347.64,53.69
conceptually dense <= 0.70 & common > 0.70 & socially controversial > 0.70 & socially controversial <= 0.89,rule,0.02,positive,3.14,0.02,6900.33,3608.61,33.89
common > 0.89 & interdisciplinary <= 0.89,rule,0.08,positive,3.02,0.08,35896.29,33126.62,41.81
common,linear,,positive,2.93,,,,
conceptually dense <= 0.70 & common <= 0.89 & negative > 0.5,rule,0.03,positive,2.68,0.63,4202.28,3171.64,29.65
technically complicated > 0.5 & technically complicated <= 0.70 & socially controversial > 0.5 & neutral > 0.70 & subject to geographical variability <= 0.89,rule,0.1,negative,2.61,0.11,8260.41,4063.6,29.97
conceptually dense <= 0.70 & common > 0.70 & socially controversial <= 0.70 & positive <= 0.89,rule,0.08,positive,2.18,0.07,5374.91,3945.35,26.29
technically complicated > 0.70 & socially controversial > 0.5 & positive > 0.5 & negative > 0.5 & subject to time variability > 0.70,rule,0.42,negative,1.9,0.61,56942.06,31411.45,30.06
common > 0.5 & positive <= 0.89 & subject to time variability <= 0.70,rule,0.01,positive,1.73,0.01,4981.91,3225.58,22.04
conceptually dense > 0.70 & socially controversial <= 0.89 & unambiguous > 0.70 & positive <= 0.5 & negative > 0.5,rule,0.02,positive,1.57,0.02,16556.66,5844.34,22.3
technically complicated > 0.5 & technically complicated <= 0.70 & socially controversial > 0.70 & neutral <= 0.70 & subject to geographical variability > 0.89,rule,0.05,negative,1.53,0.04,6304.26,4417.58,21.22
technically complicated <= 0.70 & common > 0.70 & common <= 0.89 & neutral > 0.70 & interdisciplinary > 0.70,rule,0.12,positive,1.48,0.21,10093.03,4881.49,21.06
common <= 0.89 & negative <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.5,negative,1.47,0.44,5932.45,3566.16,20.17
conceptually dense > 0.70 & technically complicated > 0.70 & unambiguous > 0.70 & positive <= 0.70 & subject to time variability > 0.70,rule,0.04,positive,1.28,0.05,5037.18,2317.38,17.65
conceptually dense <= 0.70 & common > 0.70 & unambiguous > 0.70 & neutral > 0.70,rule,0.07,positive,1.27,0.07,4838.47,2833.46,18.06
conceptually dense <= 0.70 & socially controversial <= 0.5 & neutral > 0.70,rule,0.05,positive,1.2,0.07,75077.73,68598.0,24.52
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.89 & positive > 0.30 & positive <= 0.70,rule,0.06,negative,1.18,0.07,5254.84,3945.35,18.07
technically complicated > 0.70 & common <= 0.70 & neutral <= 0.70 & interdisciplinary > 0.70,rule,0.03,negative,1.16,0.04,2188.32,1390.29,15.64
common > 0.70 & unambiguous > 0.70 & positive > 0.5 & negative > 0.5 & interdisciplinary <= 0.89,rule,0.16,negative,1.1,0.14,4777.17,2210.25,16.18
conceptually dense <= 0.70 & common > 0.70 & common <= 0.89 & positive > 0.70 & positive <= 0.89,rule,0.06,positive,1.1,0.05,5131.02,1977.17,15.95
common <= 0.89 & socially controversial > 0.70 & positive > 0.70 & neutral <= 0.70 & interdisciplinary > 0.70,rule,0.31,negative,0.98,0.36,34858.2,15844.46,19.17
technically complicated > 0.5 & common <= 0.89 & unambiguous > 0.70 & positive > 0.5 & interdisciplinary > 0.70,rule,0.21,negative,0.97,0.19,14494.72,4944.06,16.72
conceptually dense <= 0.70 & common > 0.70 & socially controversial <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70,rule,0.08,negative,0.96,0.07,25734.58,13159.29,18.55
common <= 0.89 & unambiguous <= 0.70 & negative > 0.5 & negative <= 0.70 & subject to time variability <= 0.89,rule,0.33,negative,0.96,0.47,45732.51,26286.82,19.94
common <= 0.89 & positive > 0.5 & neutral > 0.5 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.81,negative,0.95,0.71,7672.3,2489.39,15.26
technically complicated > 0.5 & common > 0.70 & common <= 0.89 & unambiguous > 0.70 & subject to time variability > 0.70,rule,0.23,negative,0.95,0.18,11590.21,3957.99,16.14
common <= 0.89 & negative > 0.70 & neutral > 0.5 & neutral <= 0.70,rule,0.31,negative,0.95,0.48,307.95,226.57,10.56
conceptually dense > 0.5 & common <= 0.89 & negative <= 0.5,rule,0.11,negative,0.86,0.09,10596.73,5915.56,16.15
common <= 0.89 & socially controversial > 0.89 & positive <= 0.5,rule,0.03,negative,0.85,0.06,7120.33,2969.71,14.79
socially controversial <= 0.89 & unambiguous > 0.5 & unambiguous <= 0.70 & negative > 0.70 & interdisciplinary > 0.70,rule,0.22,negative,0.84,0.18,4229.44,2907.11,14.66
common <= 0.89 & socially controversial > 0.70 & unambiguous <= 0.70 & positive > 0.70 & subject to time variability <= 0.89,rule,0.34,negative,0.84,0.44,18401.59,7242.85,16.39
conceptually dense <= 0.70 & common > 0.89 & socially controversial <= 0.5 & positive <= 0.89,rule,0.02,positive,0.8,0.02,1572.16,847.27,12.16
conceptually dense > 0.70 & common > 0.89 & unambiguous > 0.70 & positive > 0.5 & negative > 0.5,rule,0.02,negative,0.8,0.02,3242.24,1990.4,13.64
common > 0.70 & negative <= 0.70 & interdisciplinary > 0.89,rule,0.04,negative,0.78,0.08,774.81,624.83,11.45
common > 0.89 & unambiguous <= 0.70 & interdisciplinary > 0.89,rule,0.01,negative,0.76,0.03,33702.94,30534.78,18.22
common > 0.89 & unambiguous <= 0.70 & positive > 0.70 & negative > 0.5 & interdisciplinary <= 0.89,rule,0.02,positive,0.76,0.01,6611.89,1878.6,13.27
conceptually dense > 0.70 & technically complicated > 0.70 & common <= 0.89 & unambiguous <= 0.70 & interdisciplinary <= 0.89,rule,0.32,negative,0.76,0.3,89003.12,50478.51,19.11
conceptually dense > 0.70 & technically complicated <= 0.70 & common > 0.5 & socially controversial > 0.5 & socially controversial <= 0.89,rule,0.34,positive,0.75,0.28,7810.93,3438.42,14.24
conceptually dense <= 0.70 & socially controversial > 0.5 & negative > 0.5,rule,0.04,positive,0.72,0.04,28260.57,16436.18,16.72
common <= 0.89 & unambiguous <= 0.70 & positive > 0.5 & neutral > 0.70 & subject to geographical variability <= 0.89,rule,0.14,negative,0.71,0.12,1736.2,560.31,10.84
common <= 0.89 & unambiguous > 0.70 & negative > 0.5 & neutral > 0.70 & subject to geographical variability <= 0.89,rule,0.07,positive,0.69,0.12,59620.31,40254.96,17.96
common <= 0.89 & unambiguous > 0.70 & negative > 0.5 & subject to geographical variability <= 0.89,rule,0.15,positive,0.6,0.52,6938.79,2863.12,12.77
common > 0.5 & socially controversial <= 0.89 & positive <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70,rule,0.2,positive,0.6,0.16,2673.73,1220.37,11.37
technically complicated <= 0.70 & socially controversial <= 0.89 & negative <= 0.70 & neutral <= 0.70 & interdisciplinary <= 0.89,rule,0.19,positive,0.59,0.15,5786.46,3795.23,13.07
conceptually dense > 0.70 & positive > 0.70 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.57,negative,0.55,0.53,9152.76,4686.21,13.08
technically complicated <= 0.70 & common <= 0.89 & socially controversial <= 0.89 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.4,positive,0.55,0.32,4802.03,2877.78,12.31
common <= 0.89 & socially controversial > 0.5 & unambiguous <= 0.70 & neutral > 0.70 & interdisciplinary <= 0.89,rule,0.13,negative,0.52,0.18,20449.72,9913.96,14.03
conceptually dense <= 0.70 & negative > 0.5,rule,0.04,positive,0.5,0.68,7153.67,6066.72,13.08
common <= 0.89 & positive > 0.30 & positive <= 0.5 & negative <= 0.89 & neutral <= 0.70,rule,0.07,negative,0.48,0.06,5108.36,2728.26,11.69
technically complicated > 0.5 & common <= 0.89 & socially controversial > 0.5 & negative <= 0.5 & subject to geographical variability <= 0.89,rule,0.06,negative,0.48,0.07,14550.71,6514.93,12.95
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.5 & unambiguous > 0.5 & unambiguous <= 0.70,rule,0.61,negative,0.45,0.49,13682.2,5762.32,12.55
common > 0.89 & positive <= 0.89 & negative <= 0.5 & neutral > 0.70,rule,0.02,positive,0.44,0.03,3067.09,2302.0,11.14
socially controversial > 0.5 & unambiguous > 0.70 & negative > 0.70 & interdisciplinary > 0.89,rule,0.02,positive,0.44,0.04,5088.36,3001.69,11.55
common > 0.89 & unambiguous > 0.70 & positive <= 0.89,rule,0.05,positive,0.43,0.05,17224.06,16646.16,13.88
common <= 0.70 & socially controversial > 0.5 & unambiguous <= 0.70 & subject to geographical variability <= 0.89,rule,0.07,negative,0.4,0.06,4046.66,2987.88,11.17
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.70 & unambiguous <= 0.70 & neutral <= 0.70,rule,0.46,negative,0.39,0.45,1993.85,552.36,8.8
technically complicated <= 0.70 & common > 0.89 & positive <= 0.89 & negative <= 0.70,rule,0.05,positive,0.38,0.05,6777.79,5731.1,11.94
conceptually dense > 0.70 & socially controversial > 0.70 & unambiguous > 0.70 & negative > 0.5 & interdisciplinary <= 0.89,rule,0.13,negative,0.37,0.12,31159.38,16436.18,13.32
