rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common,linear,,positive,0.12,,,,
technically complicated <= 0.5 & socially controversial <= 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.03,positive,0.05,0.03,0.8,0.6,1.05
technically complicated <= 0.70 & unambiguous <= 0.89 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70 & subject to time variability > 0.70,rule,0.42,positive,0.05,0.38,7.93,5.54,1.79
technically complicated <= 0.70 & common > 0.89 & subject to geographical variability <= 0.89,rule,0.06,positive,0.04,0.07,3.46,2.53,1.04
socially controversial > 0.89 & unambiguous <= 0.70 & positive <= 0.5 & subject to geographical variability <= 0.89 & interdisciplinary > 0.70,rule,0.01,positive,0.04,0.03,4.32,1.65,1.04
common > 0.89 & positive > 0.5,rule,0.09,positive,0.04,0.08,1.02,0.9,1.04
common <= 0.89 & positive <= 0.89 & neutral > 0.70,rule,0.29,negative,0.03,0.27,1.28,0.62,1.03
socially controversial > 0.89 & positive <= 0.5,rule,0.03,positive,0.03,0.07,2.24,1.22,1.03
common > 0.89 & socially controversial > 0.5 & socially controversial <= 0.89 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.05,negative,0.03,0.05,2.52,1.99,1.03
technically complicated > 0.5 & common > 0.89 & positive <= 0.89 & negative <= 0.70 & interdisciplinary <= 0.89,rule,0.05,negative,0.03,0.04,9.31,7.7,2.09
technically complicated <= 0.70 & common <= 0.89 & positive > 0.5 & negative > 0.5 & interdisciplinary > 0.70,rule,0.31,negative,0.03,0.27,9.1,4.03,1.43
conceptually dense <= 0.70 & common <= 0.89 & positive > 0.5 & positive <= 0.89 & subject to time variability <= 0.89,rule,0.08,negative,0.03,0.06,4.44,3.43,1.28
common > 0.89 & unambiguous > 0.5 & unambiguous <= 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.02,positive,0.03,0.03,10.59,7.61,2.09
technically complicated <= 0.70 & common <= 0.70 & positive <= 0.89 & interdisciplinary <= 0.89,rule,0.04,negative,0.02,0.07,1.4,1.1,1.02
technically complicated <= 0.70 & unambiguous > 0.70 & negative <= 0.5 & subject to geographical variability <= 0.89 & subject to time variability <= 0.89,rule,0.1,positive,0.02,0.09,5.11,2.16,1.02
