rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
conceptually dense > 0.70 & common > 0.5 & positive <= 0.70 & interdisciplinary > 0.89,rule,0.05,positive,5.33,0.25,15608.83,13371.74,60.19
interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.89,negative,2.22,0.72,2025.09,1875.82,24.24
conceptually dense <= 0.70 & common > 0.5 & socially controversial <= 0.5 & negative <= 0.5 & interdisciplinary > 0.70,rule,0.04,negative,0.78,0.04,224.75,143.29,8.85
technically complicated > 0.70 & common > 0.5 & positive <= 0.70 & interdisciplinary > 0.89,rule,0.05,positive,0.67,0.07,13640.12,7226.58,14.82
common > 0.89 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.08,negative,0.52,0.72,1212.84,995.49,10.52
negative > 0.5 & interdisciplinary > 0.89,rule,0.1,positive,0.42,0.69,13089.66,10754.65,13.18
common > 0.89 & unambiguous > 0.70 & negative > 0.5 & negative <= 0.70,rule,0.02,positive,0.39,0.11,346.39,173.21,7.17
conceptually dense > 0.70 & common <= 0.89 & socially controversial > 0.70 & negative <= 0.70 & neutral <= 0.70,rule,0.25,positive,0.37,0.21,1316.39,683.89,8.91
common > 0.5 & negative > 0.70 & neutral <= 0.70 & interdisciplinary > 0.89,rule,0.05,positive,0.37,0.06,2321.56,1496.04,9.99
common <= 0.89 & positive <= 0.5 & interdisciplinary <= 0.89,rule,0.07,negative,0.31,0.65,2772.34,2422.08,10.23
conceptually dense > 0.70 & conceptually dense <= 0.89 & common > 0.5 & socially controversial > 0.70 & subject to geographical variability > 0.89,rule,0.16,positive,0.3,0.61,664.73,338.13,7.6
negative > 0.70 & neutral > 0.5 & neutral <= 0.70,rule,0.34,positive,0.29,0.29,1653.01,1487.9,9.45
conceptually dense <= 0.89 & common > 0.5 & unambiguous <= 0.70 & positive > 0.30 & interdisciplinary <= 0.89,rule,0.61,positive,0.27,0.55,1924.25,1451.82,9.24
socially controversial <= 0.89 & unambiguous > 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89 & subject to time variability <= 0.89,rule,0.27,negative,0.27,0.23,3872.41,2371.53,9.89
conceptually dense > 0.70 & technically complicated > 0.70 & common > 0.5 & socially controversial <= 0.89 & subject to time variability <= 0.89,rule,0.43,positive,0.26,0.38,293.27,144.01,6.29
technically complicated <= 0.70 & socially controversial <= 0.5 & negative <= 0.5 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.05,negative,0.23,0.04,384.64,122.13,5.91
conceptually dense > 0.70 & common <= 0.89 & positive <= 0.5 & negative > 0.70 & subject to geographical variability <= 0.89,rule,0.05,negative,0.21,0.05,286.48,135.92,5.95
technically complicated > 0.70 & common <= 0.89 & socially controversial > 0.5 & socially controversial <= 0.89 & interdisciplinary <= 0.89,rule,0.33,positive,0.21,0.32,902.69,600.21,7.77
technically complicated > 0.70 & common > 0.5 & unambiguous <= 0.70 & positive <= 0.70 & neutral <= 0.70,rule,0.15,positive,0.21,0.15,1024.5,427.06,7.35
conceptually dense > 0.70 & common <= 0.89 & unambiguous > 0.70 & positive > 0.5 & interdisciplinary <= 0.89,rule,0.16,positive,0.2,0.14,614.91,259.05,6.68
technically complicated > 0.5 & socially controversial > 0.5 & positive > 0.5 & neutral > 0.70 & interdisciplinary <= 0.89,rule,0.24,positive,0.19,0.2,618.13,205.9,6.34
conceptually dense > 0.70 & technically complicated <= 0.70 & socially controversial > 0.70 & positive > 0.5 & interdisciplinary <= 0.89,rule,0.28,positive,0.19,0.25,5001.12,4260.28,9.9
common > 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & negative <= 0.70,rule,0.36,negative,0.17,0.32,94.51,31.07,4.0
conceptually dense <= 0.70 & common > 0.70,rule,0.11,negative,0.17,0.09,790.55,770.61,7.75
common > 0.70 & socially controversial <= 0.89 & negative <= 0.5 & interdisciplinary <= 0.89,rule,0.13,negative,0.17,0.59,2305.39,2189.57,8.98
common > 0.89 & negative <= 0.5 & interdisciplinary > 0.70,rule,0.03,negative,0.16,0.11,1367.24,1003.52,8.01
conceptually dense > 0.70 & common > 0.5 & common <= 0.89 & socially controversial > 0.70 & positive > 0.70,rule,0.44,positive,0.13,0.35,1708.98,1014.63,7.8
common > 0.5 & common <= 0.89 & socially controversial > 0.70 & negative > 0.5 & neutral <= 0.70,rule,0.56,positive,0.12,0.48,852.57,612.76,7.19
common > 0.5 & common <= 0.70 & interdisciplinary <= 0.89,rule,0.08,positive,0.12,0.07,94.1,43.09,4.23
