rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common <= 0.5 & negative <= 0.70,rule,0.0,positive,721.02,0.0,49563188.0,44907484.0,12722.08
common <= 0.5,rule,0.0,positive,522.31,0.79,86110648.0,86110648.0,9561.46
common <= 0.5 & neutral > 0.5,rule,0.0,positive,461.97,0.8,6375813.73,6324251.5,7250.07
common <= 0.5 & positive > 0.70 & positive <= 0.89,rule,0.0,positive,425.07,0.53,10347384.42,9609380.0,6850.4
technically complicated > 0.70 & common <= 0.5,rule,0.0,positive,261.71,0.4,9825833.84,9804890.0,4229.29
common <= 0.5 & positive > 0.70,rule,0.0,positive,249.94,0.0,65805360.0,62232400.0,4503.51
conceptually dense > 0.70 & technically complicated <= 0.70 & common <= 0.5,rule,0.0,negative,212.71,0.0,28278886.0,26019858.0,3648.9
common,linear,,negative,61.49,,,,
common <= 0.70 & positive <= 0.5,rule,0.01,negative,48.57,0.07,275087.63,229491.69,611.86
common > 0.5 & positive <= 0.70,rule,0.32,negative,42.53,0.25,2733791.63,1558546.25,620.75
conceptually dense > 0.70 & technically complicated > 0.70 & common <= 0.70 & negative > 0.70,rule,0.02,positive,5.46,0.19,1624413.82,731936.94,87.2
conceptually dense > 0.5 & technically complicated > 0.70 & common <= 0.89 & socially controversial > 0.70 & neutral <= 0.70,rule,0.3,positive,4.32,0.27,69506.13,24128.72,53.7
technically complicated > 0.70 & common > 0.5 & positive > 0.70 & positive <= 0.89 & negative <= 0.70,rule,0.24,positive,4.21,0.47,23930603.34,23002090.0,88.29
conceptually dense > 0.5 & socially controversial <= 0.89 & positive <= 0.5 & interdisciplinary > 0.70,rule,0.06,negative,4.01,0.2,394770.78,182782.88,60.72
common > 0.5 & unambiguous > 0.70 & positive <= 0.5 & interdisciplinary > 0.70,rule,0.03,negative,3.3,0.06,1331039.92,1315724.88,60.58
common > 0.70 & common <= 0.89 & negative > 0.5 & negative <= 0.70,rule,0.4,negative,3.08,0.35,73363.4,66525.57,45.3
conceptually dense <= 0.70 & common > 0.5 & positive > 0.70 & positive <= 0.89 & negative <= 0.70,rule,0.1,negative,2.41,0.09,2302872.71,2226392.75,49.87
common > 0.5 & common <= 0.89 & socially controversial <= 0.89 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.73,negative,2.32,0.64,23963853.96,23593882.0,56.38
technically complicated > 0.5 & common > 0.70 & negative <= 0.5,rule,0.1,positive,2.31,0.42,34310.48,17119.84,32.29
conceptually dense > 0.70 & common > 0.5 & positive > 0.70 & positive <= 0.89 & negative <= 0.70,rule,0.48,positive,1.75,0.39,2419667.3,2226392.75,40.16
conceptually dense > 0.70 & common > 0.5 & socially controversial <= 0.89 & positive > 0.70,rule,0.54,positive,1.65,0.46,3848512.26,3206530.0,39.65
common > 0.5 & common <= 0.89 & positive <= 0.70 & negative > 0.70 & interdisciplinary <= 0.89,rule,0.22,positive,1.48,0.2,15387585.84,14441943.0,40.9
technically complicated > 0.70 & common > 0.70 & positive > 0.70 & subject to time variability <= 0.89,rule,0.25,positive,1.36,0.34,180036.6,164708.98,28.33
conceptually dense > 0.70 & common > 0.70 & positive > 0.70,rule,0.52,positive,0.93,0.46,548095.47,518950.28,25.41
technically complicated <= 0.70 & common > 0.5 & socially controversial <= 0.89 & positive > 0.70 & positive <= 0.89,rule,0.36,negative,0.69,0.29,1625367.49,1499627.5,23.98
common > 0.70 & socially controversial > 0.5 & unambiguous > 0.70 & positive > 0.70 & subject to time variability <= 0.89,rule,0.19,positive,0.65,0.15,278355.25,239926.59,20.49
common > 0.89 & unambiguous > 0.70 & positive > 0.70,rule,0.05,positive,0.5,0.2,416659.21,408135.94,19.33
common > 0.89 & positive <= 0.70,rule,0.03,negative,0.41,0.25,2365344.0,2319361.0,20.61
technically complicated <= 0.70 & common > 0.70 & neutral > 0.70,rule,0.16,negative,0.34,0.25,9295.57,6969.07,11.84
common <= 0.70 & positive > 0.70 & negative > 0.70,rule,0.01,positive,0.32,0.07,1269006.95,539192.12,17.45
conceptually dense > 0.70 & technically complicated > 0.5 & common > 0.5 & common <= 0.89 & neutral <= 0.70,rule,0.58,positive,0.21,0.47,11614336.63,10970970.0,19.62
technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.5 & negative > 0.5 & negative <= 0.70,rule,0.24,negative,0.16,0.19,1707280.21,1631323.12,16.66
technically complicated <= 0.70 & common > 0.5 & positive > 0.70 & positive <= 0.89 & negative <= 0.70,rule,0.34,negative,0.0,0.47,23930603.34,23002090.0,16.96
