rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
positive,linear,,positive,0.23,,,,
positive <= 0.30,rule,0.02,negative,0.08,0.13,2.31,2.31,1.08
technically complicated > 0.5 & socially controversial <= 0.5 & positive <= 0.5 & negative > 0.5 & subject to time variability <= 0.70,rule,0.01,negative,0.06,0.02,15.37,13.43,2.76
technically complicated > 0.5 & technically complicated <= 0.70 & common <= 0.89 & positive <= 0.5 & negative > 0.5,rule,0.11,negative,0.04,0.1,1.86,1.03,1.04
negative,linear,,negative,0.04,,,,
technically complicated > 0.5 & common > 0.5 & positive <= 0.70 & subject to geographical variability <= 0.70,rule,0.01,negative,0.04,0.01,0.66,0.32,1.04
positive <= 0.5 & neutral <= 0.5 & subject to geographical variability <= 0.89 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.09,negative,0.03,0.09,17.22,14.64,2.77
conceptually dense > 0.70 & common > 0.5 & positive <= 0.5 & neutral <= 0.70 & interdisciplinary > 0.70,rule,0.11,negative,0.03,0.09,1.59,1.35,1.03
positive > 0.30 & positive <= 0.5 & subject to geographical variability <= 0.70 & interdisciplinary > 0.5,rule,0.01,negative,0.03,0.0,3.59,2.76,1.04
conceptually dense > 0.70 & technically complicated > 0.5 & socially controversial > 0.70 & positive <= 0.5 & negative <= 0.89,rule,0.09,positive,0.03,0.22,2.15,1.22,1.03
positive <= 0.5,rule,0.16,negative,0.03,0.8,20.56,20.56,3.11
conceptually dense > 0.5 & unambiguous > 0.5 & negative > 0.70 & neutral <= 0.5 & interdisciplinary > 0.70,rule,0.03,negative,0.02,0.04,1.87,0.88,1.02
common > 0.70 & common <= 0.89 & positive <= 0.5 & neutral > 0.5,rule,0.02,negative,0.02,0.25,3.15,1.9,1.02
common > 0.5 & socially controversial > 0.30 & positive > 0.30 & positive <= 0.5 & subject to geographical variability <= 0.70,rule,0.0,negative,0.02,0.0,8.17,5.94,1.81
common <= 0.5 & negative <= 0.70 & subject to geographical variability > 0.5,rule,0.07,positive,0.02,0.66,5.07,4.73,1.58
unambiguous > 0.5 & positive <= 0.5 & neutral <= 0.5 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.03,negative,0.02,0.07,3.02,1.43,1.02
technically complicated <= 0.70 & socially controversial <= 0.70 & positive > 0.30 & positive <= 0.5 & subject to time variability > 0.70,rule,0.02,negative,0.02,0.02,3.71,2.38,1.02
common > 0.5 & common <= 0.89 & positive > 0.30 & positive <= 0.5 & subject to time variability <= 0.70,rule,0.02,negative,0.02,0.1,10.73,7.91,2.1
positive > 0.70 & negative > 0.5 & neutral > 0.5 & subject to time variability > 0.70,rule,0.07,negative,0.02,0.06,1.31,1.14,1.02
positive > 0.89 & subject to time variability <= 0.5,rule,0.02,positive,0.02,0.04,0.5,0.44,1.02
socially controversial > 0.5 & unambiguous <= 0.5 & positive > 0.30 & positive <= 0.5 & negative > 0.5,rule,0.08,positive,0.02,0.06,1.53,0.64,1.02
common > 0.70 & socially controversial <= 0.70 & positive <= 0.5,rule,0.02,negative,0.02,0.04,16.18,14.16,2.71
conceptually dense > 0.5 & common <= 0.70 & positive <= 0.5 & neutral <= 0.5 & subject to time variability > 0.70,rule,0.05,negative,0.02,0.08,0.92,0.56,1.02
common <= 0.89 & socially controversial <= 0.70 & positive <= 0.5 & subject to geographical variability <= 0.89 & subject to time variability > 0.5,rule,0.04,negative,0.01,0.04,2.19,1.33,1.01
technically complicated > 0.5 & positive <= 0.5 & negative > 0.5 & interdisciplinary > 0.5 & subject to time variability <= 0.70,rule,0.02,negative,0.01,0.02,2.07,1.53,1.01
conceptually dense <= 0.70 & positive > 0.5 & negative <= 0.89 & neutral <= 0.5 & subject to geographical variability <= 0.89,rule,0.01,positive,0.01,0.06,3.33,1.13,1.01
positive > 0.5 & negative <= 0.30 & subject to time variability <= 0.70,rule,0.07,positive,0.01,0.06,4.3,3.88,1.36
technically complicated > 0.70 & technically complicated <= 0.89 & common > 0.70 & common <= 0.89 & interdisciplinary > 0.70,rule,0.04,negative,0.01,0.14,0.39,0.2,1.01
unambiguous <= 0.5 & positive > 0.30 & negative > 0.70 & neutral <= 0.5,rule,0.08,positive,0.01,0.07,3.63,1.73,1.01
unambiguous <= 0.70 & negative > 0.30 & negative <= 0.70 & neutral > 0.5 & subject to geographical variability <= 0.70,rule,0.07,negative,0.01,0.05,2.53,1.67,1.01
positive <= 0.5 & negative > 0.89,rule,0.01,negative,0.01,0.13,26.47,24.78,3.24
conceptually dense > 0.5 & technically complicated <= 0.5 & common <= 0.70 & socially controversial > 0.5 & subject to geographical variability > 0.5,rule,0.05,negative,0.01,0.04,0.43,0.18,1.01
conceptually dense <= 0.70 & technically complicated <= 0.5 & socially controversial > 0.30 & unambiguous > 0.5 & negative <= 0.70,rule,0.13,negative,0.01,0.13,1.0,0.76,1.01
common > 0.89 & positive <= 0.89 & negative <= 0.89 & subject to time variability > 0.5,rule,0.02,positive,0.01,0.01,0.58,0.49,1.01
common <= 0.89 & socially controversial > 0.5 & positive <= 0.89 & interdisciplinary <= 0.70 & subject to time variability <= 0.70,rule,0.04,positive,0.01,0.1,0.6,0.33,1.01
conceptually dense > 0.70 & common > 0.70 & positive <= 0.70 & neutral > 0.5 & neutral <= 0.89,rule,0.05,negative,0.01,0.15,0.78,0.41,1.01
technically complicated > 0.5 & socially controversial > 0.5 & unambiguous <= 0.5 & negative > 0.5 & negative <= 0.89,rule,0.19,positive,0.01,0.15,2.34,1.21,1.01
conceptually dense > 0.5 & common > 0.5 & positive > 0.5 & negative <= 0.30 & subject to time variability <= 0.70,rule,0.04,positive,0.01,0.04,2.36,1.51,1.01
common <= 0.89 & unambiguous > 0.5 & positive > 0.30 & interdisciplinary > 0.5 & interdisciplinary <= 0.89,rule,0.65,negative,0.01,0.53,0.9,0.62,1.01
common <= 0.70 & socially controversial > 0.70 & positive <= 0.5 & subject to geographical variability <= 0.89 & subject to time variability > 0.5,rule,0.04,negative,0.01,0.07,2.03,1.33,1.01
conceptually dense <= 0.70 & common > 0.70 & socially controversial <= 0.89 & positive <= 0.89 & neutral > 0.5,rule,0.17,negative,0.01,0.15,0.76,0.25,1.01
common > 0.70 & unambiguous > 0.5 & positive <= 0.5 & negative > 0.5 & interdisciplinary > 0.70,rule,0.04,negative,0.01,0.04,3.59,1.43,1.01
conceptually dense <= 0.70 & common <= 0.89 & unambiguous > 0.70 & positive > 0.5,rule,0.07,negative,0.01,0.06,0.73,0.41,1.01
neutral > 0.70 & subject to geographical variability > 0.70 & interdisciplinary <= 0.89 & subject to time variability <= 0.70,rule,0.13,negative,0.01,0.21,0.15,0.06,1.01
unambiguous > 0.5 & unambiguous <= 0.70 & negative > 0.5 & neutral > 0.5 & subject to geographical variability > 0.70,rule,0.17,positive,0.01,0.39,0.81,0.43,1.01
conceptually dense > 0.5 & negative <= 0.5 & subject to geographical variability <= 0.70 & subject to time variability <= 0.5,rule,0.02,positive,0.01,0.02,0.36,0.17,1.01
conceptually dense > 0.5 & common <= 0.89 & positive <= 0.89 & neutral <= 0.5 & interdisciplinary <= 0.70,rule,0.04,positive,0.01,0.04,0.61,0.4,1.01
socially controversial > 0.30 & positive > 0.89 & interdisciplinary <= 0.70,rule,0.01,positive,0.01,0.02,0.47,0.4,1.01
common > 0.5 & common <= 0.70 & neutral <= 0.5 & subject to time variability > 0.5,rule,0.08,negative,0.01,0.39,3.86,2.73,1.02
negative > 0.5 & negative <= 0.70,rule,0.29,negative,0.01,0.37,3.72,3.08,1.13
technically complicated <= 0.5 & socially controversial <= 0.5 & unambiguous <= 0.70 & subject to geographical variability > 0.70 & subject to time variability <= 0.70,rule,0.06,positive,0.01,0.06,1.12,0.43,1.01
conceptually dense > 0.70 & technically complicated > 0.5 & positive <= 0.70 & negative <= 0.70 & subject to geographical variability > 0.89,rule,0.02,positive,0.01,0.13,5.83,4.22,1.45
common > 0.5 & common <= 0.89 & positive <= 0.30 & subject to time variability > 0.70,rule,0.01,negative,0.01,0.01,2.04,1.3,1.01
conceptually dense > 0.5 & technically complicated > 0.30 & unambiguous > 0.70 & positive > 0.5 & subject to geographical variability <= 0.70,rule,0.02,positive,0.01,0.07,8.8,8.31,2.14
conceptually dense > 0.5 & positive > 0.5 & negative <= 0.30 & neutral <= 0.70,rule,0.01,positive,0.01,0.01,7.96,7.09,1.97
technically complicated <= 0.70 & socially controversial <= 0.70 & positive <= 0.5 & negative <= 0.89 & subject to time variability > 0.70,rule,0.02,negative,0.01,0.08,16.17,13.43,2.63
common > 0.5 & positive > 0.70 & negative <= 0.70 & subject to geographical variability <= 0.70,rule,0.11,positive,0.01,0.44,14.32,12.15,2.51
technically complicated > 0.5 & socially controversial <= 0.5 & negative > 0.5 & negative <= 0.70 & subject to time variability > 0.5,rule,0.02,negative,0.01,0.2,11.13,7.87,2.08
conceptually dense > 0.5 & socially controversial > 0.30 & socially controversial <= 0.5 & negative <= 0.5 & subject to time variability <= 0.70,rule,0.18,positive,0.01,0.17,3.05,2.29,1.01
technically complicated > 0.70 & common > 0.70 & positive > 0.30 & negative > 0.5,rule,0.03,negative,0.0,0.02,0.91,0.57,1.0
conceptually dense <= 0.70 & common <= 0.70 & positive > 0.5 & negative > 0.30 & interdisciplinary <= 0.70,rule,0.07,positive,0.0,0.1,15.83,14.85,2.71
technically complicated > 0.30 & technically complicated <= 0.5 & positive <= 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.04,negative,0.0,0.07,0.21,0.1,1.0
positive > 0.30 & positive <= 0.5 & negative > 0.70 & negative <= 0.89 & subject to time variability > 0.70,rule,0.11,positive,0.0,0.1,2.37,1.13,1.0
conceptually dense > 0.5 & positive > 0.5 & subject to geographical variability <= 0.70 & interdisciplinary <= 0.70 & subject to time variability <= 0.70,rule,0.04,positive,0.0,0.06,29.98,29.04,3.37
technically complicated <= 0.5 & common > 0.70 & positive > 0.5 & positive <= 0.89 & subject to time variability > 0.5,rule,0.1,positive,0.0,0.09,0.63,0.29,1.0
socially controversial > 0.70 & positive > 0.30 & negative > 0.70 & negative <= 0.89 & neutral <= 0.5,rule,0.1,positive,0.0,0.09,2.08,1.01,1.0
conceptually dense <= 0.70 & common > 0.5 & socially controversial > 0.30 & socially controversial <= 0.70 & positive > 0.5,rule,0.24,negative,0.0,0.23,11.19,9.01,2.2
technically complicated <= 0.5 & common <= 0.70 & subject to geographical variability > 0.70,rule,0.09,negative,0.0,0.16,1.2,0.67,1.0
socially controversial > 0.5 & socially controversial <= 0.70 & positive > 0.5 & neutral > 0.5 & neutral <= 0.70,rule,0.24,negative,0.0,0.21,12.36,10.75,2.38
technically complicated > 0.5 & socially controversial <= 0.5 & negative <= 0.89 & subject to time variability <= 0.89,rule,0.19,negative,0.0,0.57,0.52,0.4,1.0
common > 0.70 & socially controversial <= 0.70 & positive > 0.70 & subject to time variability > 0.70,rule,0.07,positive,0.0,0.07,2.74,1.68,1.0
