rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.26,positive,9.67,0.23,115249.03,89453.47,121.6
interdisciplinary > 0.89,rule,0.02,positive,3.81,0.57,16648.12,16648.12,46.72
technically complicated > 0.5 & common > 0.5 & interdisciplinary > 0.89,rule,0.02,positive,3.49,0.47,12853.94,10761.21,41.72
common <= 0.5 & positive > 0.5 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.02,negative,3.14,0.18,44847.38,22337.89,41.48
common <= 0.5 & positive > 0.5,rule,0.06,negative,2.49,0.06,9164.24,7086.04,30.95
conceptually dense > 0.70 & subject to geographical variability > 0.5 & interdisciplinary > 0.89,rule,0.02,positive,1.92,0.51,8835.97,8752.36,26.52
common <= 0.89 & socially controversial <= 0.89 & positive <= 0.5 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.03,positive,1.47,0.02,70067.08,47356.55,26.56
common > 0.5 & positive > 0.5 & interdisciplinary > 0.5 & interdisciplinary <= 0.70,rule,0.21,positive,1.22,0.18,75212.62,47356.55,23.85
conceptually dense,linear,,positive,1.08,,,,
interdisciplinary,linear,,positive,0.84,,,,
conceptually dense > 0.5 & technically complicated > 0.5 & positive <= 0.70 & interdisciplinary > 0.70 & interdisciplinary <= 0.89,rule,0.29,negative,0.71,0.24,16304.77,8512.79,15.43
common > 0.5 & positive > 0.70,rule,0.55,positive,0.6,0.47,16956.51,8813.98,14.53
positive <= 0.70 & subject to geographical variability > 0.70 & interdisciplinary > 0.89,rule,0.01,positive,0.57,0.25,7139.8,5589.66,13.56
technically complicated > 0.5 & common > 0.5 & positive > 0.70 & negative <= 0.70 & interdisciplinary > 0.70,rule,0.29,positive,0.57,0.28,24244.89,18136.34,15.4
conceptually dense > 0.5 & common <= 0.89 & unambiguous > 0.5 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.15,negative,0.54,0.12,9432.78,7944.61,13.84
conceptually dense > 0.70 & technically complicated > 0.30 & negative <= 0.70 & interdisciplinary > 0.70,rule,0.43,positive,0.51,0.45,14717.7,11994.71,14.19
