rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common <= 0.5 & positive > 0.5,rule,0.06,positive,2142.74,0.06,2038985344.0,1642871040.0,45489.63
conceptually dense > 0.70 & common <= 0.5 & positive > 0.5,rule,0.04,positive,84.18,0.04,662809577.06,478266464.0,1702.35
common > 0.5 & positive <= 0.70,rule,0.38,negative,47.15,0.74,1646646984.0,1642871040.0,1021.71
common <= 0.5 & positive > 0.5 & interdisciplinary > 0.70,rule,0.04,positive,39.37,0.48,1096600473.0,1062830980.0,839.11
common <= 0.5 & positive > 0.70 & subject to geographical variability > 0.70,rule,0.03,positive,34.57,0.04,35881674.0,35490788.0,618.4
common <= 0.5 & positive > 0.5 & interdisciplinary > 0.5,rule,0.06,positive,27.93,0.05,417027056.0,255021200.0,560.06
technically complicated > 0.5 & common <= 0.5 & positive > 0.5,rule,0.05,positive,16.81,0.05,76602890.0,49118524.0,315.49
common > 0.30 & common <= 0.5 & positive > 0.5,rule,0.06,positive,10.74,0.05,135597776.0,129636192.0,219.4
conceptually dense <= 0.70 & common > 0.5,rule,0.33,negative,7.93,0.29,124075279.0,123286816.0,166.38
common > 0.70,rule,0.43,negative,7.63,0.74,225472.0,225472.0,106.36
common > 0.5 & interdisciplinary <= 0.70,rule,0.26,negative,3.39,0.74,1137146696.0,1137118720.0,91.61
technically complicated > 0.5 & common > 0.5 & positive > 0.70,rule,0.35,positive,2.6,0.44,1646816504.0,1642871040.0,76.3
common > 0.5 & common <= 0.70 & positive > 0.70 & interdisciplinary > 0.70,rule,0.22,positive,1.3,0.28,55555329.44,55300868.0,40.93
common > 0.5 & common <= 0.89 & positive > 0.70 & positive <= 0.89 & interdisciplinary > 0.5,rule,0.48,positive,1.12,0.41,31584169.75,31291734.0,36.52
