rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
conceptually dense,linear,,positive,305.57,,,,
common,linear,,positive,149.87,,,,
technically complicated <= 0.5 & common <= 0.70,rule,0.01,negative,130.4,0.11,47660676.0,43165220.0,2310.01
conceptually dense > 0.70 & common > 0.89 & socially controversial > 0.70 & neutral > 0.5,rule,0.01,positive,105.69,0.02,6556169.88,2797177.75,1583.77
common <= 0.70 & socially controversial > 0.5 & unambiguous > 0.5 & positive > 0.30 & interdisciplinary <= 0.89,rule,0.02,positive,90.45,0.02,4950961.45,1468100.25,1298.56
conceptually dense > 0.70 & common > 0.5 & socially controversial > 0.5 & positive > 0.30 & negative > 0.70,rule,0.25,positive,88.99,0.23,51514048.0,25069352.0,1533.21
technically complicated > 0.70 & interdisciplinary > 0.89,rule,0.48,positive,82.63,0.48,4407739.5,2549521.25,1233.68
common > 0.70 & socially controversial <= 0.70 & unambiguous > 0.5 & subject to geographical variability > 0.5 & subject to geographical variability <= 0.89,rule,0.4,positive,81.52,0.37,7798087.62,3253946.25,1237.46
technically complicated <= 0.5 & common <= 0.70 & subject to time variability > 0.70,rule,0.01,negative,76.07,0.15,6514505.12,3957125.75,1170.83
technically complicated > 0.5 & socially controversial > 0.70 & unambiguous > 0.5 & interdisciplinary > 0.89,rule,0.31,positive,75.46,0.28,9618542.25,5254733.5,1183.12
technically complicated > 0.70 & common <= 0.89 & subject to time variability <= 0.70,rule,0.02,negative,74.17,0.08,2269253.94,960085.31,1035.41
technically complicated > 0.70 & socially controversial > 0.70 & neutral > 0.5 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.27,positive,70.29,0.23,30273283.0,11684116.0,1160.12
technically complicated <= 0.70 & common > 0.5 & positive > 0.5 & negative > 0.5 & interdisciplinary > 0.89,rule,0.05,positive,65.21,0.07,8696492.94,3694670.25,1001.27
subject to time variability,linear,,positive,55.68,,,,
technically complicated > 0.70 & socially controversial > 0.70 & positive > 0.30 & positive <= 0.70,rule,0.12,positive,52.55,0.14,53190294.0,18457926.0,895.96
conceptually dense > 0.89 & common <= 0.70 & neutral > 0.70 & subject to geographical variability <= 0.89,rule,0.01,positive,49.01,0.01,2983290.98,2166574.5,729.57
conceptually dense > 0.70 & technically complicated > 0.70 & unambiguous <= 0.70 & subject to time variability > 0.70,rule,0.27,positive,44.86,0.28,67958339.0,47416352.0,810.56
conceptually dense > 0.5 & common > 0.5 & socially controversial <= 0.5 & positive > 0.5 & negative <= 0.5,rule,0.32,positive,43.8,0.26,40350373.0,25069352.0,763.22
common > 0.5 & socially controversial > 0.5 & negative > 0.70 & interdisciplinary <= 0.89,rule,0.06,positive,43.53,0.06,10880022.88,7608684.0,705.64
common <= 0.89 & socially controversial > 0.5 & positive > 0.70 & subject to geographical variability <= 0.89,rule,0.29,positive,43.12,0.23,22132573.62,18145934.0,737.38
common > 0.5 & socially controversial <= 0.5 & negative > 0.5 & interdisciplinary > 0.89,rule,0.03,positive,42.96,0.04,10204887.06,7608684.0,696.6
technically complicated > 0.5 & common <= 0.70 & positive <= 0.70 & negative > 0.5 & neutral <= 0.89,rule,0.04,negative,39.79,0.03,55518901.32,39012704.0,713.04
socially controversial <= 0.5 & positive > 0.70 & positive <= 0.89 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.27,negative,37.58,0.49,23952387.0,7103961.5,608.62
conceptually dense > 0.70 & technically complicated > 0.70 & unambiguous > 0.70 & negative <= 0.5,rule,0.18,negative,36.05,0.24,8575096.5,4236540.5,565.43
technically complicated > 0.5 & technically complicated <= 0.70 & socially controversial > 0.5 & positive > 0.5 & negative > 0.5,rule,0.06,positive,35.3,0.09,8570678.53,2952498.75,540.8
technically complicated > 0.70 & common > 0.70 & socially controversial <= 0.70 & negative > 0.5 & subject to geographical variability <= 0.89,rule,0.05,positive,30.84,0.05,17492868.18,7317639.0,503.3
conceptually dense > 0.70 & common > 0.70 & common <= 0.89 & socially controversial > 0.89 & neutral > 0.5,rule,0.06,negative,30.61,0.52,7893380.75,2797177.75,469.19
technically complicated > 0.5 & positive > 0.70 & neutral <= 0.89 & interdisciplinary <= 0.89 & subject to time variability > 0.70,rule,0.16,positive,29.82,0.17,5526644.94,3191571.75,461.49
conceptually dense > 0.70 & technically complicated > 0.70 & common > 0.5 & neutral <= 0.70 & subject to time variability > 0.70,rule,0.1,positive,28.73,0.15,44333998.25,23547864.0,504.61
technically complicated > 0.70 & socially controversial > 0.5 & unambiguous > 0.5 & neutral > 0.70 & subject to time variability > 0.70,rule,0.23,negative,27.93,0.2,12079418.5,5569200.0,449.32
common > 0.70 & socially controversial > 0.30 & negative <= 0.70 & neutral > 0.70 & subject to geographical variability > 0.89,rule,0.02,negative,27.64,0.37,12158895.75,4731786.0,440.13
technically complicated <= 0.5 & common > 0.70 & unambiguous > 0.70 & neutral > 0.5 & subject to geographical variability <= 0.89,rule,0.1,positive,27.46,0.09,22497296.0,18327536.0,475.89
conceptually dense <= 0.89 & common > 0.70 & unambiguous <= 0.70 & positive <= 0.70 & interdisciplinary > 0.89,rule,0.08,positive,27.4,0.16,30612346.0,20963774.0,478.85
common > 0.70 & socially controversial > 0.5 & unambiguous > 0.5 & positive <= 0.70 & interdisciplinary > 0.89,rule,0.13,positive,27.36,0.24,5528575.31,1485292.0,403.03
common > 0.89 & positive > 0.30 & neutral > 0.70 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.02,negative,27.26,0.01,7512226.0,4231586.5,431.14
technically complicated > 0.70 & common > 0.70 & unambiguous <= 0.70 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.18,positive,26.7,0.33,10027339.25,5441501.5,429.69
technically complicated > 0.70 & positive > 0.30 & positive <= 0.70 & subject to time variability > 0.70,rule,0.16,positive,26.12,0.14,6481982.5,2568675.5,400.24
common <= 0.89 & socially controversial > 0.89 & negative > 0.70 & neutral > 0.5 & subject to geographical variability > 0.89,rule,0.02,negative,26.01,0.04,5659514.66,2306662.0,395.71
conceptually dense > 0.5 & common <= 0.5 & unambiguous <= 0.5 & interdisciplinary <= 0.89,rule,0.0,negative,25.34,0.01,32974362.25,20963774.0,444.1
common > 0.5 & socially controversial > 0.5 & positive > 0.30 & positive <= 0.70 & subject to geographical variability <= 0.89,rule,0.14,negative,24.66,0.12,31429359.5,18145934.0,428.81
conceptually dense > 0.70 & positive > 0.70 & negative > 0.70 & subject to geographical variability <= 0.89,rule,0.07,negative,24.66,0.19,25580790.0,12996298.0,420.28
conceptually dense > 0.5 & technically complicated > 0.70 & common <= 0.70 & negative <= 0.70 & interdisciplinary > 0.89,rule,0.09,positive,24.49,0.22,10909317.75,4468483.0,390.35
conceptually dense > 0.89 & positive > 0.30 & subject to geographical variability <= 0.89,rule,0.02,positive,24.05,0.02,1910914.12,1114167.0,348.84
conceptually dense <= 0.5 & technically complicated <= 0.70,rule,0.04,negative,23.91,0.32,11167283.5,7366739.5,393.81
common > 0.70 & positive > 0.70 & neutral > 0.70 & subject to geographical variability > 0.89,rule,0.03,negative,23.87,0.03,12748875.66,9089694.0,398.49
technically complicated <= 0.70 & socially controversial > 0.5 & unambiguous > 0.70 & positive > 0.30,rule,0.11,positive,23.13,0.14,16452076.87,10954748.0,391.18
technically complicated <= 0.5 & positive <= 0.89 & negative <= 0.5 & subject to time variability > 0.70,rule,0.05,negative,23.11,0.04,11800521.5,7976031.5,383.12
technically complicated > 0.5 & positive > 0.30 & neutral <= 0.89 & subject to geographical variability > 0.5 & subject to time variability <= 0.89,rule,0.8,positive,22.82,0.66,9224015.19,4121810.25,362.76
technically complicated > 0.70 & socially controversial > 0.70 & unambiguous <= 0.70 & negative <= 0.70 & interdisciplinary > 0.89,rule,0.07,positive,22.81,0.06,43242963.5,18653238.0,398.6
common > 0.5 & common <= 0.89 & positive > 0.30 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.8,positive,22.81,0.66,7865010.94,3211679.75,356.67
conceptually dense <= 0.70 & technically complicated <= 0.70 & common <= 0.89 & unambiguous > 0.70,rule,0.08,negative,22.58,0.22,6476998.56,3520176.25,355.43
socially controversial > 0.70 & positive > 0.30 & subject to geographical variability > 0.70 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.35,positive,22.33,0.28,24557211.75,13983676.0,383.85
common > 0.70 & unambiguous > 0.5 & unambiguous <= 0.70 & neutral > 0.70 & interdisciplinary > 0.89,rule,0.11,negative,22.27,0.28,2084174.18,1140154.12,324.6
conceptually dense > 0.5 & positive > 0.30 & negative > 0.70 & neutral > 0.5 & subject to time variability > 0.70,rule,0.28,positive,22.09,0.66,10632984.69,4227705.0,352.28
common <= 0.89 & negative > 0.70 & neutral > 0.70 & subject to geographical variability > 0.89 & interdisciplinary > 0.89,rule,0.03,positive,21.67,0.05,14440954.44,8074571.0,360.61
socially controversial > 0.5 & socially controversial <= 0.89 & unambiguous > 0.70 & neutral > 0.5 & subject to time variability > 0.70,rule,0.23,positive,21.65,0.21,24350623.5,9734663.0,364.5
common <= 0.89 & socially controversial > 0.70 & unambiguous > 0.5 & subject to geographical variability > 0.70,rule,0.39,negative,20.94,0.32,6237844.62,3253946.25,328.93
conceptually dense > 0.70 & technically complicated > 0.5 & positive > 0.30 & subject to time variability > 0.5 & subject to time variability <= 0.89,rule,0.77,positive,20.57,0.67,5761964.94,2927260.25,321.2
technically complicated <= 0.5 & socially controversial > 0.30 & negative > 0.30 & interdisciplinary <= 0.89,rule,0.09,negative,20.01,0.07,28245026.5,18546516.0,351.69
conceptually dense > 0.70 & technically complicated > 0.5 & technically complicated <= 0.89 & unambiguous > 0.70 & subject to time variability > 0.70,rule,0.44,positive,19.27,0.35,87005342.25,47416352.0,358.27
common > 0.5 & socially controversial <= 0.5 & unambiguous > 0.70 & negative <= 0.5 & subject to geographical variability > 0.5,rule,0.27,negative,19.24,0.25,42706762.25,20459206.0,340.7
common > 0.70 & socially controversial <= 0.89 & positive <= 0.70 & interdisciplinary > 0.89,rule,0.12,positive,18.48,0.13,10412771.5,3979773.5,296.05
technically complicated <= 0.5 & positive > 0.5 & neutral > 0.5 & subject to geographical variability > 0.5 & subject to time variability > 0.70,rule,0.07,negative,18.42,0.06,6468478.56,4121810.25,295.85
conceptually dense <= 0.5 & neutral > 0.70 & neutral <= 0.89 & interdisciplinary <= 0.89 & subject to time variability > 0.70,rule,0.01,negative,18.29,0.18,43791348.5,26987266.0,330.05
technically complicated <= 0.70 & unambiguous > 0.5 & positive <= 0.30 & negative > 0.5 & negative <= 0.89,rule,0.01,negative,18.24,0.1,69818130.94,39568852.0,336.55
common > 0.89 & socially controversial > 0.5 & positive <= 0.70 & neutral > 0.5 & subject to geographical variability > 0.70,rule,0.01,positive,17.98,0.01,62121488.5,39297336.0,331.82
conceptually dense > 0.5 & positive > 0.30 & negative <= 0.70 & neutral > 0.5 & subject to time variability > 0.70,rule,0.55,positive,17.94,0.66,10632984.69,4227705.0,288.92
conceptually dense > 0.5 & common > 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.09,positive,17.88,0.1,3406409.31,1597861.25,269.7
conceptually dense <= 0.70 & unambiguous > 0.70 & subject to geographical variability > 0.5 & interdisciplinary <= 0.89,rule,0.07,negative,17.85,0.2,12583048.5,9366146.0,302.59
common > 0.70 & common <= 0.89 & unambiguous > 0.70 & interdisciplinary <= 0.89,rule,0.23,negative,17.69,0.24,18583298.38,16392424.0,310.4
common > 0.70 & socially controversial > 0.30 & socially controversial <= 0.5 & unambiguous > 0.5 & neutral > 0.70,rule,0.32,positive,17.04,0.31,5275347.38,1974940.0,261.54
conceptually dense <= 0.89 & technically complicated > 0.70 & socially controversial <= 0.70 & negative > 0.70,rule,0.04,negative,16.78,0.18,19934203.5,7723370.0,281.95
conceptually dense > 0.89 & socially controversial <= 0.89 & interdisciplinary > 0.89,rule,0.02,positive,16.58,0.02,11513396.62,9429560.0,282.27
socially controversial > 0.5 & socially controversial <= 0.89 & unambiguous > 0.5 & negative > 0.70 & neutral > 0.5,rule,0.19,positive,16.57,0.34,7851014.25,3235307.5,263.34
conceptually dense > 0.70 & common <= 0.89 & unambiguous > 0.70 & positive > 0.70 & subject to geographical variability > 0.70,rule,0.35,positive,16.38,0.32,81971796.5,28608352.0,298.33
technically complicated > 0.5 & socially controversial <= 0.30 & interdisciplinary <= 0.89,rule,0.01,negative,16.29,0.21,8692458.13,5254733.5,267.54
conceptually dense > 0.89 & common <= 0.89 & unambiguous <= 0.70 & positive > 0.70 & subject to geographical variability > 0.70,rule,0.01,positive,16.12,0.2,61755807.5,28608352.0,294.0
unambiguous > 0.70 & subject to geographical variability > 0.70 & subject to geographical variability <= 0.89 & subject to time variability > 0.70,rule,0.46,negative,15.4,0.41,23506967.5,11691193.0,266.93
conceptually dense <= 0.70 & common <= 0.89 & positive > 0.89 & neutral > 0.70 & subject to geographical variability > 0.70,rule,0.01,negative,14.97,0.04,83222518.25,45379340.0,281.63
technically complicated <= 0.70 & common > 0.5 & unambiguous <= 0.70 & neutral <= 0.70 & subject to time variability <= 0.89,rule,0.05,positive,14.79,0.08,44720376.62,27770420.0,270.59
conceptually dense > 0.70 & technically complicated > 0.70 & positive > 0.70 & negative > 0.70,rule,0.06,negative,14.62,0.07,7569275.12,3867450.25,236.9
common <= 0.89 & socially controversial > 0.5 & socially controversial <= 0.89 & unambiguous > 0.70 & subject to geographical variability > 0.89,rule,0.03,positive,14.61,0.05,3926169.35,1440972.38,221.36
common > 0.89 & unambiguous > 0.5 & neutral <= 0.70 & interdisciplinary > 0.89,rule,0.01,positive,14.24,0.01,4506083.99,2004669.12,221.19
technically complicated > 0.5 & socially controversial <= 0.70 & unambiguous <= 0.70 & neutral > 0.70 & neutral <= 0.89,rule,0.11,positive,14.12,0.09,10242965.41,6530802.5,237.2
conceptually dense > 0.5 & technically complicated <= 0.5 & socially controversial > 0.70,rule,0.05,negative,14.11,0.08,65340190.0,59349884.0,270.51
common <= 0.70 & neutral > 0.70 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.12,positive,14.08,0.37,14712896.75,10941686.0,244.48
technically complicated > 0.5 & common > 0.5 & socially controversial <= 0.70 & neutral > 0.70 & subject to time variability > 0.70,rule,0.37,positive,13.78,0.3,7107113.13,3404558.25,222.26
socially controversial <= 0.5 & interdisciplinary <= 0.89,rule,0.24,negative,13.26,0.35,56695128.0,38812708.0,249.15
conceptually dense > 0.5 & unambiguous > 0.5 & negative > 0.70 & subject to geographical variability > 0.89 & interdisciplinary > 0.89,rule,0.05,positive,12.92,0.04,11068922.75,5670106.5,216.41
conceptually dense <= 0.70 & common > 0.70 & neutral > 0.70 & subject to geographical variability > 0.70,rule,0.06,negative,12.83,0.08,3877746.73,2953123.0,205.99
conceptually dense > 0.5 & common > 0.5 & socially controversial > 0.70 & unambiguous > 0.5 & negative <= 0.70,rule,0.16,negative,12.52,0.15,4992682.2,2194280.25,197.4
technically complicated > 0.70 & socially controversial > 0.70 & unambiguous > 0.5 & neutral > 0.5 & neutral <= 0.70,rule,0.07,positive,12.08,0.06,17534043.75,7183885.5,206.48
negative <= 0.5 & subject to geographical variability > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.2,negative,11.67,0.17,28446127.0,22956190.0,214.79
technically complicated <= 0.5 & socially controversial <= 0.5 & negative <= 0.5 & interdisciplinary <= 0.89 & subject to time variability > 0.70,rule,0.03,negative,11.21,0.1,55229813.0,41141596.0,214.05
common > 0.5 & socially controversial <= 0.5 & positive <= 0.5 & subject to geographical variability <= 0.89 & subject to time variability > 0.5,rule,0.03,positive,11.11,0.31,6061661.72,2372605.25,177.83
conceptually dense <= 0.89 & technically complicated > 0.5 & positive > 0.30 & neutral > 0.70 & subject to geographical variability <= 0.89,rule,0.61,negative,11.0,0.5,14805665.19,7825600.0,190.42
technically complicated <= 0.70 & common > 0.70 & negative > 0.5 & neutral <= 0.70 & interdisciplinary > 0.89,rule,0.05,positive,10.73,0.06,17924120.42,8875651.0,187.63
technically complicated <= 0.70 & common <= 0.5 & unambiguous <= 0.5,rule,0.0,negative,10.39,0.03,36408972.0,29247800.0,195.73
common <= 0.70 & socially controversial <= 0.89 & unambiguous > 0.5 & unambiguous <= 0.70 & negative <= 0.70,rule,0.06,positive,10.15,0.15,21773770.38,14353740.0,183.69
technically complicated <= 0.5 & negative > 0.30 & negative <= 0.5 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.07,negative,10.03,0.07,61217882.0,37808844.0,192.37
unambiguous > 0.70 & neutral > 0.70 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.28,positive,9.71,0.23,33072807.75,29854440.0,184.38
technically complicated > 0.70 & common <= 0.70 & negative > 0.70,rule,0.04,negative,9.34,0.18,7768486.75,3267022.25,155.06
conceptually dense <= 0.5 & common > 0.70 & unambiguous > 0.5 & positive > 0.89 & interdisciplinary <= 0.89,rule,0.01,negative,9.15,0.03,30693641.0,20963774.0,171.04
technically complicated > 0.70 & technically complicated <= 0.89 & socially controversial > 0.30 & socially controversial <= 0.5,rule,0.24,positive,8.95,0.19,26389037.0,19679520.0,167.14
technically complicated > 0.5 & socially controversial > 0.30 & negative > 0.30 & interdisciplinary <= 0.89,rule,0.24,positive,8.72,0.2,28367219.12,18546516.0,162.72
socially controversial <= 0.70 & positive > 0.30 & subject to geographical variability > 0.70 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.23,negative,8.63,0.2,25581905.75,13983676.0,158.45
technically complicated > 0.5 & common <= 0.89 & negative <= 0.5 & neutral <= 0.89 & interdisciplinary > 0.89,rule,0.26,positive,8.38,0.21,14302315.41,8875651.0,150.06
