rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common,linear,,positive,1.03,,,,
positive > 0.70,rule,0.73,positive,0.29,0.8,52.73,52.73,5.11
common > 0.5 & common <= 0.70 & positive > 0.70 & subject to geographical variability <= 0.89,rule,0.12,positive,0.29,0.11,315.04,221.34,6.96
technically complicated > 0.70 & common > 0.5 & positive > 0.70 & subject to geographical variability > 0.70 & interdisciplinary > 0.89,rule,0.3,positive,0.27,0.35,138.13,87.85,5.68
common > 0.5 & unambiguous > 0.70 & positive > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.22,positive,0.2,0.21,280.36,144.27,5.95
common <= 0.5 & positive > 0.5,rule,0.03,negative,0.17,0.03,129.3,125.09,5.65
common > 0.70 & common <= 0.89 & positive <= 0.30 & subject to geographical variability <= 0.89,rule,0.03,negative,0.14,0.14,18.39,10.13,2.64
common > 0.70 & common <= 0.89 & positive > 0.70,rule,0.55,positive,0.13,0.46,331.89,328.62,6.58
technically complicated > 0.70 & unambiguous <= 0.70 & positive <= 0.5 & subject to geographical variability > 0.5,rule,0.07,positive,0.11,0.08,16.48,11.23,2.69
conceptually dense > 0.70 & unambiguous > 0.5 & positive > 0.70 & subject to time variability > 0.70 & subject to time variability <= 0.89,rule,0.56,negative,0.11,0.63,379.41,310.24,6.35
common > 0.5 & unambiguous > 0.5 & positive <= 0.70 & subject to geographical variability <= 0.89 & subject to time variability > 0.5,rule,0.18,negative,0.11,0.15,65.04,36.63,4.0
positive > 0.70 & subject to time variability <= 0.70,rule,0.1,positive,0.1,0.08,112.68,82.18,4.84
common > 0.5 & common <= 0.89 & socially controversial > 0.89 & unambiguous > 0.5,rule,0.06,negative,0.1,0.69,25.25,9.92,2.52
conceptually dense > 0.70 & conceptually dense <= 0.89 & technically complicated <= 0.70 & unambiguous <= 0.70 & positive > 0.70,rule,0.07,positive,0.1,0.18,53.37,19.52,3.26
common > 0.5 & common <= 0.89 & unambiguous > 0.5 & positive > 0.70 & subject to geographical variability <= 0.89,rule,0.6,positive,0.1,0.52,1387.93,1143.04,7.74
common > 0.5 & socially controversial <= 0.70 & positive > 0.70 & neutral > 0.70 & subject to geographical variability > 0.70,rule,0.4,positive,0.09,0.32,558.64,282.86,6.18
conceptually dense > 0.5 & technically complicated <= 0.70 & common <= 0.89 & unambiguous > 0.70 & subject to geographical variability <= 0.89,rule,0.22,negative,0.09,0.18,30.36,11.59,2.66
unambiguous > 0.70 & positive > 0.30 & positive <= 0.70,rule,0.11,negative,0.09,0.19,336.23,302.04,6.23
conceptually dense > 0.5 & common > 0.5 & unambiguous <= 0.70 & positive > 0.70 & positive <= 0.89,rule,0.24,positive,0.08,0.21,463.05,372.68,6.42
technically complicated > 0.70 & common > 0.5 & unambiguous > 0.70 & positive > 0.70 & subject to geographical variability <= 0.89,rule,0.22,positive,0.08,0.29,145.75,78.55,4.72
conceptually dense > 0.70 & common > 0.5 & positive > 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.05,positive,0.08,0.12,120.15,53.45,4.31
common > 0.5 & positive <= 0.70 & subject to geographical variability > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary <= 0.89,rule,0.06,negative,0.07,0.16,542.56,392.65,6.38
common > 0.5 & negative > 0.5 & negative <= 0.70 & subject to geographical variability <= 0.89 & subject to time variability > 0.70,rule,0.11,positive,0.07,0.41,82.72,27.18,3.53
positive > 0.70 & subject to time variability <= 0.5,rule,0.03,positive,0.07,0.08,15.6,15.35,2.92
socially controversial <= 0.5 & unambiguous <= 0.70 & positive > 0.70 & subject to time variability > 0.70,rule,0.07,negative,0.06,0.2,82.84,43.43,4.01
common > 0.70 & unambiguous > 0.5 & positive > 0.5 & positive <= 0.70 & interdisciplinary > 0.89,rule,0.02,positive,0.06,0.02,27.85,17.69,3.03
socially controversial > 0.70 & socially controversial <= 0.89 & unambiguous > 0.70 & positive > 0.70 & interdisciplinary > 0.89,rule,0.07,negative,0.06,0.06,160.62,120.05,5.09
common <= 0.5 & positive > 0.70 & positive <= 0.89,rule,0.03,negative,0.06,0.57,528.9,384.09,6.33
common > 0.70 & unambiguous > 0.5 & unambiguous <= 0.70 & negative <= 0.70,rule,0.13,negative,0.05,0.15,69.59,56.2,4.25
conceptually dense <= 0.89 & socially controversial <= 0.70 & positive <= 0.89 & negative <= 0.70 & interdisciplinary > 0.89,rule,0.21,positive,0.05,0.28,29.1,14.05,2.76
socially controversial <= 0.89 & unambiguous <= 0.70 & positive > 0.70 & negative <= 0.70 & subject to geographical variability > 0.70,rule,0.2,positive,0.05,0.17,537.46,524.77,6.6
common > 0.5 & positive <= 0.5 & neutral > 0.70 & interdisciplinary > 0.89,rule,0.07,negative,0.05,0.06,11.63,9.99,2.41
common <= 0.5 & positive > 0.70,rule,0.03,negative,0.04,0.59,955.93,732.24,6.88
common > 0.5 & subject to geographical variability > 0.70 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89 & subject to time variability > 0.70,rule,0.5,positive,0.04,0.41,177.81,77.53,4.51
socially controversial > 0.5 & positive <= 0.70 & negative > 0.70 & negative <= 0.89,rule,0.2,positive,0.04,0.17,68.51,57.15,4.2
conceptually dense > 0.70 & common > 0.70 & negative <= 0.70 & subject to time variability > 0.70,rule,0.4,negative,0.04,0.41,170.9,123.58,5.01
conceptually dense <= 0.89 & common > 0.5 & neutral > 0.70 & subject to geographical variability > 0.70 & subject to time variability > 0.70,rule,0.63,negative,0.04,0.52,30.46,19.22,3.06
