rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
positive > 0.70,rule,0.73,positive,0.79,0.8,964.69,964.69,12.33
positive <= 0.70 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.1,positive,0.07,0.13,22.17,11.96,2.65
technically complicated > 0.5 & positive <= 0.70 & interdisciplinary <= 0.89,rule,0.06,negative,0.03,0.21,218.86,201.34,5.47
technically complicated > 0.70 & positive <= 0.70,rule,0.18,negative,0.03,0.22,671.57,667.38,6.7
socially controversial <= 0.70 & positive <= 0.70,rule,0.06,negative,0.02,0.21,678.97,676.6,6.65
positive <= 0.5 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.09,positive,0.02,0.15,4.29,3.58,1.3
technically complicated <= 0.70 & positive <= 0.5 & neutral <= 0.70 & subject to geographical variability <= 0.89,rule,0.05,positive,0.02,0.04,18.11,12.51,2.58
positive > 0.30 & positive <= 0.70,rule,0.23,negative,0.02,0.22,445.95,444.94,6.23
common > 0.70 & positive > 0.30 & positive <= 0.70,rule,0.19,negative,0.02,0.18,448.69,445.9,6.19
technically complicated <= 0.70 & common > 0.70 & socially controversial > 0.70 & positive <= 0.70 & subject to geographical variability <= 0.89,rule,0.06,positive,0.02,0.05,684.58,676.6,6.66
positive <= 0.70,rule,0.27,negative,0.02,0.8,567.2,567.2,6.49
positive <= 0.5 & subject to geographical variability > 0.89,rule,0.04,negative,0.01,0.18,0.89,0.63,1.01
positive <= 0.30 & neutral <= 0.5,rule,0.01,positive,0.01,0.02,1.66,0.85,1.01
technically complicated <= 0.70 & common > 0.70 & positive <= 0.70 & subject to geographical variability > 0.70 & subject to geographical variability <= 0.89,rule,0.06,positive,0.01,0.05,1.78,0.79,1.01
socially controversial > 0.89 & positive <= 0.5 & subject to geographical variability <= 0.89 & interdisciplinary > 0.89,rule,0.03,positive,0.01,0.04,1.01,0.43,1.01
technically complicated > 0.70 & unambiguous > 0.5 & positive <= 0.70 & interdisciplinary > 0.89,rule,0.13,negative,0.01,0.12,462.95,450.27,6.2
common > 0.5 & positive > 0.70 & subject to geographical variability <= 0.89,rule,0.66,positive,0.01,0.55,822.68,822.64,6.77
positive > 0.70 & subject to geographical variability <= 0.89,rule,0.68,positive,0.01,0.72,640.34,603.1,6.44
positive <= 0.70 & subject to geographical variability > 0.89,rule,0.05,negative,0.01,0.21,823.48,822.64,6.78
technically complicated > 0.70 & common > 0.70 & positive <= 0.70 & subject to geographical variability > 0.70 & subject to geographical variability <= 0.89,rule,0.11,negative,0.0,0.12,8.03,7.43,2.01
conceptually dense > 0.70 & technically complicated > 0.5 & common > 0.5 & positive <= 0.70 & neutral > 0.70,rule,0.12,negative,0.0,0.1,25.81,23.92,3.18
common <= 0.89 & socially controversial > 0.89 & positive <= 0.5,rule,0.06,positive,0.0,0.05,1.15,0.53,1.0
positive > 0.70 & interdisciplinary > 0.89,rule,0.43,positive,0.0,0.5,480.41,470.34,6.17
common > 0.70 & positive > 0.70 & subject to geographical variability > 0.5 & subject to geographical variability <= 0.89,rule,0.51,positive,0.0,0.42,110.57,102.44,4.63
socially controversial <= 0.70 & positive > 0.70,rule,0.47,positive,0.0,0.42,185.52,135.15,4.91
technically complicated > 0.70 & positive > 0.70 & interdisciplinary > 0.89,rule,0.33,positive,0.0,0.38,462.57,450.27,6.12
positive > 0.70 & subject to geographical variability > 0.70 & subject to geographical variability <= 0.89,rule,0.62,positive,0.0,0.66,734.47,686.53,6.54
positive > 0.70 & subject to geographical variability > 0.5,rule,0.71,positive,0.0,0.59,640.54,640.54,6.47
unambiguous > 0.70 & positive > 0.30 & positive <= 0.5 & subject to geographical variability > 0.70,rule,0.09,positive,0.0,0.09,0.22,0.11,1.0
