rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
conceptually dense > 0.70 & technically complicated <= 0.89 & unambiguous > 0.5 & interdisciplinary > 0.70 & subject to time variability <= 0.89,rule,0.69,positive,0.82,0.55,789.92,591.99,11.61
socially controversial <= 0.70 & positive > 0.30 & positive <= 0.5 & interdisciplinary > 0.70,rule,0.02,negative,0.67,0.02,772.33,530.38,10.45
conceptually dense > 0.5 & positive > 0.70 & neutral > 0.70 & interdisciplinary > 0.70,rule,0.43,positive,0.55,0.36,492.34,209.09,8.26
technically complicated <= 0.70 & interdisciplinary <= 0.70,rule,0.03,negative,0.51,0.03,1574.28,1399.51,10.95
technically complicated > 0.5 & common <= 0.70 & positive > 0.5 & interdisciplinary > 0.70,rule,0.24,positive,0.41,0.21,687.19,289.5,7.99
technically complicated > 0.70 & common <= 0.70 & socially controversial > 0.5 & neutral <= 0.70,rule,0.08,positive,0.4,0.12,205.74,70.23,5.93
technically complicated > 0.5 & socially controversial > 0.5 & socially controversial <= 0.89 & positive > 0.5 & interdisciplinary > 0.70,rule,0.55,positive,0.33,0.45,382.52,154.58,6.69
technically complicated > 0.70 & technically complicated <= 0.89 & unambiguous <= 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.19,negative,0.29,0.15,409.35,227.82,7.0
conceptually dense > 0.5 & technically complicated > 0.5 & common <= 0.70 & socially controversial > 0.5 & neutral > 0.5,rule,0.16,positive,0.28,0.21,571.7,208.01,6.83
socially controversial <= 0.89 & negative > 0.89 & interdisciplinary > 0.70,rule,0.13,positive,0.26,0.11,91.78,34.02,4.44
technically complicated > 0.70 & common <= 0.89 & interdisciplinary > 0.5,rule,0.52,positive,0.25,0.79,153.16,85.05,5.55
conceptually dense > 0.70 & socially controversial > 0.70 & socially controversial <= 0.89 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.22,positive,0.23,0.2,2475.59,1574.02,9.04
technically complicated > 0.5 & technically complicated <= 0.70 & common > 0.70 & socially controversial <= 0.70,rule,0.07,negative,0.23,0.16,274.39,127.68,5.94
