rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
common <= 0.5 & positive > 0.5,rule,0.05,positive,1591.53,0.05,1992344834.0,1339855490.0,33468.32
common <= 0.5 & unambiguous > 0.5 & positive > 0.5 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.01,positive,711.23,0.09,241421869.06,214031344.0,13661.67
common <= 0.5 & positive > 0.5 & positive <= 0.70,rule,0.01,positive,541.07,0.04,1737014018.0,1073913090.0,11272.17
common > 0.30 & common <= 0.5 & positive > 0.5,rule,0.05,positive,427.52,0.05,192754700.0,126709752.0,7995.04
conceptually dense > 0.5 & technically complicated > 0.5 & common <= 0.5 & positive > 0.5,rule,0.04,positive,152.26,0.52,711836736.25,672869760.0,3115.33
common <= 0.5 & socially controversial > 0.70 & socially controversial <= 0.89 & positive > 0.5 & interdisciplinary > 0.70,rule,0.02,positive,108.25,0.02,250782907.5,145732192.0,2053.56
common > 0.5 & positive > 0.70,rule,0.64,positive,101.25,0.75,628699064.0,619184768.0,2069.92
technically complicated > 0.5 & technically complicated <= 0.70 & common <= 0.5 & positive > 0.5 & positive <= 0.70,rule,0.0,positive,97.67,0.01,215722916.5,181203808.0,1876.24
common > 0.5 & interdisciplinary > 0.70,rule,0.91,negative,94.91,0.78,192230240.5,186638976.0,1826.51
conceptually dense > 0.5 & common <= 0.5 & socially controversial > 0.5 & positive > 0.5 & negative > 0.5,rule,0.03,positive,84.21,0.03,767461986.0,728589184.0,1738.83
common <= 0.5 & positive > 0.5 & negative <= 0.70,rule,0.03,positive,67.56,0.47,54747513.27,53830060.0,1220.45
technically complicated > 0.70 & common <= 0.5 & positive > 0.5 & neutral > 0.30,rule,0.02,positive,13.0,0.25,115860998.94,110558112.0,259.25
common <= 0.5 & neutral <= 0.30,rule,0.03,negative,12.53,0.23,319047147.5,314473760.0,264.81
common <= 0.5 & positive <= 0.5 & interdisciplinary > 0.70,rule,0.01,negative,10.95,0.04,134609512.5,84480720.0,218.08
common <= 0.5 & unambiguous > 0.5 & neutral <= 0.5,rule,0.03,negative,10.39,0.03,39403709.5,33655588.0,197.41
common > 0.5 & interdisciplinary <= 0.70,rule,0.02,positive,10.07,0.03,9411819.5,5591264.5,171.94
conceptually dense > 0.70 & technically complicated > 0.5 & positive > 0.70,rule,0.4,positive,5.76,0.39,5537979.25,2501422.0,99.57
positive <= 0.5,rule,0.2,negative,5.5,0.8,72220872.0,72220872.0,117.59
technically complicated > 0.5 & common <= 0.5 & positive > 0.5 & positive <= 0.70 & negative <= 0.89,rule,0.01,positive,5.42,0.0,316559253.0,245439968.0,123.99
common > 0.5 & common <= 0.70,rule,0.28,positive,4.75,0.75,528870940.0,528806848.0,115.44
conceptually dense > 0.5 & common > 0.70 & negative <= 0.89 & interdisciplinary > 0.70,rule,0.56,negative,3.14,0.45,6500672.88,4532297.5,63.52
technically complicated > 0.70 & common > 0.5 & positive > 0.70,rule,0.31,positive,3.04,0.27,26079736.63,25813118.0,68.95
technically complicated > 0.30 & common > 0.5 & positive > 0.5 & negative <= 0.89 & interdisciplinary <= 0.70,rule,0.02,positive,2.61,0.02,14973143.75,4966228.5,55.65
common > 0.5 & common <= 0.89 & unambiguous > 0.5 & positive > 0.70,rule,0.63,positive,1.83,0.5,146648120.13,142534992.0,53.15
common > 0.5 & common <= 0.89 & positive <= 0.70,rule,0.29,negative,1.57,0.23,309083040.0,304533056.0,50.24
technically complicated <= 0.70 & common > 0.5 & socially controversial <= 0.70 & unambiguous > 0.5 & interdisciplinary > 0.70,rule,0.15,negative,1.5,0.13,31185677.05,27567852.0,42.75
common > 0.5 & common <= 0.70 & positive > 0.70,rule,0.19,positive,1.08,0.51,541720145.0,533542656.0,41.77
common <= 0.5 & positive <= 0.5,rule,0.02,negative,1.04,0.05,1746966976.0,1127682560.0,42.58
technically complicated > 0.5 & positive > 0.5,rule,0.66,positive,0.9,0.67,40192024.38,39420636.0,33.32
technically complicated > 0.5 & common <= 0.5 & positive > 0.5 & negative > 0.5,rule,0.03,positive,0.68,0.03,510364736.0,489350944.0,33.64
technically complicated > 0.5 & socially controversial > 0.70 & unambiguous > 0.5 & positive > 0.5,rule,0.34,positive,0.44,0.33,139955770.5,69376560.0,26.07
common > 0.70 & unambiguous > 0.5 & neutral > 0.30 & interdisciplinary > 0.70,rule,0.49,negative,0.37,0.4,1160770.69,688081.38,18.45
common > 0.70 & socially controversial <= 0.70 & positive > 0.70 & interdisciplinary > 0.70,rule,0.22,negative,0.29,0.26,2380253.56,1084020.5,17.91
socially controversial > 0.70 & socially controversial <= 0.89 & unambiguous > 0.5 & positive > 0.5 & negative <= 0.89,rule,0.35,positive,0.19,0.38,94872095.5,41127080.0,20.93
technically complicated > 0.70 & positive > 0.70 & neutral > 0.30,rule,0.26,positive,0.17,0.42,13570880.31,9760652.0,18.82
