rule,type,conditions_coverage,impact_direction,importance,min_rule_coverage,total_gain,max_gain,weighted_importance
positive <= 0.70 & interdisciplinary > 0.70,rule,0.31,negative,0.53,0.26,736.38,694.91,10.0
positive,linear,,positive,0.28,,,,
positive > 0.70,rule,0.67,positive,0.08,0.8,1222.01,1222.01,7.68
technically complicated > 0.5 & common > 0.5 & positive > 0.30 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.23,negative,0.08,0.18,570.37,548.26,6.82
common > 0.5 & positive > 0.5 & positive <= 0.70,rule,0.11,negative,0.07,0.24,301.03,299.86,6.09
technically complicated > 0.70 & technically complicated <= 0.89 & positive <= 0.70,rule,0.19,negative,0.05,0.15,64.39,61.96,4.32
conceptually dense > 0.70 & technically complicated <= 0.70 & positive <= 0.70 & negative <= 0.89,rule,0.06,positive,0.04,0.08,223.23,186.67,5.41
socially controversial <= 0.70 & positive <= 0.70,rule,0.05,negative,0.04,0.32,394.76,259.98,5.76
common <= 0.5 & positive > 0.5 & positive <= 0.70,rule,0.01,positive,0.03,0.04,12.19,10.48,2.42
technically complicated > 0.5 & common <= 0.89 & unambiguous <= 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.27,negative,0.03,0.22,32.59,24.61,3.29
conceptually dense <= 0.70 & positive <= 0.70 & interdisciplinary > 0.70,rule,0.05,negative,0.02,0.25,302.05,292.31,5.79
common <= 0.5 & positive > 0.5,rule,0.05,positive,0.01,0.05,5.13,4.64,1.56
technically complicated > 0.70 & technically complicated <= 0.89 & common > 0.70 & positive <= 0.70,rule,0.12,negative,0.01,0.26,484.84,450.29,6.16
technically complicated > 0.70 & technically complicated <= 0.89 & positive <= 0.5,rule,0.12,negative,0.01,0.15,1.01,0.93,1.01
socially controversial > 0.70 & positive > 0.30 & positive <= 0.70 & negative > 0.70 & neutral <= 0.70,rule,0.17,positive,0.01,0.15,578.44,306.86,5.77
positive <= 0.70 & neutral > 0.70,rule,0.07,negative,0.01,0.42,11.89,11.06,2.42
socially controversial > 0.70 & negative > 0.70 & negative <= 0.89 & neutral <= 0.70,rule,0.19,positive,0.0,0.23,353.43,207.85,5.34
technically complicated > 0.70 & positive > 0.30 & positive <= 0.70,rule,0.17,negative,0.0,0.15,189.96,184.19,5.24
technically complicated <= 0.70 & socially controversial > 0.70 & positive > 0.70 & negative <= 0.70,rule,0.13,positive,0.0,0.11,293.43,179.73,5.2
technically complicated > 0.5 & common <= 0.5 & positive > 0.5 & positive <= 0.70,rule,0.01,positive,0.0,0.02,245.13,231.87,5.45
technically complicated <= 0.70 & socially controversial > 0.70 & positive > 0.70,rule,0.18,positive,0.0,0.26,38.73,37.87,3.65
technically complicated <= 0.70 & positive > 0.70 & positive <= 0.89 & negative <= 0.70,rule,0.28,positive,0.0,0.44,9.54,7.96,2.08
